Location,Latitude,Longitude,Neighborhood,Community,Ward,Emergency,Day,Tow_Zone,Date,Time
5049 OLIVER AVE N,45.047145843500005,-93.30799865719999,Shingle Creek,Camden,4,Yardville,3,1,02/27/2018,00:00
5050 EMERSON AVE N,45.047210693400004,-93.2953643799,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5051 OLIVER AVE N,45.047210693400004,-93.30824279790001,Shingle Creek,Camden,4,Yardville,3,1,02/27/2018,00:00
506 11TH AVE SE,44.9833831787,-93.2391433716,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
506 33RD ST W,44.9428367615,-93.28614807129999,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
506 34TH ST E,44.9413642883,-93.26879882809999,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
506 8TH AVE SE,44.985215999999994,-93.242993,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
506 BRYANT AVE N,44.9832038879,-93.2907867432,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
507 33RD ST W,44.9428787231,-93.2862854004,Lyndale,Powderhorn,8,Yardville,3,5,02/27/2018,00:00
508 11TH AVE SE,44.9834289551,-93.23880004879999,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
508 12TH AVE SE,44.982872,-93.237255,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
508 32ND ST W,44.94473266600001,-93.28614807129999,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
508 33RD ST W,44.9428367615,-93.28614807129999,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
508 6TH AVE SE,44.986249,-93.245838,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
508 BRYANT AVE N,44.9833221436,-93.29077911379999,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
508 LYNDALE PL,44.9833564758,-93.2887191772,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
508 RIDGEWOOD AVE S,44.963466644300006,-93.285484314,Steven's Square - Loring Heights,Central,7,Yardville,2,3,02/26/2018,00:00
509 15TH ST W,44.9680480957,-93.2686233521,Elliot Park,Central,7,Yardville,1,3,02/25/2018,00:00
509 19TH ST E,44.963956,-93.26809899999999,Ventura Village,Phillips,6,Yardville,3,3,02/27/2018,00:00
510 22ND ST W,44.9612579346,-93.2866363525,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
510 45TH ST E,44.9215583801,-93.26844787600001,Regina,Nokomis,8,Yardville,2,5,02/26/2018,00:00
510 53RD ST W,44.9065704346,-93.2861404419,Tangletown,Southwest,11,Yardville,2,5,02/26/2018,00:00
510 BRYANT AVE N,44.9833641052,-93.2908096313,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
510 KNOX AVE N,44.982990264899996,-93.3019561768,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
5104 CAMDEN AVE N,45.04766464229999,-93.2889175415,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5106 CAMDEN AVE N,45.0477409363,-93.2889251709,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
511 22ND ST W,44.9609794617,-93.2862091064,Whittier,Powderhorn,10,Yardville,3,3,02/27/2018,00:00
5110 CAMDEN AVE N,45.047958374,-93.2889099121,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5114 ALDRICH AVE N,45.0480575562,-93.29022216799999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
512 11TH AVE SE,44.983318328900005,-93.23882293700001,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
512 12TH AVE SE,44.983058,-93.237387,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
512 15TH ST W,44.968109130900004,-93.26824188229999,Elliot Park,Central,7,Yardville,1,3,02/25/2018,00:00
512 33RD ST W,44.942890167200005,-93.2861099243,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
512 34TH ST E,44.941356658900006,-93.2685546875,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
512 34TH ST W,44.94124603270001,-93.28575134280001,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
512 8TH AVE SE,44.985328,-93.24290400000001,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
512 HUMBOLDT AVE N,44.9829826355,-93.2981796265,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
512 MORGAN AVE N,44.9830055237,-93.30450439450001,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
513 1ST ST N,44.987880706800006,-93.27263641360001,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
5136 JAMES AVE N,45.048664093,-93.3017578125,Shingle Creek,Camden,4,Yardville,2,1,02/26/2018,00:00
514 22ND ST W,44.961273193400004,-93.2860870361,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
514 61ST ST E,44.892524719200004,-93.2686309814,Diamond Lake,Nokomis,11,Yardville,2,5,02/26/2018,00:00
514 7TH ST SE,44.988138,-93.245238,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
515 15TH ST W,44.9680252075,-93.2680740356,Elliot Park,Central,7,Yardville,1,3,02/25/2018,00:00
515 1ST ST N,44.987953186000006,-93.27272033690001,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
5156 LUVERNE AVE S,44.9089050293,-93.2704238892,Page,Nokomis,11,Yardville,2,5,02/26/2018,00:00
516 12TH AVE SE,44.983070373500006,-93.2373733521,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
516 1ST ST N,44.988059997600004,-93.2727661133,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
516 25TH ST E,44.9573745728,-93.2676620483,Phillips West,Phillips,6,Yardville,2,3,02/26/2018,00:00
516 4TH AVE SE,44.9879264832,-93.2486572266,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
518 1ST ST N,44.988117218,-93.2728042603,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
518 4TH ST N,44.985004425,-93.27774047850001,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
518 5TH AVE SE,44.986942291300004,-93.2472839355,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
518 MORGAN AVE N,44.983379363999994,-93.3044815063,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
520 11TH AVE SE,44.9834289551,-93.23880004879999,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
520 43RD ST E,44.9251289368,-93.2681655884,Regina,Nokomis,8,Yardville,2,5,02/26/2018,00:00
520 5TH ST SE,44.985884999999996,-93.246707,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
520 7TH AVE SE,44.9860076904,-93.2443313599,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
520 8TH AVE SE,44.985440000000004,-93.24281500000001,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
520 BRYANT AVE N,44.9836997986,-93.2908096313,Sumner - Glenwood,Near North,5,Yardville,2,3,02/26/2018,00:00
520 MORGAN AVE N,44.9834098816,-93.3044967651,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
520 RIDGEWOOD AVE S,44.9634819031,-93.2863540649,Steven's Square - Loring Heights,Central,7,Yardville,2,3,02/26/2018,00:00
5208 PARK AVE S,44.9088058472,-93.2653961182,Page,Nokomis,11,Yardville,2,5,02/26/2018,00:00
5210 35TH AVE S,44.9085540771,-93.2215957642,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5214 ALDRICH AVE N,45.0498313904,-93.2902603149,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5216 COLFAX AVE N,45.0498275757,-93.2928161621,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5216 FREMONT AVE N,45.0500221252,-93.2966461182,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5218 COLFAX AVE N,45.049926757799994,-93.29279327389999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
522 11TH AVE SE,44.9834327698,-93.2386398315,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
522 12TH AVE SE,44.983245000000004,-93.23694300000001,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
522 8TH AVE SE,44.985465000000005,-93.242795,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
5220 FREMONT AVE N,45.0500450134,-93.29662323,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5234 FREMONT AVE N,45.0503692627,-93.29663848879999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5238 FREMONT AVE N,45.0505332947,-93.29663085940001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
524 45TH ST E,44.9215545654,-93.2682723999,Regina,Nokomis,8,Yardville,2,5,02/26/2018,00:00
524 5TH AVE SE,44.987106,-93.24699,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
524 61ST ST E,44.8925323486,-93.2680511475,Diamond Lake,Nokomis,11,Yardville,2,5,02/26/2018,00:00
524 8TH AVE SE,44.985759735100004,-93.242805481,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
5240 FREMONT AVE N,45.0505981445,-93.29661560059999,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5242 DUPONT AVE N,45.0509490967,-93.29412078860001,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5242 FREMONT AVE N,45.0506668091,-93.2965927124,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5244 FREMONT AVE N,45.0506744385,-93.2966690063,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5246 GIRARD AVE N,45.050559997600004,-93.2979431152,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
5248 CAMDEN AVE N,45.050830841099994,-93.2889785767,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
526 22ND ST W,44.960929870600005,-93.2865600586,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
526 2ND AVE SE,44.9888763428,-93.2510528564,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
526 34TH ST E,44.9413909912,-93.26809692379999,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
526 39TH ST E,44.9324035645,-93.2679367065,Bryant,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
526 45TH ST E,44.921546936000006,-93.26792907709999,Regina,Nokomis,8,Yardville,2,5,02/26/2018,00:00
526 52ND AVE N,45.049369811999995,-93.2897644043,Lind - Bohanon,Camden,4,Yardville,2,1,02/26/2018,00:00
526 8TH AVE SE,44.985479,-93.24238199999999,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
527 47TH AVE N,45.040351867700004,-93.2874755859,Lind - Bohanon,Camden,4,Yardville,3,1,02/27/2018,00:00
528 11TH AVE SE,44.9839134216,-93.238494873,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
528 22ND ST W,44.960601806599996,-93.2866439819,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
528 34TH ST E,44.9414176941,-93.26797485350001,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
528 3RD AVE SE,44.988265000000006,-93.249678,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
528 5TH ST SE,44.985791,-93.246575,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
529 47TH AVE N,45.0403404236,-93.28754425049999,Lind - Bohanon,Camden,4,Yardville,3,1,02/27/2018,00:00
530 22ND ST W,44.9611206055,-93.2863845825,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
530 34TH ST E,44.9414100647,-93.2679519653,Central,Powderhorn,9,Yardville,2,5,02/26/2018,00:00
530 OLIVER AVE N,44.9835395813,-93.3070144653,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
5308 45TH AVE S,44.9069023132,-93.2088317871,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5308 NOKOMIS AVE,44.906929016099994,-93.2286300659,Keewaydin,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5310 15TH AVE S,44.9066963196,-93.25379943850001,Hale,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5340 38TH AVE S,44.9060707092,-93.2178039551,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5341 CHOWEN AVE S,44.905990600600006,-93.32515716549999,Fulton,Southwest,13,Yardville,3,5,02/27/2018,00:00
5360 HIAWATHA LA,44.9057617188,-93.20272064209999,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5364 HIAWATHA LA,44.9058303833,-93.20280456540002,Minnehaha,Nokomis,12,Yardville,2,6,02/26/2018,00:00
540 HUMBOLDT AVE N,44.9836387634,-93.29816436770001,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
5404 LOGAN AVE S,44.9048233032,-93.3074035645,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
5404 WENTWORTH AVE S,44.9040718079,-93.2806930542,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
542 HUMBOLDT AVE N,44.9836769104,-93.2981796265,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
542 IRVING AVE N,44.9836654663,-93.29948425290002,Harrison,Near North,5,Yardville,2,3,02/26/2018,00:00
5440 BLAISDELL AVE S,44.9038124084,-93.2792282104,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5440 BLAISDELL AVE S,44.9038925171,-93.2793884277,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5442 BLAISDELL AVE S,44.903888702399996,-93.2791519165,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5444 BLAISDELL AVE S,44.903656005900004,-93.279624939,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5448 BLAISDELL AVE S,44.903549194300005,-93.2795028687,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5448 HARRIET AVE S,44.9038314819,-93.285774231,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5454 BLAISDELL AVE S,44.903656005900004,-93.27970123290001,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5456 BLAISDELL AVE S,44.90343856810001,-93.279624939,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5500 BLAISDELL AVE S,44.903228759799994,-93.2793807983,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5504 1ST AVE S,44.9030761719,-93.27680206299999,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5508 29TH AVE S,44.902851104700005,-93.23106384280001,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5510 BLAISDELL AVE S,44.903034210200005,-93.2793884277,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5512 44TH AVE S,44.9030685425,-93.21022033690001,Morris Park,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5548 43RD AVE S,44.9021034241,-93.2115020752,Morris Park,Nokomis,12,Yardville,2,6,02/26/2018,00:00
56 ARTHUR AVE SE,44.969291999999996,-93.21605600000001,Prospect Park - East River Road,University,2,Yardville,2,4,02/26/2018,00:00
5606 33RD AVE S,44.9015197754,-93.22437286379999,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5606 ALDRICH AVE S,44.9013366699,-93.28960418700001,Kenny,Southwest,13,Yardville,2,5,02/26/2018,00:00
5618 22ND AVE S,44.9011726379,-93.241355896,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5620 BOSSEN TERR,44.900337219200004,-93.2247543335,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5622 BOSSEN TERR,44.9002838135,-93.2248840332,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5711 BOSSEN TERR,44.899963378900004,-93.22557067870001,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5713 BOSSEN TERR,44.8998794556,-93.2257385254,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5715 31ST AVE S,44.9002571106,-93.22721862790002,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5719 BOSSEN TERR,44.8997154236,-93.2261199951,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5720 36TH AVE S,44.899505615200006,-93.22040557860001,Morris Park,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5721 BOSSEN TERR,44.89953231810001,-93.2263946533,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5723 BOSSEN TERR,44.899356841999996,-93.2265853882,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5732 PILLSBURY AVE,44.898773193400004,-93.2820587158,Windom,Southwest,11,Yardville,2,5,02/26/2018,00:00
5736 33RD AVE S,44.899116516099994,-93.2242202759,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5739 BOSSEN TERR,44.8990898132,-93.22660064700001,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5745 BOSSEN TERR,44.89894104,-93.22660064700001,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5752 27TH AVE S,44.8983955383,-93.2338104248,Wenonah,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5757 SANDER DR,44.8984680176,-93.22542572020001,Wenonah,Nokomis,11,Yardville,3,6,02/27/2018,00:00
5816 46TH AVE S,44.8975753784,-93.20768737790002,Morris Park,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5832 44TH AVE S,44.8970108032,-93.2102127075,Morris Park,Nokomis,12,Yardville,2,6,02/26/2018,00:00
5840 WASHBURN AVE S,44.896633148199996,-93.3175735474,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
5850 PARK AVE S,44.8964805603,-93.2652359009,Diamond Lake,Nokomis,11,Yardville,2,5,02/26/2018,00:00
5912 LOGAN AVE S,44.89629745479999,-93.3073959351,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
5920 COLUMBUS AVE S,44.8954658508,-93.2641143799,Diamond Lake,Nokomis,11,Yardville,2,5,02/26/2018,00:00
5928 14TH AVE S,44.8950424194,-93.25534057620001,Diamond Lake,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5928 THOMAS AVE S,44.895172119099996,-93.3137664795,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
5932 14TH AVE S,44.894897460900005,-93.2553787231,Diamond Lake,Nokomis,11,Yardville,2,6,02/26/2018,00:00
5934 THOMAS AVE S,44.8950500488,-93.3137817383,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
6 25TH ST E,44.957401275600006,-93.2774810791,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
6 25TH ST W,44.957485199,-93.2784729004,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
6 33RD ST W,44.942920684799994,-93.2785186768,Lyndale,Powderhorn,8,Yardville,2,5,02/26/2018,00:00
6 UNIVERSITY AVE NE,44.9882164001,-93.2567214966,Nicollet Island - East Bank,University,3,Yardville,1,2,02/25/2018,00:00
600 18TH ST E,44.9651870728,-93.26740264889999,Ventura Village,Phillips,6,Yardville,2,3,02/26/2018,00:00
600 1ST ST N,44.988403320299994,-93.2733840942,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
600 3RD AVE SE,44.988659000000006,-93.249708,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
600 RIDGEWOOD AVE S,44.9634552002,-93.2869110107,Steven's Square - Loring Heights,Central,7,Yardville,2,3,02/26/2018,00:00
601 14TH ST E,44.968881,-93.26745600000001,Elliot Park,Central,7,Yardville,3,3,02/27/2018,00:00
601 1ST ST N,44.9882774353,-93.2733612061,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
601 3RD ST N,44.986347198500006,-93.2773742676,North Loop,Central,3,Yardville,1,1,02/25/2018,00:00
601 ERIE ST SE,44.970058441199996,-93.224281311,Prospect Park - East River Road,University,2,Yardville,3,4,02/27/2018,00:00
6012 PARK AVE S,44.893783569300005,-93.26538085940001,Diamond Lake,Nokomis,11,Yardville,2,5,02/26/2018,00:00
602 18TH ST E,44.96524047850001,-93.2670974731,Ventura Village,Phillips,6,Yardville,2,3,02/26/2018,00:00
602 37TH ST W,44.9358482361,-93.28583526610001,King Field,Southwest,8,Yardville,2,5,02/26/2018,00:00
602 ERIE ST SE,44.970062255900004,-93.2243423462,Prospect Park - East River Road,University,2,Yardville,2,4,02/26/2018,00:00
6028 LOGAN AVE S,44.893016815200006,-93.3036270142,Armatage,Southwest,13,Yardville,2,5,02/26/2018,00:00
603 14TH ST E,44.968886,-93.267321,Elliot Park,Central,7,Yardville,3,3,02/27/2018,00:00
603 19TH ST E,44.96399,-93.26734599999999,Ventura Village,Phillips,6,Yardville,3,3,02/27/2018,00:00
603 ERIE ST SE,44.970003999999996,-93.22425,Prospect Park - East River Road,University,2,Yardville,3,4,02/27/2018,00:00
604 13TH AVE SE,44.9827156067,-93.2356414795,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
604 14TH ST E,44.9688148499,-93.2670669556,Elliot Park,Central,7,Yardville,2,3,02/26/2018,00:00
604 15TH AVE NE,45.0029525757,-93.2587280273,Sheridan,Northeast,3,Yardville,2,2,02/26/2018,00:00
604 19TH ST E,44.9640083313,-93.26731872559999,Ventura Village,Phillips,6,Yardville,2,3,02/26/2018,00:00
604 22ND ST W,44.9608421326,-93.2871017456,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
604 ERIE ST SE,44.9699707031,-93.22434997559999,Prospect Park - East River Road,University,2,Yardville,2,4,02/26/2018,00:00
605 ONTARIO ST SE,44.969936,-93.225659,Prospect Park - East River Road,University,2,Yardville,3,4,02/27/2018,00:00
606 12TH AVE SE,44.984002000000004,-93.236625,Marcy Holmes,University,3,Yardville,2,4,02/26/2018,00:00
606 16TH ST E,44.96717453,-93.26717376709999,Elliot Park,Central,6,Yardville,2,3,02/26/2018,00:00
606 22ND ST W,44.960956573500006,-93.2869186401,Whittier,Powderhorn,10,Yardville,2,3,02/26/2018,00:00
