Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"3232aldrich Ave s,Minneapolis,MN",44.943649,-93.289681,10,South Uptown,Calhoun Isles,2,5,12/18/2016,15:41,Ferry
"3812 11th Ave. S.,Minneapolis,MN",44.933664,-93.258975,8,Bancroft,Powderhorn,2,6,12/18/2016,10:31,Ferry
"253 humbolt ave n,Minneapolis,MN",44.979687,-93.298551,5,Harrison,Near North,3,3,12/19/2016,13:07,Ferry
"1910 2ND AVE S,Minneapolis,MN",44.963589,-93.27405,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,14:35,Ferry
"3455 4th ave s,Minneapolis,MN",44.939715,-93.26993399999999,9,Central,Powderhorn,1,5,12/17/2016,21:57,Ferry
"1518 39th st e,Minneapolis,MN",44.93233,-93.252734,8,Bancroft,Powderhorn,2,6,12/18/2016,11:30,Ferry
"2312 HUMBOLDT AVE S,Minneapolis,MN",44.959559000000006,-93.29861,7,East Isles,Calhoun Isles,2,3,12/18/2016,13:38,Ferry
"304 20th ave ne,Minneapolis,MN",45.008544,-93.26304,1,Holland,Northeast,2,2,12/18/2016,15:43,Ferry
"3022 KNOX AVE S ,Minneapolis,MN",44.947509000000004,-93.304665,10,ECCO,Calhoun Isles,2,5,12/18/2016,10:31,Ferry
"932 18th ave se,Minneapolis,MN",44.98731,-93.22691400000001,2,Como,University,2,4,12/18/2016,14:35,Ferry
"3207 36th st e,Minneapolis,MN",44.937559,-93.225289,12,Howe,Longfellow,3,6,12/19/2016,13:07,Ferry
"614 5th st ne,Minneapolis,MN",44.995748,-93.25851999999999,3,St. Anthony West,Northeast,2,2,12/18/2016,10:31,Ferry
"503 6th st se,Minneapolis,MN",44.987508,-93.246285,3,Marcy Holmes,University,3,4,12/19/2016,13:08,Ferry
"3625 4th Avenue South,Minneapolis,MN",44.936952000000005,-93.269901,8,Central,Powderhorn,1,5,12/17/2016,21:58,Ferry
"2420 harriet av s,Minneapolis,MN",44.958422999999996,-93.285793,10,Whittier,Powderhorn,2,3,12/18/2016,14:35,Ferry
"314 18th St e,Minneapolis,MN",44.965363,-93.272126,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,13:38,Ferry
"3710 aldrich ave n ,Minneapolis,MN",45.022490999999995,-93.289061,4,McKinley,Camden,2,1,12/18/2016,15:44,Ferry
"1030 12th Ave se,Minneapolis,MN",44.988766,-93.234318,2,Como,University,2,4,12/18/2016,11:30,Ferry
"2608 3rd st n,Minneapolis,MN",45.006021000000004,-93.283402,5,Hawthorne,Near North,2,1,12/18/2016,09:14,Ferry
"3548 4th ave s,Minneapolis,MN",44.938231,-93.270551,9,Central,Powderhorn,1,5,12/17/2016,21:58,Ferry
"406 7th ave se,Minneapolis,MN",44.984545000000004,-93.245322,3,Marcy Holmes,University,2,4,12/18/2016,10:33,Ferry
"3429 17th Ave. so,Minneapolis,MN",44.940334,-93.249636,9,Powderhorn Park,Powderhorn,3,6,12/19/2016,13:09,Ferry
"1254 queen ave n,Minneapolis,MN",44.991007,-93.309488,5,Willard - Hay,Near North,2,1,12/18/2016,13:38,Ferry
"614 5th st ne,Minneapolis,MN",44.995748,-93.25851999999999,3,St. Anthony West,Northeast,2,2,12/18/2016,11:31,Ferry
"2004 GRAND AVE S,Minneapolis,MN",44.962425,-93.284487,10,Whittier,Powderhorn,2,3,12/18/2016,15:44,Ferry
"718 5TH AVE SE,Minneapolis,MN",44.989021,-93.24544200000001,3,Marcy Holmes,University,2,4,12/18/2016,09:14,Ferry
"2830 Emerson s,Minneapolis,MN",44.951329,-93.294477,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,22:01,Ferry
"3232 humbolt Ave s,Minneapolis,MN",44.943668,-93.301128,10,ECCO,Calhoun Isles,2,5,12/18/2016,10:33,Ferry
"1043 20th Avenue Southeast,Minneapolis,MN",44.989093,-93.224602,1,Como,University,3,4,12/19/2016,13:09,Ferry
"300 18th St e,Minneapolis,MN",44.965363,-93.272126,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,13:40,Ferry
"1512 spruce pl,Minneapolis,MN",44.967154,-93.28119699999999,7,Loring Park,Central,2,3,12/18/2016,11:32,Ferry
"320 4th Avenue southeast ,Minneapolis,MN",44.985675,-93.250212,3,Marcy Holmes,University,2,4,12/18/2016,09:15,Ferry
"342 20th ave ne,Minneapolis,MN",45.008249,-93.262396,1,Holland,Northeast,2,2,12/18/2016,15:45,Ferry
"2818 Emerson s,Minneapolis,MN",44.951501,-93.294472,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,22:03,Ferry
"1625 newton ave n,Minneapolis,MN",44.996001,-93.305714,5,Willard - Hay,Near North,3,1,12/19/2016,13:11,Ferry
"1408 6th st se,Minneapolis,MN",44.982082,-93.23385,3,Marcy Holmes,University,2,4,12/18/2016,13:41,Ferry
"624 11-2the ave se,Minneapolis,MN",44.987168,-93.25705,3,Nicollet Island - East Bank,University,2,4,12/18/2016,11:32,Ferry
"3222 4th st n,Minneapolis,MN",45.013912,-93.28466,4,McKinley,Camden,2,1,12/18/2016,10:33,Ferry
"1902 41st st e,Minneapolis,MN",44.928899,-93.24430699999999,12,Standish,Powderhorn,2,6,12/18/2016,09:17,Ferry
"2824 Emerson ave s,Minneapolis,MN",44.951431,-93.294474,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,22:03,Ferry
"716 5th ave se,Minneapolis,MN",44.988853000000006,-93.245251,3,Marcy Holmes,University,2,4,12/18/2016,15:45,Ferry
"2206 TALMAGE AVE SE,Minneapolis,MN",44.989686,-93.221458,1,Como,University,2,4,12/18/2016,13:41,Ferry
"629 18TH ST E,Minneapolis,MN",44.965016999999996,-93.265858,6,Ventura Village,Phillips,3,3,12/19/2016,13:11,Ferry
"3146 Holmes Ave s,Minneapolis,MN",44.944953000000005,-93.299625,10,ECCO,Calhoun Isles,2,5,12/18/2016,11:32,Ferry
"2654 queen ave n,Minneapolis,MN",45.007596,-93.309212,5,Jordan,Near North,2,1,12/18/2016,15:46,Ferry
"3505 14th ave s,Minneapolis,MN",44.93926,-93.25493900000001,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,09:18,Ferry
"2910 EMERSON AVE S,Minneapolis,MN",44.949638,-93.294495,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,22:05,Ferry
"855 21st st e,Minneapolis,MN",44.961804,-93.261426,6,Ventura Village,Phillips,3,3,12/19/2016,13:12,Ferry
"118 9th ave ne,Minneapolis,MN",44.996292,-93.266903,3,St. Anthony West,Northeast,2,2,12/18/2016,11:34,Ferry
"3322 aldrich ave n ,Minneapolis,MN",45.015692,-93.289062,4,McKinley,Camden,2,1,12/18/2016,15:47,Ferry
"1206 Freemont ave n,Minneapolis,MN",44.991984,-93.295631,5,Near - North,Near North,2,1,12/18/2016,09:20,Ferry
"28 16th ave ne,Minneapolis,MN",45.003907,-93.270684,3,Sheridan,Northeast,2,2,12/18/2016,13:41,Ferry
"202 20th ave ne,Minneapolis,MN",45.008524,-93.26528,3,Bottineau,Northeast,2,2,12/18/2016,14:35,Ferry
"3729 27th ave s,Minneapolis,MN",44.934806,-93.233102,12,Standish,Powderhorn,3,6,12/19/2016,13:12,Ferry
"3218 Johnson St NE,Minneapolis,MN",45.026447999999995,-93.237381,1,Waite Park,Northeast,1,2,12/17/2016,22:05,Ferry
"2100 Girard ave s,Minneapolis,MN",44.961883,-93.297268,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,12:17,Ferry
"1726 Adams st ne,Minneapolis,MN",45.005633,-93.256298,1,Logan Park,Northeast,2,2,12/18/2016,15:49,Ferry
"118 oak grove st,Minneapolis,MN",44.966387,-93.280238,7,Loring Park,Central,2,3,12/18/2016,09:20,Ferry
"3240 Holmes Ave s,Minneapolis,MN",44.943445000000004,-93.299873,10,ECCO,Calhoun Isles,2,5,12/18/2016,11:34,Ferry
"728 15th st e ,Minneapolis,MN",44.968344,-93.263456,7,Elliot Park,Central,2,3,12/18/2016,01:42,Ferry
"1107 17TH AVE SE,Minneapolis,MN",44.990977,-93.228585,1,Como,University,3,4,12/19/2016,13:14,Ferry
"3617 Chicago Avenue South,Minneapolis,MN",44.937163,-93.262512,9,Powderhorn Park,Powderhorn,1,6,12/17/2016,22:05,Ferry
"922 26th Avenue Southeast,Minneapolis,MN",44.987418,-93.216086,2,Como,University,2,4,12/18/2016,15:49,Ferry
"3358 RUSSELL AVE N,Minneapolis,MN",45.016696,-93.310436,4,Cleveland,Camden,2,1,12/18/2016,09:21,Ferry
"3106 colfax ave s,Minneapolis,MN",44.946222,-93.291953,10,South Uptown,Calhoun Isles,2,5,12/18/2016,14:35,Ferry
"799 2 st n,Minneapolis,MN",44.989382,-93.277001,3,North Loop,Central,2,1,12/18/2016,00:18,Ferry
"623 18TH ST E,Minneapolis,MN",44.965203,-93.26635999999999,6,Ventura Village,Phillips,3,3,12/19/2016,13:14,Ferry
"1772 FREMONT AVE S,Minneapolis,MN",44.966046,-93.295629,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,11:36,Ferry
"443 15th st w,Minneapolis,MN",44.968422,-93.285995,7,Loring Park,Central,1,3,12/17/2016,22:08,Ferry
"1820 2nd Ave s,Minneapolis,MN",44.964897,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,15:50,Ferry
"1040 aldrich ave n,Minneapolis,MN",44.988344,-93.291023,5,Sumner - Glenwood,Near North,2,1,12/18/2016,09:23,Ferry
"920 5th Street Southeast,Minneapolis,MN",44.983906,-93.241084,3,Marcy Holmes,University,2,4,12/18/2016,13:42,Ferry
"651 Adams st ne,Minneapolis,MN",44.996536,-93.255997,3,St. Anthony East,Northeast,3,2,12/19/2016,13:18,Ferry
"228 20th ave ne,Minneapolis,MN",45.008522,-93.26499799999999,3,Bottineau,Northeast,2,2,12/18/2016,14:36,Ferry
"3240 Aldrich Ave N,Minneapolis,MN",45.014435,-93.289275,4,McKinley,Camden,2,1,12/18/2016,15:51,Ferry
"920 6th st se,Minneapolis,MN",44.984888,-93.240377,3,Marcy Holmes,University,2,4,12/18/2016,12:18,Ferry
"612 3rd ave ne,Minneapolis,MN",44.992344,-93.25310400000001,3,St. Anthony East,Northeast,2,2,12/18/2016,09:24,Ferry
"500-799 2nd St N,Minneapolis,MN",44.987185,-93.273561,3,North Loop,Central,1,1,12/17/2016,22:08,Ferry
"1414 Grand st ne,Minneapolis,MN",45.002047999999995,-93.269973,3,Sheridan,Northeast,2,2,12/18/2016,11:36,Ferry
"719 Queen Ave. N. ,Minneapolis,MN",44.985665999999995,-93.310052,5,Willard - Hay,Near North,3,1,12/19/2016,13:18,Ferry
"4552 Longfellow ave S,Minneapolis,MN",44.919942,-93.246064,12,Ericsson,Nokomis,2,6,12/18/2016,14:36,Ferry
"202 12th ave ne,Minneapolis,MN",44.975511,-93.25124,3,Downtown East,Central,2,3,12/18/2016,13:43,Ferry
"1086 26th ave se,Minneapolis,MN",44.990688,-93.216418,1,Como,University,2,4,12/18/2016,15:51,Ferry
"3736 elliot ave,Minneapolis,MN",44.934849,-93.26150799999999,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,12:18,Ferry
"2019 Thomas ave n,Minneapolis,MN",45.000149,-93.31360699999999,5,Willard - Hay,Near North,3,1,12/19/2016,13:24,Ferry
"1332 Russell Ave n ,Minneapolis,MN",44.992616,-93.310406,5,Willard - Hay,Near North,2,1,12/18/2016,14:37,Ferry
"1316 Knox Ave n ,Minneapolis,MN",44.992174,-93.301691,5,Near - North,Near North,2,1,12/18/2016,11:37,Ferry
"1776 Bryant Ave s,Minneapolis,MN",44.96589,-93.29054000000001,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,09:25,Ferry
"3841 Chicago ave,Minneapolis,MN",44.932857,-93.262178,8,Bancroft,Powderhorn,1,6,12/17/2016,22:12,Ferry
"3036 13th Avenue South,Minneapolis,MN",44.947098,-93.256327,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,13:43,Ferry
"104 23rd ave ne,Minneapolis,MN",45.011091,-93.268825,3,Bottineau,Northeast,2,2,12/18/2016,15:51,Ferry
"3506 21st Avenue South,Minneapolis,MN",44.939192,-93.242304,9,Corcoran,Powderhorn,2,6,12/18/2016,12:18,Ferry
"921 14th Ave n,Minneapolis,MN",44.993047,-93.291988,5,Near - North,Near North,3,1,12/19/2016,13:25,Ferry
"1218 main St ne,Minneapolis,MN",45.000527000000005,-93.26769,3,Sheridan,Northeast,2,2,12/18/2016,11:39,Ferry
"718 3rd ave ne,Minneapolis,MN",44.975001,-93.268401,7,Downtown West,Central,2,3,12/18/2016,09:25,Ferry
"1418 5th st ne,Minneapolis,MN",45.002484,-93.260615,3,Sheridan,Northeast,2,2,12/18/2016,14:38,Ferry
"935 2nd st n,Minneapolis,MN",44.991053,-93.27934499999999,3,North Loop,Central,1,1,12/17/2016,22:12,Ferry
"3622 Aldrich Ave South,Minneapolis,MN",44.936904,-93.28952,10,East Harriet,Southwest,2,5,12/18/2016,15:51,Ferry
"2316 9th st s,Minneapolis,MN",44.963993,-93.238664,6,Seward,Longfellow,2,4,12/18/2016,00:19,Ferry
"601 6th St se ,Minneapolis,MN",44.987003,-93.244976,3,Marcy Holmes,University,3,4,12/19/2016,13:26,Ferry
"1776 FREMONT AVE S,Minneapolis,MN",44.96584,-93.295998,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,11:39,Ferry
"306 5th Ave se,Minneapolis,MN",44.984634,-93.248909,3,Marcy Holmes,University,2,4,12/18/2016,09:26,Ferry
"1006 19 th ave se,Minneapolis,MN",44.988189,-93.225557,1,Como,University,2,4,12/18/2016,14:38,Ferry
"2508 4th St SE -,Minneapolis,MN",44.97437,-93.220472,2,Prospect Park - East River Road,University,2,4,12/18/2016,15:52,Ferry
"4128 Chicago Ave. S. ,Minneapolis,MN",44.927785,-93.262879,8,Bryant,Powderhorn,1,5,12/17/2016,22:13,Ferry
"3128 JAMES AVE S ,Minneapolis,MN",44.945543,-93.303737,10,ECCO,Calhoun Isles,2,5,12/18/2016,10:33,Ferry
"2114 GIRARD AVE S,Minneapolis,MN",44.961495,-93.297274,7,Lowry Hill,Calhoun Isles,2,3,12/18/2016,13:43,Ferry
"1405 6th st se ,Minneapolis,MN",44.982229,-93.233574,3,Marcy Holmes,University,3,4,12/19/2016,13:27,Ferry
"1827 lasalle av s,Minneapolis,MN",44.964617,-93.279064,7,Steven's Square - Loring Heights,Central,2,3,12/18/2016,00:19,Ferry
"1344 Knox Ave n,Minneapolis,MN",44.992929,-93.301581,5,Near - North,Near North,2,1,12/18/2016,11:40,Ferry
"518 7th ave ne,Minneapolis,MN",44.996691999999996,-93.25779200000001,3,St. Anthony West,Northeast,2,2,12/18/2016,10:33,Ferry
"2104 GRAND AVE S,Minneapolis,MN",44.961647,-93.284581,10,Whittier,Powderhorn,2,3,12/18/2016,15:52,Ferry
"500-799 2nd st n,Minneapolis,MN",44.987185,-93.273561,3,North Loop,Central,1,1,12/17/2016,22:16,Ferry
"716 3rd ave SE,Minneapolis,MN",44.989979999999996,-93.248303,3,Marcy Holmes,University,2,4,12/18/2016,09:26,Ferry
"618 Jefferson st ne,Minneapolis,MN",44.995676,-93.255219,3,St. Anthony East,Northeast,2,2,12/18/2016,14:40,Ferry
"312 Clifton Ave,Minneapolis,MN",44.965905,-93.28322800000001,7,Loring Park,Central,2,3,12/18/2016,13:44,Ferry
"2831 34TH ST E,Minneapolis,MN",44.94135,-93.23128299999999,12,Longfellow,Longfellow,3,6,12/19/2016,13:28,Ferry
"1118 Logan Ave N,Minneapolis,MN",44.989444,-93.30319300000001,5,Near - North,Near North,2,1,12/18/2016,11:40,Ferry
"1816 32nd st e,Minneapolis,MN",44.944758,-93.247771,9,Powderhorn Park,Powderhorn,2,6,12/18/2016,15:53,Ferry
"104 14TH ST w,Minneapolis,MN",44.968809,-93.280173,7,Loring Park,Central,2,3,12/18/2016,10:35,Ferry
"33115th st W,Minneapolis,MN",44.968396999999996,-93.285924,7,Loring Park,Central,1,3,12/17/2016,22:17,Ferry
"1114 6th st ne,Minneapolis,MN",44.999204999999996,-93.259268,3,Sheridan,Northeast,2,2,12/18/2016,12:19,Ferry
"1202 Fremont Ave. N. ,Minneapolis,MN",44.991984,-93.295631,5,Near - North,Near North,2,1,12/18/2016,09:27,Ferry
"1718 Adams st ne,Minneapolis,MN",45.005519,-93.2563,1,Logan Park,Northeast,2,2,12/18/2016,13:44,Ferry
"1016 20 th ave se,Minneapolis,MN",44.988393,-93.224181,1,Como,University,2,4,12/18/2016,14:40,Ferry
"1413 6th St se,Minneapolis,MN",44.982164000000004,-93.2334,3,Marcy Holmes,University,3,4,12/19/2016,13:29,Ferry
"2122 6th st n,Minneapolis,MN",45.000865000000005,-93.286041,5,Hawthorne,Near North,2,1,12/18/2016,11:41,Ferry
"1122 Irving Ave N,Minneapolis,MN",44.989778,-93.299374,5,Near - North,Near North,2,1,12/18/2016,10:36,Ferry
"116 23rd ave ne,Minneapolis,MN",45.011093,-93.26860699999999,3,Bottineau,Northeast,2,2,12/18/2016,15:53,Ferry
"346 26th ave ne,Minneapolis,MN",45.014995,-93.262778,1,Holland,Northeast,2,2,12/18/2016,13:45,Ferry
"2904 emerson av s,Minneapolis,MN",44.949872,-93.294498,10,Lowry Hill East,Calhoun Isles,1,3,12/17/2016,22:19,Ferry
"35th & Hennepin,Minneapolis,MN",44.939513,-93.298373,10,South Uptown,Calhoun Isles,2,5,12/18/2016,00:20,Ferry
"520 5th Ave se,Minneapolis,MN",44.986936,-93.246787,3,Marcy Holmes,University,2,4,12/18/2016,09:28,Ferry
"3511 Bryant Ave N ,Minneapolis,MN",45.018945,-93.290913,4,McKinley,Camden,3,1,12/19/2016,13:29,Ferry
"318 18th St e,Minneapolis,MN",44.965233000000005,-93.271553,6,Steven's Square - Loring Heights,Central,2,3,12/18/2016,14:41,Ferry
"2510 4th st n,Minneapolis,MN",45.00525,-93.284642,5,Hawthorne,Near North,2,1,12/18/2016,10:36,Ferry
"3120 JAMES AVE S ,Minneapolis,MN",44.945807,-93.303671,10,ECCO,Calhoun Isles,2,5,12/18/2016,11:42,Ferry
"1406 6TH ST SE,Minneapolis,MN",44.9823,-93.233841,3,Marcy Holmes,University,2,4,12/18/2016,13:46,Ferry
"1092 27THAVE SE,Minneapolis,MN",44.990215,-93.215144,1,Como,University,2,4,12/18/2016,15:56,Ferry
"3031 Aldrich Ave s,Minneapolis,MN",44.94727,-93.289371,10,South Uptown,Calhoun Isles,3,5,12/19/2016,13:30,Ferry
"3034 KNOX AVE S ,Minneapolis,MN",44.947198,-93.304988,10,ECCO,Calhoun Isles,2,5,12/18/2016,09:29,Ferry
"1320 Irving ave north,Minneapolis,MN",44.992469,-93.29923199999999,5,Near - North,Near North,2,1,12/18/2016,10:36,Ferry
"3212 Girard Ave South,Minneapolis,MN",44.944226,-93.297074,10,South Uptown,Calhoun Isles,2,5,12/18/2016,11:42,Ferry
"119 13th Ave NE,Minneapolis,MN",45.000446000000004,-93.269042,3,Sheridan,Northeast,2,2,12/18/2016,01:47,Ferry
