Location,Latitude,Longitude,Neighborhood,Community,Ward,Emergency,Day,Tow_Zone,Date,Time
2821 GIRARD AVE N,45.0092124939,-93.2967987061,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2821 GRAND AVE S,44.951122283900006,-93.2841110229,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2822 ALDRICH AVE N,45.0092773438,-93.2892532349,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2822 BRYANT AVE N,45.0092315674,-93.2905426025,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2822 DELAWARE ST SE,44.9701080322,-93.2178421021,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
2822 PILLSBURY AVE,44.95129776,-93.2811126709,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2823 11TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2823 39TH ST E,44.932319641099994,-93.2314376831,Standish,Powderhorn,12,Xerxes,3,6,02/25/2018,00:00
2823 51ST ST E,44.910793304399995,-93.231300354,Keewaydin,Nokomis,12,Xerxes,3,6,02/25/2018,00:00
2823 ALDRICH AVE N,45.0092430115,-93.2893295288,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2824 ALDRICH AVE N,45.0093193054,-93.2892532349,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2824 DREW AVE S,44.9503211975,-93.3262557983,Cedar - Isles - Dean,Calhoun Isle,7,Xerxes,2,3,02/24/2018,00:00
2824 OAKLAND AVE S,44.9512748718,-93.26634216309999,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2824 PILLSBURY AVE,44.951164245600005,-93.2813415527,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2825 39TH ST E,44.9323120117,-93.2312545776,Standish,Powderhorn,12,Xerxes,3,6,02/25/2018,00:00
2825 ALDRICH AVE S,44.9515228271,-93.28941345209999,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2825 GRAND AVE S,44.950881958000004,-93.2841796875,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2825 IRVING AVE N,45.0093345642,-93.299446106,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2826 39TH AVE N,45.025966644300006,-93.3130569458,Victory,Camden,4,Xerxes,2,1,02/24/2018,00:00
2826 HUMBOLDT AVE N,45.009437561000006,-93.29814910889999,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2826 PILLSBURY AVE,44.951164245600005,-93.2813415527,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2827 51ST ST E,44.910732269300006,-93.2308273315,Keewaydin,Nokomis,12,Xerxes,3,6,02/25/2018,00:00
2827 5TH AVE S,44.9507675171,-93.268699646,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2827 GRAND AVE S,44.950733184799994,-93.2842559814,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2827 HUMBOLDT AVE S,44.9511566162,-93.3008499146,East Isles,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2828 CHOWEN AVE S,44.9506454468,-93.3250274658,Cedar - Isles - Dean,Calhoun Isle,7,Xerxes,2,3,02/24/2018,00:00
2828 COLUMBUS AVE S,44.9506607056,-93.2648468018,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2828 OAKLAND AVE S,44.950969696,-93.2663269043,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2829 11TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2829 33RD ST E,44.9429283142,-93.23064422610001,Longfellow,Longfellow,9,Xerxes,3,6,02/25/2018,00:00
2829 PILLSBURY AVE,44.9510993958,-93.2814178467,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2830 32ND AVE S,44.9508171082,-93.2257003784,Longfellow,Longfellow,2,Xerxes,2,4,02/24/2018,00:00
2830 PILLSBURY AVE,44.951164245600005,-93.2813415527,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2830 PLEASANT AVE,44.9508705139,-93.2829208374,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2831 COLUMBUS AVE S,44.9506797791,-93.26421356200001,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2831 GRAND AVE S,44.9505844116,-93.2842712402,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2831 HUMBOLDT AVE S,44.9494857788,-93.3007736206,East Isles,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2832 COLUMBUS AVE S,44.9507141113,-93.264175415,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2832 GARFIELD AVE S,44.9507980347,-93.286819458,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2832 OAKLAND AVE S,44.950244903599994,-93.2681655884,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2833 12TH AVE S,44.950973510699995,-93.25765228270001,Midtown Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
2833 COLUMBUS AVE S,44.9509353638,-93.2640991211,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2834 HARRIET AVE S,44.9507980347,-93.2855148315,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2835 12TH AVE S,44.9508666992,-93.2576141357,Midtown Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
2835 HARRIET AVE S,44.951080322299994,-93.28575134280001,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2835 HUMBOLDT AVE S,44.9493026733,-93.3007354736,East Isles,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2835 STEVENS AVE S,44.9506912231,-93.2754592896,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2835 STEVENS AVE S,44.9509315491,-93.27540588379999,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2836 DELAWARE ST SE,44.9696884155,-93.2177810669,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
2836 OAKLAND AVE S,44.9501495361,-93.2674407959,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2837 GARFIELD AVE S,44.950702667200005,-93.2870407104,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2839 GARFIELD AVE S,44.950771331800006,-93.28686523440001,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2839 HARRIET AVE S,44.9508705139,-93.2854385376,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2840 12TH AVE S,44.9509391785,-93.2575378418,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2840 32ND AVE S,44.9506797791,-93.2257003784,Longfellow,Longfellow,2,Xerxes,2,4,02/24/2018,00:00
2840 OAKLAND AVE S,44.950252533000004,-93.26815795899999,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2841 ALDRICH AVE S,44.950973510699995,-93.2895278931,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2841 COLUMBUS AVE S,44.9504623413,-93.2641372681,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2842 DELAWARE ST SE,44.969417572,-93.21775817870001,Prospect Park - East River Road,University,2,Xerxes,2,4,02/24/2018,00:00
2843 HARRIET AVE S,44.9508628845,-93.28575134280001,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2846 COLUMBUS AVE S,44.950756073,-93.2640609741,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2847 GARFIELD ST NE,45.0199623108,-93.2332611084,Audubon Park,Northeast,1,Xerxes,3,2,02/25/2018,00:00
2848 COLUMBUS AVE S,44.9509773254,-93.26398468020001,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2849 ALDRICH AVE S,44.9506492615,-93.28941345209999,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2851 ALDRICH AVE S,44.9506492615,-93.28941345209999,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2851 HARRIET AVE S,44.9501609802,-93.2848892212,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
29 16TH AVE NE,45.0038833618,-93.2708816528,Sheridan,Northeast,3,Xerxes,3,2,02/25/2018,00:00
29 61ST ST E,44.892486572299994,-93.2778778076,Windom,Southwest,11,Xerxes,3,5,02/25/2018,00:00
2900 4TH ST N,45.0096817017,-93.2848815918,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2900 PILLSBURY AVE,44.95105361939999,-93.2813949585,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2900 QUEEN AVE N,45.0099601746,-93.30939483639999,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2900 RUSSELL AVE N,45.0094871521,-93.3106002808,Jordan,Near North,4,Xerxes,2,1,02/24/2018,00:00
2901 GRAND AVE S,44.9500617981,-93.2844543457,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2901 OAKLAND AVE S,44.9497528076,-93.26586151120001,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2902 3RD AVE S,44.95007705689999,-93.2724685669,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2902 4TH ST N,45.0097503662,-93.28489685059999,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2903 BRYANT AVE N,45.0097770691,-93.29058074950001,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2904 11TH AVE S,44.9499511719,-93.25903320309999,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2904 12TH AVE S,44.9499168396,-93.2576980591,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2904 3RD AVE S,44.9491844177,-93.2731018066,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2904 50TH AVE N,45.0458297729,-93.31681060790001,Shingle Creek,Camden,4,Xerxes,2,1,02/24/2018,00:00
2904 PILLSBURY AVE,44.9511451721,-93.2811355591,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2905 35TH AVE S,44.9500541687,-93.2218780518,Longfellow,Longfellow,2,Xerxes,3,4,02/25/2018,00:00
2905 53RD ST W,44.9070854187,-93.31652832030001,Fulton,Southwest,13,Xerxes,3,5,02/25/2018,00:00
2905 ALDRICH AVE S,44.9497413635,-93.2892913818,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2905 ALDRICH AVE S,44.9497795105,-93.2892532349,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2905 CLINTON AVE S,44.949924468999995,-93.2714080811,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2905 HARRIET AVE S,44.949924468999995,-93.2855148315,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2905 OAKLAND AVE S,44.9499015808,-93.26594543459998,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2906 3RD AVE S,44.949226379399995,-93.2729034424,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2906 KNOX AVE N,45.0097885132,-93.3019104004,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2906 PILLSBURY AVE,44.9508209229,-93.2810821533,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2906 RUSSELL AVE N,45.0095214844,-93.31064605709999,Jordan,Near North,4,Xerxes,2,1,02/24/2018,00:00
2907 12TH AVE S,44.9496994019,-93.2576980591,Midtown Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
2907 ALDRICH AVE N,45.0097694397,-93.28931427,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2907 ALDRICH AVE S,44.9552726746,-93.28958129879999,Lowry Hill East,Calhoun Isle,10,Xerxes,3,3,02/25/2018,00:00
2907 GIRARD AVE N,45.0099411011,-93.29685974120001,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2908 12TH AVE S,44.9497718811,-93.2576980591,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2908 3RD AVE S,44.949211120600005,-93.2722320557,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2908 HARRIET AVE S,44.949924468999995,-93.2855148315,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2909 ALDRICH AVE N,45.0098342896,-93.28932189940001,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2909 BRYANT AVE N,45.0098648071,-93.29058074950001,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2910 11TH AVE S,44.9496688843,-93.2587127686,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2910 3RD AVE S,44.9493331909,-93.2731018066,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2910 4TH ST N,45.0099983215,-93.2848815918,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2910 GIRARD AVE N,45.010017395,-93.29683685299999,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2910 HARRIET AVE S,44.949924468999995,-93.2855148315,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2910 LINCOLN ST NE,45.020656585699996,-93.2384490967,Audubon Park,Northeast,1,Xerxes,2,2,02/24/2018,00:00
2910 PILLSBURY AVE,44.950012207,-93.2813339233,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2911 11TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2911 13TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2911 OAKLAND AVE S,44.9497489929,-93.2661056519,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2912 14TH AVE S,44.949478149399994,-93.25518035889999,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2912 3RD AVE S,44.949420929,-93.2725448608,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2912 CHESTNUT AVE,44.9771537781,-93.31783294680001,Bryn - Mawr,Calhoun Isle,7,Xerxes,2,3,02/24/2018,00:00
2912 HARRIET AVE S,44.9498138428,-93.28556060790001,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2912 PILLSBURY AVE,44.9497642517,-93.28143310549999,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2913 BRYANT AVE N,45.0099449158,-93.2905731201,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2913 HARRIET AVE S,44.949886322,-93.28547668459998,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2913 HARRIET AVE S,44.949924468999995,-93.2855148315,Whittier,Powderhorn,10,Xerxes,3,3,02/25/2018,00:00
2914 11TH AVE S,44.9495239258,-93.2587127686,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2914 3RD AVE S,44.949417114300005,-93.27270507809999,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2914 4TH ST N,45.0101585388,-93.2849273682,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2914 GIRARD AVE N,45.0100326538,-93.2968139648,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2914 HARRIET AVE S,44.949886322,-93.28547668459998,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2915 39TH AVE S,44.949619293199994,-93.21661376950001,Cooper,Longfellow,2,Xerxes,3,4,02/25/2018,00:00
2915 6TH ST N,45.010017395,-93.2864685059,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2915 BRYANT AVE N,45.009994506800005,-93.2905883789,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2915 CLINTON AVE S,44.950038909899995,-93.2712936401,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2915 DUPONT AVE N,45.009963989300005,-93.2930603027,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2915 KNOX AVE N,45.0100479126,-93.30194091799999,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2916 12TH AVE S,44.9496421814,-93.25714874270001,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2916 12TH AVE S,44.9498443604,-93.2576980591,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2916 3RD AVE S,44.9491958618,-93.27278137209998,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2916 GIRARD AVE N,45.0100898743,-93.2968215942,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2916 HARRIET AVE S,44.949886322,-93.28547668459998,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2917 12TH AVE S,44.9498519897,-93.25737762450001,Midtown Phillips,Phillips,9,Xerxes,3,3,02/25/2018,00:00
2917 13TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2917 CLINTON AVE S,44.949375152600005,-93.2718200684,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2918 11TH AVE S,44.949306488000005,-93.2587127686,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2918 14TH AVE S,44.9492645264,-93.2550201416,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2918 3RD AVE S,44.949478149399994,-93.2731018066,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2918 ALDRICH AVE N,45.01014328,-93.2892532349,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2918 CLINTON AVE S,44.9491767883,-93.27172851559999,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2918 GIRARD AVE N,45.0101699829,-93.2968292236,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2918 HARRIET AVE S,44.9498138428,-93.28556060790001,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2918 QUEEN AVE N,45.010166168199994,-93.30981445309999,Jordan,Near North,4,Xerxes,2,1,02/24/2018,00:00
2919 13TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2919 BRYANT AVE N,45.0100746155,-93.2905426025,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2919 CLINTON AVE S,44.949867248500006,-93.2721557617,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2919 COLUMBUS AVE S,44.949306488000005,-93.2638244629,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2919 DREW AVE S,44.949127197299994,-93.3262252808,Cedar - Isles - Dean,Calhoun Isle,7,Xerxes,3,3,02/25/2018,00:00
2919 DUPONT AVE N,45.010173797600004,-93.2930297852,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2919 GIRARD AVE N,45.0101509094,-93.2968444824,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2919 OAKLAND AVE S,44.9495353699,-93.26602172850001,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2919 OAKLAND AVE S,44.9496383667,-93.26593780520001,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2920 14TH AVE S,44.9492645264,-93.2549438477,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2920 29TH AVE S,44.9492874146,-93.23003387450001,Longfellow,Longfellow,2,Xerxes,2,4,02/24/2018,00:00
2920 ALDRICH AVE N,45.0101470947,-93.2892684937,Hawthorne,Near North,5,Xerxes,2,1,02/24/2018,00:00
2920 CHESTNUT AVE,44.9771575928,-93.318145752,Bryn - Mawr,Calhoun Isle,7,Xerxes,2,3,02/24/2018,00:00
2920 CLINTON AVE S,44.949161529499996,-93.2719268799,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2920 HARRIET AVE S,44.9500007629,-93.2853622437,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
2920 KNOX AVE N,45.010192871099996,-93.30191802979999,Jordan,Near North,5,Xerxes,2,1,02/24/2018,00:00
2921 3RD AVE S,44.949409484899995,-93.2729415894,Phillips West,Phillips,6,Xerxes,3,3,02/25/2018,00:00
2921 58TH ST W,44.8979644775,-93.3171768188,Armatage,Southwest,13,Xerxes,3,5,02/25/2018,00:00
2921 GIRARD AVE N,45.010166168199994,-93.29685974120001,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2922 11TH AVE S,44.9494514465,-93.2586364746,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2922 32ND AVE S,44.9492607117,-93.2257156372,Longfellow,Longfellow,2,Xerxes,2,4,02/24/2018,00:00
2922 CLINTON AVE S,44.9490470886,-93.2719116211,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2922 OAKLAND AVE S,44.9490814209,-93.2665786743,Phillips West,Phillips,6,Xerxes,2,3,02/24/2018,00:00
2923 13TH AVE S,44.975395202600005,-93.2790298462,Downtown West,Central,7,Xerxes,3,3,02/25/2018,00:00
2923 30TH AVE S,44.9492149353,-93.2284698486,Longfellow,Longfellow,2,Xerxes,3,4,02/25/2018,00:00
2923 49TH ST E,44.9142723083,-93.2294921875,Keewaydin,Nokomis,12,Xerxes,3,6,02/25/2018,00:00
2923 ALDRICH AVE N,45.0102310181,-93.2893295288,Hawthorne,Near North,5,Xerxes,3,1,02/25/2018,00:00
2923 GIRARD AVE N,45.010269165,-93.2968673706,Jordan,Near North,5,Xerxes,3,1,02/25/2018,00:00
2924 11TH AVE S,44.949298858599995,-93.2588729858,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2924 12TH AVE S,44.9490814209,-93.2588729858,Midtown Phillips,Phillips,9,Xerxes,2,3,02/24/2018,00:00
2924 30TH AVE S,44.949062347399995,-93.2287063599,Longfellow,Longfellow,2,Xerxes,2,4,02/24/2018,00:00
2924 HARRIET AVE S,44.9497375488,-93.2856369019,Whittier,Powderhorn,10,Xerxes,2,3,02/24/2018,00:00
