Location,Latitude,Longitude,Emergency,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time
"4217 CHICAGO AVE S,Minneapolis,MN",44.926322,-93.262174,Xerxes,1,8,Northrop,Nokomis,6,02/24/2018,02:08
"3407 BLOOMINGTON AVE S,Minneapolis,MN",44.941038,-93.25244,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,02:13
"2328 32ND ST E,Minneapolis,MN",44.944944,-93.237837,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:14
"2314 32ND ST E,Minneapolis,MN",44.944963,-93.238168,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:15
"3008 13th av s,Minneapolis,MN",44.947811,-93.256642,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,14:17
"3438 BLOOMINGTON AVE S,Minneapolis,MN",44.939939,-93.25271500000001,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,02:23
"3240 18th ave ,Minneapolis,MN",44.943227,-93.248875,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,14:27
"3413 BLOOMINGTON AVE S,Minneapolis,MN",44.940884999999994,-93.25210600000001,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,02:29
"4325 BLOOMINGTON AVE S,Minneapolis,MN",44.924149,-93.252057,Xerxes,1,11,Northrop,Nokomis,6,02/24/2018,02:37
"1840 32nd st,Minneapolis,MN",44.944744,-93.246299,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:41
"2330 32nd st,Minneapolis,MN",44.944944,-93.23781600000001,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:42
"3128 22ND AVE S,Minneapolis,MN",44.945728,-93.240961,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:47
"3124 22ND AVE S,Minneapolis,MN",44.945814,-93.240626,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,14:49
"4602 Bloomington Ave South,Minneapolis,MN",44.919521,-93.25239599999999,Xerxes,1,11,Northrop,Nokomis,6,02/24/2018,02:58
"3350 BLOOMINGTON AVE S,Minneapolis,MN",44.941539,-93.252444,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,02:59
"4325 Bloomington ave s,Minneapolis,MN",44.924149,-93.252057,Xerxes,1,11,Northrop,Nokomis,6,02/24/2018,03:01
"3524 BLOOMINGTON AVE S,Minneapolis,MN",44.938615000000006,-93.252422,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,03:05
"3032 15th av s,Minneapolis,MN",44.947369,-93.25376899999999,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,15:08
"3020 33rd ave s ,Minneapolis,MN",44.947666,-93.22460600000001,Xerxes,2,2,Longfellow,Longfellow,6,02/24/2018,15:24
"3200 15th ave s,Minneapolis,MN",44.94461,-93.254061,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,15:32
"4158 snelling,Minneapolis,MN",44.927283,-93.22067,Xerxes,2,12,Hiawatha,Longfellow,6,02/24/2018,15:40
"3040 33RD AVE S,Minneapolis,MN",44.947119,-93.22460600000001,Xerxes,2,2,Longfellow,Longfellow,6,02/24/2018,16:18
"3704 BLOOMINGTON AVE S,Minneapolis,MN",44.935685,-93.252686,Xerxes,1,9,Powderhorn Park,Powderhorn,6,02/24/2018,04:36
"4015 BLOOMINGTON AVE S,Minneapolis,MN",44.929978999999996,-93.25206999999999,Xerxes,1,8,Bancroft,Powderhorn,6,02/24/2018,04:37
"3744 SNELLING AVE S,Minneapolis,MN",44.934692,-93.22642900000001,Xerxes,2,12,Howe,Longfellow,6,02/24/2018,16:39
"4130 28TH AVE S,Minneapolis,MN",44.927832,-93.23239000000001,Xerxes,1,12,Standish,Powderhorn,6,02/24/2018,04:40
"5046 BLOOMINGTON AVE S,Minneapolis,MN",44.911095,-93.252418,Xerxes,1,11,Hale,Nokomis,6,02/24/2018,04:41
"3118 22ND AVE S,Minneapolis,MN",44.945929,-93.240626,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,16:41
"4130 28TH AVE S,Minneapolis,MN",44.927832,-93.23239000000001,Xerxes,1,12,Standish,Powderhorn,6,02/24/2018,05:34
"4130 28TH AVE S,Minneapolis,MN",44.927832,-93.23239000000001,Xerxes,1,12,Standish,Powderhorn,6,02/24/2018,05:36
"4058 28TH AVE S,Minneapolis,MN",44.928884000000004,-93.232127,Xerxes,1,12,Standish,Powderhorn,6,02/24/2018,06:05
"4131 28TH AVE S,Minneapolis,MN",44.927786,-93.232126,Xerxes,1,12,Standish,Powderhorn,6,02/24/2018,06:06
"4518 14th ave s,Minneapolis,MN",44.921170000000004,-93.254944,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,08:21
"4032 14th ave s ,Minneapolis,MN",44.929507,-93.255259,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,08:26
"3948 14th Avenue South,Minneapolis,MN",44.930875,-93.255239,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,08:30
"3506 14th ave s,Minneapolis,MN",44.939221,-93.2552,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:05
"4048 14th ave s,Minneapolis,MN",44.929052,-93.255239,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,09:07
"3744 14th ave S,Minneapolis,MN",44.93432,-93.25518000000001,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:10
"3526 13th ave s ,Minneapolis,MN",44.938564,-93.256536,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:11
"4026 14th ave S,Minneapolis,MN",44.92969,-93.254935,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,09:12
"3730 14th ave s,Minneapolis,MN",44.934844,-93.255241,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:12
"4316 12th Avenue South,Minneapolis,MN",44.924534,-93.257754,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,09:21
"3608 12th av s,Minneapolis,MN",44.937362,-93.257793,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:39
"3604 12th ave s,Minneapolis,MN",44.937471,-93.257793,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:46
"3518 11th ave s ,Minneapolis,MN",44.938877000000005,-93.25875699999999,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,09:53
"3518 26th Avenue South,Minneapolis,MN",44.938939000000005,-93.234666,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,09:54
"3410 26th Avenue South,Minneapolis,MN",44.940891,-93.23496800000001,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,09:57
"3944 11th Avenue South,Minneapolis,MN",44.930914,-93.258972,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,10:07
"4204 12th ave s,Minneapolis,MN",44.926684,-93.257793,Xerxes,2,8,Northrop,Nokomis,6,02/24/2018,10:11
"3720 14th ave,Minneapolis,MN",44.935103000000005,-93.2552,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,10:14
"4410 15TH AVE S,Minneapolis,MN",44.922893,-93.253675,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,10:15
"3930 13th ave s,Minneapolis,MN",44.931396,-93.256187,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,10:15
"4028 11th ave S,Minneapolis,MN",44.929638,-93.259011,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,10:16
"4862 15TH AVE S,Minneapolis,MN",44.914320000000004,-93.253665,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,10:19
"3522 15th av s,Minneapolis,MN",44.938665,-93.253687,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,10:23
"1522 41St st e,Minneapolis,MN",44.928713,-93.253416,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,10:26
"3624 10th Avenue South,Minneapolis,MN",44.936871999999994,-93.260288,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,10:42
"2728 41ST ST E,Minneapolis,MN",44.928841,-93.233026,Xerxes,2,12,Standish,Powderhorn,6,02/24/2018,11:05
"2712 41ST ST E,Minneapolis,MN",44.928853000000004,-93.232694,Xerxes,2,12,Standish,Powderhorn,6,02/24/2018,11:06
"4340 Elliot ave,Minneapolis,MN",44.923842,-93.261565,Xerxes,2,11,Northrop,Nokomis,6,02/24/2018,11:14
"4006 11th av s,Minneapolis,MN",44.930245,-93.25872199999999,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,11:14
"3324 21st Avenue,Minneapolis,MN",44.941984000000005,-93.242591,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,11:22
"3632 Elliot ave s ,Minneapolis,MN",44.936674,-93.261486,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,11:23
"3018 longfellow AVE S,Minneapolis,MN",44.947616,-93.246121,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,11:23
"3428 19th ave S,Minneapolis,MN",44.940371999999996,-93.245184,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,11:25
"3418 elliot,Minneapolis,MN",44.940753,-93.261565,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,11:43
"5152 15TH AVE S,Minneapolis,MN",44.909118,-93.25403100000001,Xerxes,2,11,Hale,Nokomis,6,02/24/2018,11:44
"5140 15TH AVE S,Minneapolis,MN",44.909473999999996,-93.254021,Xerxes,2,11,Hale,Nokomis,6,02/24/2018,11:47
"804 40th st e,Minneapolis,MN",44.930553,-93.262433,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,11:49
"3216 24th Avenue,Minneapolis,MN",44.944065,-93.237705,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,11:59
"4747 Chicago,Minneapolis,MN",44.916268,-93.262264,Xerxes,1,11,Northrop,Nokomis,6,02/24/2018,00:01
"3917 CHICAGO AVE S,Minneapolis,MN",44.931727,-93.262084,Xerxes,1,8,Bancroft,Powderhorn,6,02/24/2018,00:01
"4129 Chicago Ave S,Minneapolis,MN",44.927807,-93.262498,Xerxes,1,8,Bancroft,Powderhorn,6,02/24/2018,00:02
"3920 Elliot ave s ,Minneapolis,MN",44.931644,-93.261486,Xerxes,2,8,Bancroft,Powderhorn,6,02/24/2018,12:04
"3112 22nd ave S,Minneapolis,MN",44.94611,-93.240981,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,12:09
"3144 22nd ave,Minneapolis,MN",44.945262,-93.240623,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,12:10
"3204 10th av s,Minneapolis,MN",44.944503000000005,-93.260386,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,12:13
"3604 Eliot ave,Minneapolis,MN",44.937512,-93.261557,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,12:14
"3206 Elliot ave ,Minneapolis,MN",44.944448,-93.261346,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,12:24
"3200 24th Avenue South,Minneapolis,MN",44.944607,-93.23744599999999,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,12:37
"3032 Elliot av s,Minneapolis,MN",44.947271,-93.26168299999999,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,12:38
"3722 29th Avenue South,Minneapolis,MN",44.935223,-93.231127,Xerxes,2,12,Standish,Powderhorn,6,02/24/2018,12:40
"3746 29th Avenue South,Minneapolis,MN",44.934523,-93.231134,Xerxes,2,12,Standish,Powderhorn,6,02/24/2018,12:45
"3138 22nd ave S,Minneapolis,MN",44.945492,-93.240941,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,12:49
"6021 CHICAGO AVE S,Minneapolis,MN",44.893551,-93.262508,Xerxes,1,11,Diamond Lake,Nokomis,6,02/24/2018,00:50
"3238 Elliot ave ,Minneapolis,MN",44.94363,-93.261604,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/24/2018,12:50
"3142 22nd aVE S,Minneapolis,MN",44.94531,-93.240941,Xerxes,2,9,Corcoran,Powderhorn,6,02/24/2018,12:50
"3151 14TH AVE S,Minneapolis,MN",44.94508,-93.255028,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:04
"3047 14TH AVE S,Minneapolis,MN",44.946959,-93.254729,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:11
"1309 powderhorn ter,Minneapolis,MN",44.945653,-93.255147,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:15
"3145 elliot,Minneapolis,MN",44.945212,-93.261054,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:29
"3151 elliot,Minneapolis,MN",44.945101,-93.261352,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:31
"3055 18th ave s,Minneapolis,MN",44.946811,-93.24868000000001,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:32
"4117 11TH AVE S,Minneapolis,MN",44.92816,-93.258421,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,13:41
"3125 21st ave s,Minneapolis,MN",44.945702000000004,-93.24231999999999,Xerxes,3,9,Corcoran,Powderhorn,6,02/25/2018,13:41
"3045 18TH AVE S,Minneapolis,MN",44.946863,-93.24868000000001,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:50
"3047 18TH AVE S,Minneapolis,MN",44.946852,-93.24868000000001,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,13:58
"3053 15TH AV S,Minneapolis,MN",44.946886,-93.25347099999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:00
"3109 10TH AVE S,Minneapolis,MN",44.946182,-93.260104,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:06
"3131 15TH AVE S,Minneapolis,MN",44.945574,-93.25347099999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:08
"1213 powderhorn ter,Minneapolis,MN",44.945651,-93.25739,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:08
"3119 22nd ave,Minneapolis,MN",44.945985,-93.240274,Xerxes,3,9,Corcoran,Powderhorn,6,02/25/2018,14:14
"3113 21st ave s,Minneapolis,MN",44.946083,-93.2419,Xerxes,3,9,Corcoran,Powderhorn,6,02/25/2018,14:14
"3019 29th ave s,Minneapolis,MN",44.947613,-93.23000400000001,Xerxes,2,2,Longfellow,Longfellow,6,02/25/2018,14:19
"809 32ND ST E,Minneapolis,MN",44.944513,-93.26253,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:20
"3125 14th Ave South,Minneapolis,MN",44.945818,-93.25482099999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:21
"3059 14TH AVE S,Minneapolis,MN",44.946715999999995,-93.255045,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:21
"3035 30th ave s ,Minneapolis,MN",44.947185,-93.228403,Xerxes,2,2,Longfellow,Longfellow,6,02/25/2018,14:23
"3407 17th Ave South,Minneapolis,MN",44.941018,-93.249914,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:24
"3653 18TH AVE S,Minneapolis,MN",44.936173,-93.248325,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:38
"1541 34TH ST E,Minneapolis,MN",44.940954,-93.25219,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,14:42
"3509 smelling ave,Minneapolis,MN",44.939295,-93.229095,Xerxes,3,12,Howe,Longfellow,6,02/25/2018,15:00
"3443 Snelling Avenue South,Minneapolis,MN",44.940179,-93.229681,Xerxes,3,12,Howe,Longfellow,6,02/25/2018,15:01
"1845 36th st e,Minneapolis,MN",44.937539,-93.246305,Xerxes,3,12,Standish,Powderhorn,6,02/25/2018,15:07
"1907 33rd st,Minneapolis,MN",44.942932,-93.244773,Xerxes,3,9,Corcoran,Powderhorn,6,02/25/2018,15:46
"4311 14th ave s,Minneapolis,MN",44.924732,-93.25465,Xerxes,3,11,Northrop,Nokomis,6,02/25/2018,08:28
"3941 14th Avenue South,Minneapolis,MN",44.93111,-93.25465,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,08:37
"4331 13th ave s ,Minneapolis,MN",44.924076,-93.255907,Xerxes,3,11,Northrop,Nokomis,6,02/25/2018,08:48
"3749 12th ave S,Minneapolis,MN",44.934307000000004,-93.257447,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,09:13
"4849 14th ave S,Minneapolis,MN",44.914635,-93.254611,Xerxes,3,11,Northrop,Nokomis,6,02/25/2018,09:15
"3837 12TH AVE S,Minneapolis,MN",44.932971,-93.257125,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,09:19
"3709 12TH AVE S,Minneapolis,MN",44.935558,-93.257164,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,09:20
"1503 40th Street East,Minneapolis,MN",44.93033,-93.253508,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,09:25
"3431 15th ave s ,Minneapolis,MN",44.940219,-93.25343199999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,09:37
"3429 15th ave s,Minneapolis,MN",44.940329,-93.253393,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,09:37
"1419 40th Street E,Minneapolis,MN",44.930234999999996,-93.25442,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:02
"1427 40th Street,Minneapolis,MN",44.930234000000006,-93.254345,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:05
"1805 39th Street East,Minneapolis,MN",44.93217,-93.248212,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:15
"4301 11th ave s,Minneapolis,MN",44.924988,-93.258461,Xerxes,3,11,Northrop,Nokomis,6,02/25/2018,10:21
"3549 11th ave s,Minneapolis,MN",44.938204,-93.258751,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,10:25
"1413 40TH ST E,Minneapolis,MN",44.930234999999996,-93.25447700000001,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:26
"3143 15th ave ,Minneapolis,MN",44.945288,-93.253419,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,10:26
"1405 40TH ST E,Minneapolis,MN",44.930291,-93.254552,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:29
"3129 15th av s,Minneapolis,MN",44.945627,-93.253755,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,10:44
"3755 elliot,Minneapolis,MN",44.93443,-93.260936,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,10:45
"4037 11th ave,Minneapolis,MN",44.929435,-93.258461,Xerxes,3,8,Bancroft,Powderhorn,6,02/25/2018,10:47
"4149 23rd ave s,Minneapolis,MN",44.927267,-93.23812099999999,Xerxes,3,12,Standish,Powderhorn,6,02/25/2018,11:10
"1109 37th Street East,Minneapolis,MN",44.9358,-93.258326,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:12
"3421 15th ave s,Minneapolis,MN",44.940583000000004,-93.25343199999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:22
"1533 37th st e,Minneapolis,MN",44.935934,-93.252291,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:27
"3217 10th av s,Minneapolis,MN",44.943228999999995,-93.260065,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:35
"3133 ELLIOT AVE,Minneapolis,MN",44.945539000000004,-93.261093,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:38
"3547 22nd ave s ,Minneapolis,MN",44.938006,-93.240234,Xerxes,3,9,Corcoran,Powderhorn,6,02/25/2018,11:42
"3145 15TH AVE S,Minneapolis,MN",44.94529,-93.253577,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:42
"3111 15th ave S,Minneapolis,MN",44.946165,-93.253761,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:44
"3227 10th ave S,Minneapolis,MN",44.943222,-93.260065,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:46
"3310 10th ave s,Minneapolis,MN",44.94278,-93.26039399999999,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:55
"3127 10th Avenue South,Minneapolis,MN",44.945676,-93.2601,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:56
"3029 11th ave s,Minneapolis,MN",44.947353,-93.258851,Xerxes,3,9,Powderhorn Park,Powderhorn,6,02/25/2018,11:56
"3045 11th av s,Minneapolis,MN",44.946851,-93.258539,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:16
"3211 24TH AVE S,Minneapolis,MN",44.944187,-93.236857,Xerxes,2,9,Corcoran,Powderhorn,6,02/25/2018,12:25
"3147 14th ave ,Minneapolis,MN",44.945138,-93.254689,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:25
"3149 10th ave,Minneapolis,MN",44.945391,-93.260097,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:36
"3111 10th ave,Minneapolis,MN",44.946123,-93.25979699999999,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:37
"3011 17th ave s,Minneapolis,MN",44.947886,-93.24968100000001,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:41
"1545 34th Street East,Minneapolis,MN",44.940954,-93.252122,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:43
"3237 Elliot Ave South,Minneapolis,MN",44.943646,-93.261054,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:50
"3225 14th ave s,Minneapolis,MN",44.943962,-93.254705,Xerxes,2,9,Powderhorn Park,Powderhorn,6,02/25/2018,12:54
"3140 Chicago ,Minneapolis,MN",44.945413,-93.262979,Xerxes,1,9,Central,Powderhorn,5,02/23/2018,21:36
"4500 block of 4th Ave South,Minneapolis,MN",44.921362,-93.270217,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,21:49
"4400 Block of 4th Ave South,Minneapolis,MN",44.923089000000004,-93.27018299999999,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,21:52
"4500 block 4th ave s,Minneapolis,MN",44.921362,-93.270217,Xerxes,1,8,Regina,Nokomis,5,02/23/2018,21:53
"49th St & 4th Avenue,Minneapolis,MN",44.91429,-93.270333,Xerxes,1,8,Field,Nokomis,5,02/23/2018,22:05
