Location,Latitude,Longitude,Day,Ward,Neighborhood,Community,Tow_Zone,Date,Time,Emergency
"4529 4th ave a ,Minneapolis,MN",44.920618,-93.269968,1,8,Regina,Nokomis,5,01/22/2018,23:56,Pembina
"1581 essex,Minneapolis,MN",44.971358,-93.222954,1,2,Prospect Park - East River Road,University,4,01/22/2018,23:57,Pembina
"4200 block of 3rd ave s,Minneapolis,MN",44.926773,-93.272924,1,8,Regina,Nokomis,5,01/22/2018,23:58,Pembina
"3909 4th ave s ,Minneapolis,MN",44.931967,-93.269772,1,8,Bryant,Powderhorn,5,01/22/2018,23:59,Pembina
"2107 Blaisdell Ave S,Minneapolis,MN",44.961601,-93.279127,1,10,Whittier,Powderhorn,3,01/23/2018,00:01,Pembina
"715 2nd st n ,Minneapolis,MN",44.988743,-93.2766,1,3,North Loop,Central,1,01/23/2018,00:04,Pembina
"2199 Washington Ave NE,Minneapolis,MN",45.009996,-93.256801,1,1,Holland,Northeast,2,01/23/2018,00:09,Pembina
"2117 Blaisdell Ave S,Minneapolis,MN",44.961318,-93.279117,1,10,Whittier,Powderhorn,3,01/23/2018,00:09,Pembina
"399 8th Ave NE,Minneapolis,MN",44.997302000000005,-93.26050500000001,1,3,St. Anthony West,Northeast,2,01/23/2018,00:11,Pembina
"200 27th ave se,Minneapolis,MN",44.971363000000004,-93.219368,1,2,Prospect Park - East River Road,University,4,01/23/2018,00:12,Pembina
"1425 LaSalle Ave,Minneapolis,MN",44.96798,-93.279085,1,7,Loring Park,Central,3,01/23/2018,00:13,Pembina
"1501 LaSalle Ave,Minneapolis,MN",44.967481,-93.279117,1,7,Loring Park,Central,3,01/23/2018,00:13,Pembina
"2410 Emerson ave n,Minneapolis,MN",45.004125,-93.293836,1,5,Hawthorne,Near North,1,01/23/2018,00:14,Pembina
"3100 BLOCK OF 3RD AV S,Minneapolis,MN",44.946542,-93.272829,1,9,Central,Powderhorn,5,01/23/2018,00:14,Pembina
"3000 block of 3rd Avenue South,Minneapolis,MN",44.948332,-93.272829,1,9,Central,Powderhorn,5,01/23/2018,00:14,Pembina
"900 20th Ave s,Minneapolis,MN",44.963577,-93.244662,1,6,Seward,Longfellow,4,01/23/2018,00:14,Pembina
"2113 BLAISDELL AVE S ,Minneapolis,MN",44.961433,-93.27912099999999,1,10,Whittier,Powderhorn,3,01/23/2018,00:15,Pembina
"999 20 Ave S,Minneapolis,MN",44.962790999999996,-93.244077,1,6,Seward,Longfellow,4,01/23/2018,00:15,Pembina
"1299 2nd St NE,Minneapolis,MN",45.0009,-93.266172,1,3,Sheridan,Northeast,2,01/23/2018,00:17,Pembina
"3100 block of 3rd Avenue South,Minneapolis,MN",44.946542,-93.272829,1,9,Central,Powderhorn,5,01/23/2018,00:17,Pembina
"2199 Washington Ave ne,Minneapolis,MN",45.009996,-93.256801,1,1,Holland,Northeast,2,01/23/2018,00:19,Pembina
"1700 Washington Ave NE,Minneapolis,MN",45.005401,-93.257829,1,1,Holland,Northeast,2,01/23/2018,00:21,Pembina
"3300 3rd ave s,Minneapolis,MN",44.943032,-93.273129,1,9,Central,Powderhorn,5,01/23/2018,00:22,Pembina
"3300 3rd ave s,Minneapolis,MN",44.943032,-93.273129,1,9,Central,Powderhorn,5,01/23/2018,00:25,Pembina
"2525 blaisdell av s,Minneapolis,MN",44.956388000000004,-93.279256,1,10,Whittier,Powderhorn,3,01/23/2018,00:25,Pembina
"2527 Blaisdell Ave S,Minneapolis,MN",44.956844,-93.279628,1,10,Whittier,Powderhorn,3,01/23/2018,00:27,Pembina
"2111 blaisdell ave s,Minneapolis,MN",44.961533,-93.279611,1,10,Whittier,Powderhorn,3,01/23/2018,00:30,Pembina
"2201 9TH ST S,Minneapolis,MN",44.963997,-93.240913,1,6,Seward,Longfellow,4,01/23/2018,00:30,Pembina
"2200 BLOCK 9TH ST S,Minneapolis,MN",44.964431,-93.240065,1,2,Cedar Riverside,University,4,01/23/2018,00:30,Pembina
"2100-2199 9 ST S,Minneapolis,MN",44.964017999999996,-93.242491,1,6,Seward,Longfellow,4,01/23/2018,00:31,Pembina
"3107 Cedar Ave S,Minneapolis,MN",44.946298999999996,-93.247057,1,9,Corcoran,Powderhorn,6,01/23/2018,00:31,Pembina
"2120 Clinton Ave S,Minneapolis,MN",44.961131,-93.27178599999999,1,10,Whittier,Powderhorn,3,01/23/2018,00:31,Pembina
"1507 LaSalle Ave,Minneapolis,MN",44.967290000000006,-93.279005,1,7,Loring Park,Central,3,01/23/2018,00:35,Pembina
"1902 LaSalle Ave,Minneapolis,MN",44.963662,-93.279776,1,7,Steven's Square - Loring Heights,Central,3,01/23/2018,00:35,Pembina
"1127 van white ln ,Minneapolis,MN",44.993061,-93.288813,1,5,Near - North,Near North,1,01/23/2018,00:36,Pembina
"300 block 27th Ave Southeast,Minneapolis,MN",44.972586,-93.218414,1,2,Prospect Park - East River Road,University,4,01/23/2018,00:39,Pembina
"300 27th Ave se ,Minneapolis,MN",44.972586,-93.218414,1,2,Prospect Park - East River Road,University,4,01/23/2018,00:39,Pembina
"9th st & 21st ave so,Minneapolis,MN",44.964017999999996,-93.24250699999999,1,6,Seward,Longfellow,4,01/23/2018,00:40,Pembina
"901 20 Ave S,Minneapolis,MN",44.963975,-93.244086,1,6,Seward,Longfellow,4,01/23/2018,00:41,Pembina
"900 20 Ave S,Minneapolis,MN",44.963577,-93.244662,1,6,Seward,Longfellow,4,01/23/2018,00:41,Pembina
"3300 block of 3rd ave s,Minneapolis,MN",44.943048,-93.272803,1,9,Central,Powderhorn,5,01/23/2018,00:46,Pembina
"2741 Blaisdell Ave S,Minneapolis,MN",44.952371,-93.279191,1,10,Whittier,Powderhorn,3,01/23/2018,00:47,Pembina
"2217 blaisDELL AVE S,Minneapolis,MN",44.960189,-93.279601,1,10,Whittier,Powderhorn,3,01/23/2018,00:48,Pembina
"2711 Blaisdell Ave S,Minneapolis,MN",44.953557,-93.279658,1,10,Whittier,Powderhorn,3,01/23/2018,00:50,Pembina
"4211 Thomas Ave n ,Minneapolis,MN",45.031759,-93.3139,1,4,Victory,Camden,1,01/23/2018,00:51,Pembina
"3912 Thomas Ave n ,Minneapolis,MN",45.026374,-93.313115,1,4,Victory,Camden,1,01/23/2018,00:54,Pembina
"3519 42nd Street East,Minneapolis,MN",44.926741,-93.22094,1,12,Hiawatha,Longfellow,6,01/23/2018,00:57,Pembina
"2200 9th st s,Minneapolis,MN",44.964431,-93.240065,1,2,Cedar Riverside,University,4,01/23/2018,00:59,Pembina
"2299 9 St S,Minneapolis,MN",44.963981,-93.238853,1,6,Seward,Longfellow,4,01/23/2018,01:01,Pembina
"2228 31st Street East,Minneapolis,MN",44.946717,-93.240135,1,9,Corcoran,Powderhorn,6,01/23/2018,01:02,Pembina
"1119 van white memorial Blvd ,Minneapolis,MN",44.981657,-93.293603,1,5,Sumner - Glenwood,Near North,3,01/23/2018,01:02,Pembina
"5414 34TH AVE S,Minneapolis,MN",44.904855,-93.22318100000001,1,11,Wenonah,Nokomis,6,01/23/2018,01:02,Pembina
"5306 28TH AVE S,Minneapolis,MN",44.906855,-93.232281,1,11,Keewaydin,Nokomis,6,01/23/2018,01:02,Pembina
"2739 blaisdell av s,Minneapolis,MN",44.953035,-93.279657,1,10,Whittier,Powderhorn,3,01/23/2018,01:04,Pembina
"3300 BLOCK OF 3RD AV S,Minneapolis,MN",44.943048,-93.272803,1,9,Central,Powderhorn,5,01/23/2018,01:05,Pembina
"2709 Blaisdell Ave S,Minneapolis,MN",44.953359000000006,-93.279214,1,10,Whittier,Powderhorn,3,01/23/2018,01:06,Pembina
"5628 28th Ave s,Minneapolis,MN",44.900795,-93.232636,1,11,Wenonah,Nokomis,6,01/23/2018,01:09,Pembina
"2507 BLAISDELL AVE S,Minneapolis,MN",44.95689,-93.279501,1,10,Whittier,Powderhorn,3,01/23/2018,01:10,Pembina
"3000-3099 3rd ave s,Minneapolis,MN",44.948332,-93.272829,1,9,Central,Powderhorn,5,01/23/2018,01:11,Pembina
"2821 BLAISDELL AVE S,Minneapolis,MN",44.951681,-93.279658,1,10,Whittier,Powderhorn,3,01/23/2018,01:11,Pembina
"2819 blaisdell ave s,Minneapolis,MN",44.951706,-93.279658,1,10,Whittier,Powderhorn,3,01/23/2018,01:12,Pembina
"2531 BLAISDELL AVE S,Minneapolis,MN",44.956804,-93.279628,1,10,Whittier,Powderhorn,3,01/23/2018,01:14,Pembina
"3100-3199 3rd ave s,Minneapolis,MN",44.946542,-93.272829,1,9,Central,Powderhorn,5,01/23/2018,01:15,Pembina
"2508 Emerson ave n ,Minneapolis,MN",45.005241,-93.293853,1,5,Hawthorne,Near North,1,01/23/2018,01:16,Pembina
"1132 como ave se,Minneapolis,MN",44.987848,-93.23458000000001,1,2,Como,University,4,01/23/2018,01:19,Pembina
"638 van white memorial Blvd ,Minneapolis,MN",44.98512,-93.293356,1,5,Sumner - Glenwood,Near North,1,01/23/2018,01:20,Pembina
"2606 Emerson ave n ,Minneapolis,MN",45.006237,-93.294325,1,5,Jordan,Near North,1,01/23/2018,01:22,Pembina
"200 27th Ave se ,Minneapolis,MN",44.971363000000004,-93.219368,1,2,Prospect Park - East River Road,University,4,01/23/2018,01:24,Pembina
"200 block 27th av se,Minneapolis,MN",44.971363000000004,-93.219368,1,2,Prospect Park - East River Road,University,4,01/23/2018,01:24,Pembina
"800 4th st se,Minneapolis,MN",44.983458,-93.24402099999999,1,3,Marcy Holmes,University,4,01/23/2018,01:27,Pembina
"2500 9th st e,Minneapolis,MN",44.964186,-93.235391,1,6,Seward,Longfellow,4,01/23/2018,01:31,Pembina
"999 20 Ave S,Minneapolis,MN",44.962790999999996,-93.244077,1,6,Seward,Longfellow,4,01/23/2018,01:34,Pembina
"2535 BLAISDELL,Minneapolis,MN",44.956726,-93.27963000000001,1,10,Whittier,Powderhorn,3,01/23/2018,01:36,Pembina
"3214 Emerson Ave n ,Minneapolis,MN",45.013686,-93.294078,1,4,Folwell,Camden,1,01/23/2018,01:37,Pembina
"9th st & 21st ave so,Minneapolis,MN",44.964017999999996,-93.24250699999999,1,6,Seward,Longfellow,4,01/23/2018,01:38,Pembina
"2200 9th st s,Minneapolis,MN",44.964431,-93.240065,1,2,Cedar Riverside,University,4,01/23/2018,01:41,Pembina
"2619 blaisdell av s,Minneapolis,MN",44.954553999999995,-93.279647,1,10,Whittier,Powderhorn,3,01/23/2018,01:45,Pembina
"2500 Washington Ave NE,Minneapolis,MN",45.013503,-93.25671899999999,1,1,Holland,Northeast,2,01/23/2018,01:45,Pembina
"1017 18th Ave NE,Minneapolis,MN",45.00611,-93.244895,1,1,Windom Park,Northeast,2,01/23/2018,01:46,Pembina
"2547 Blaisdell Ave S,Minneapolis,MN",44.955776,-93.279335,1,10,Whittier,Powderhorn,3,01/23/2018,01:46,Pembina
"2500 Butler pl,Minneapolis,MN",44.964647,-93.236161,1,2,Cedar Riverside,University,4,01/23/2018,01:52,Pembina
"4400 BLOCK OF 3RD AVE S,Minneapolis,MN",44.923146,-93.272777,1,8,Regina,Nokomis,5,01/23/2018,01:53,Pembina
"2810 Plymouth Ave n,Minneapolis,MN",44.99154,-93.316061,1,5,Willard - Hay,Near North,1,01/23/2018,01:54,Pembina
"3400 BLOCK FREMONT AVE N, North,MN",45.016915000000004,-93.295603,1,4,Folwell,Camden,1,01/23/2018,01:56,Pembina
"300 27th Ave se ,Minneapolis,MN",44.972586,-93.218414,1,2,Prospect Park - East River Road,University,4,01/23/2018,01:59,Pembina
"2648 Emerson ave n ,Minneapolis,MN",45.007405,-93.293945,1,5,Hawthorne,Near North,1,01/23/2018,02:00,Pembina
"2699 9 St S,Minneapolis,MN",44.96399,-93.232986,1,6,Seward,Longfellow,4,01/23/2018,02:02,Pembina
"200 block 27th av se,Minneapolis,MN",44.971363000000004,-93.219368,1,2,Prospect Park - East River Road,University,4,01/23/2018,02:03,Pembina
"4600 BLOCK OF 3RD AV S,Minneapolis,MN",44.919538,-93.27282,1,8,Field,Nokomis,5,01/23/2018,02:04,Pembina
"500 block of 8th st s,Minneapolis,MN",44.973033,-93.266251,1,7,Downtown West,Central,3,01/23/2018,02:10,Pembina
"3600 block Fremont ave n ,Minneapolis,MN",45.020579999999995,-93.29562,1,4,Folwell,Camden,1,01/23/2018,02:15,Pembina
"2423 Plymouth Ave n ,Minneapolis,MN",44.991341,-93.311704,1,5,Willard - Hay,Near North,1,01/23/2018,02:15,Pembina
"2100 9th st s,Minneapolis,MN",44.964017999999996,-93.242491,1,6,Seward,Longfellow,4,01/23/2018,02:16,Pembina
"2511 Aldrich Ave S,Minneapolis,MN",44.956903999999994,-93.289037,1,10,Lowry Hill East,Calhoun Isle,3,01/23/2018,02:17,Pembina
"2311 Harriet Ave S,Minneapolis,MN",44.95969,-93.285459,1,10,Whittier,Powderhorn,3,01/23/2018,02:17,Pembina
"2200 9th st s,Minneapolis,MN",44.964431,-93.240065,1,2,Cedar Riverside,University,4,01/23/2018,02:20,Pembina
"4600 block of 3rd Avenue South,Minneapolis,MN",44.919538,-93.27282,1,8,Field,Nokomis,5,01/23/2018,02:21,Pembina
"500 8 St S,Minneapolis,MN",44.972784999999995,-93.265664,1,7,Elliot Park,Central,3,01/23/2018,02:22,Pembina
"4500 block of 3rd Avenue South,Minneapolis,MN",44.921353,-93.272798,1,8,Regina,Nokomis,5,01/23/2018,02:25,Pembina
"1047 7th st n ,Minneapolis,MN",44.988640000000004,-93.290266,1,5,Sumner - Glenwood,Near North,1,01/23/2018,02:26,Pembina
"624 3rd st n,Minneapolis,MN",44.986201,-93.27721600000001,1,3,North Loop,Central,1,01/23/2018,02:30,Pembina
"2801 e 44th st,Minneapolis,MN",44.92328,-93.232141,1,12,Ericsson,Nokomis,6,01/23/2018,02:32,Pembina
"400 22nd Ave s,Minneapolis,MN",44.969204,-93.240904,1,2,Cedar Riverside,University,4,01/23/2018,02:35,Pembina
"2300 butler pl,Minneapolis,MN",44.964658,-93.23932099999999,1,2,Cedar Riverside,University,4,01/23/2018,02:35,Pembina
"9th st & riverside,Minneapolis,MN",44.96402,-93.232639,1,2,Seward,Longfellow,4,01/23/2018,02:37,Pembina
"2325 Blaisdell ave s,Minneapolis,MN",44.959877,-93.27960300000001,1,10,Whittier,Powderhorn,3,01/23/2018,02:38,Pembina
"3406 Bloomington ave s,Minneapolis,MN",44.941036,-93.25244,1,9,Powderhorn Park,Powderhorn,6,01/23/2018,02:39,Pembina
"3500 block of 3rd ave s,Minneapolis,MN",44.939440999999995,-93.272774,1,9,Central,Powderhorn,5,01/23/2018,02:45,Pembina
"2100 9 St S,Minneapolis,MN",44.964017999999996,-93.242491,1,6,Seward,Longfellow,4,01/23/2018,02:45,Pembina
"2299 9 St S,Minneapolis,MN",44.963981,-93.238853,1,6,Seward,Longfellow,4,01/23/2018,02:45,Pembina
"500 block of 8th st s,Minneapolis,MN",44.973033,-93.266251,1,7,Downtown West,Central,3,01/23/2018,02:47,Pembina
"200 5th ave se,Minneapolis,MN",44.983599,-93.249239,1,3,Marcy Holmes,University,4,01/23/2018,02:50,Pembina
"4500 4599 3rd ave s,Minneapolis,MN",44.921353,-93.272798,1,8,Regina,Nokomis,5,01/23/2018,02:55,Pembina
"3600 block 3rd ave s,Minneapolis,MN",44.937714,-93.272767,1,8,Central,Powderhorn,5,01/23/2018,02:58,Pembina
"3099 Bloomington Ave S,Minneapolis,MN",44.946553,-93.252485,1,9,Powderhorn Park,Powderhorn,6,01/23/2018,02:59,Pembina
"500 8TH ST S,Minneapolis,MN",44.972784999999995,-93.265664,1,7,Elliot Park,Central,3,01/23/2018,03:01,Pembina
"3000 BLOCK OF GRAND AV S,Minneapolis,MN",44.948355,-93.284283,1,8,Lyndale,Powderhorn,5,01/23/2018,03:01,Pembina
"635 4th st n ,Minneapolis,MN",44.986031,-93.279286,1,3,North Loop,Central,1,01/23/2018,03:02,Pembina
"315 27th av se,Minneapolis,MN",44.972984000000004,-93.218588,1,2,Prospect Park - East River Road,University,4,01/23/2018,03:05,Pembina
"618 3rd st n ,Minneapolis,MN",44.986573,-93.277113,1,3,North Loop,Central,1,01/23/2018,03:07,Pembina
"315 27TH AVE SE,Minneapolis,MN",44.972984000000004,-93.218588,1,2,Prospect Park - East River Road,University,4,01/23/2018,03:07,Pembina
"3341 44th St E,Minneapolis,MN",44.923111,-93.22372800000001,1,12,Ericsson,Nokomis,6,01/23/2018,03:13,Pembina
"4021 Sheridan ave s,Minneapolis,MN",44.929681,-93.313201,1,13,Linden Hills,Southwest,5,01/23/2018,03:16,Pembina
"3600 block Fremont ave n ,Minneapolis,MN",45.020579999999995,-93.29562,1,4,Folwell,Camden,1,01/23/2018,03:16,Pembina
"14 Ave & Como Ave SE,Minneapolis,MN",44.987842,-93.232037,1,1,Como,University,4,01/23/2018,03:16,Pembina
"Como Ave & 18 Ave SE,Minneapolis,MN",44.987829999999995,-93.226934,1,1,Como,University,4,01/23/2018,03:16,Pembina
"3500 3rd ave s,Minneapolis,MN",44.939425,-93.273074,1,9,Central,Powderhorn,5,01/23/2018,03:19,Pembina
"4300 block Fremont ave n ,Minneapolis,MN",45.033663,-93.295765,1,4,Webber - Camden,Camden,1,01/23/2018,03:27,Pembina
"3000 BLOCK OF GRAND AV S,Minneapolis,MN",44.948355,-93.284283,1,8,Lyndale,Powderhorn,5,01/23/2018,03:27,Pembina
"9th st & riverside,Minneapolis,MN",44.96402,-93.232639,1,2,Seward,Longfellow,4,01/23/2018,03:28,Pembina
"618 3rd st n ,Minneapolis,MN",44.986573,-93.277113,1,3,North Loop,Central,1,01/23/2018,03:30,Pembina
"730 4th St n ,Minneapolis,MN",44.986943,-93.279921,1,3,North Loop,Central,1,01/23/2018,03:37,Pembina
"2500 9 St S,Minneapolis,MN",44.964186,-93.235391,1,6,Seward,Longfellow,4,01/23/2018,03:41,Pembina
"2500 Butler Pl,Minneapolis,MN",44.964647,-93.236161,1,2,Cedar Riverside,University,4,01/23/2018,03:41,Pembina
"2600 ESSEX ST SE,Minneapolis,MN",44.970683,-93.22093000000001,1,2,Prospect Park - East River Road,University,4,01/23/2018,03:44,Pembina
"500 block of 8th st s,Minneapolis,MN",44.972464,-93.264903,1,7,Elliot Park,Central,3,01/23/2018,03:46,Pembina
"2709 43rd st w,Minneapolis,MN",44.924088,-93.312999,1,13,Linden Hills,Southwest,5,01/23/2018,03:49,Pembina
"2600 Essex Southeast,Minneapolis,MN",44.970683,-93.22093000000001,1,2,Prospect Park - East River Road,University,4,01/23/2018,03:50,Pembina
"2600 ESSEX ST SE,Minneapolis,MN",44.970683,-93.22093000000001,1,2,Prospect Park - East River Road,University,4,01/23/2018,03:53,Pembina
"3600 block Fremont ave n ,Minneapolis,MN",45.020579999999995,-93.29562,1,4,Folwell,Camden,1,01/23/2018,03:54,Pembina
"3000 BLOCK OF GRAND AV S,Minneapolis,MN",44.948355,-93.284283,1,8,Lyndale,Powderhorn,5,01/23/2018,04:04,Pembina
"3100 block Fremont ave n ,Minneapolis,MN",45.012351,-93.295602,1,5,Jordan,Near North,1,01/23/2018,04:04,Pembina
