Location,Latitude,Longitude,Ward,Community,Neighborhood,Day,Tow_Zone,Date,Time,Emergency
"1415 GRAND ST NE,Minneapolis,MN",45.002256,-93.26947,3,Northeast,Sheridan,3,2,01/17/2018,13:40,Olive
"207 9TH AVE NE,Minneapolis,MN",44.997076,-93.263902,3,Northeast,St. Anthony West,3,2,01/17/2018,12:05,Olive
"1507 CALIFORNIA ST NE,Minneapolis,MN",45.003091,-93.268904,3,Northeast,Sheridan,3,2,01/17/2018,13:41,Olive
"615 6TH ST SE,Minneapolis,MN",44.986763,-93.244348,3,University,Marcy Holmes,3,4,01/17/2018,13:41,Olive
"1419 6TH ST NE,Minneapolis,MN",45.002537,-93.258898,3,Northeast,Sheridan,3,2,01/17/2018,12:05,Olive
"515 9TH AVE SE,Minneapolis,MN",44.98482,-93.24244300000001,3,University,Marcy Holmes,3,4,01/17/2018,13:42,Olive
"3445 6TH ST N,Minneapolis,MN",45.018015999999996,-93.28650999999999,4,Camden,McKinley,3,1,01/17/2018,12:04,Olive
"137 17TH ST E,Minneapolis,MN",44.966099,-93.27438599999999,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,13:44,Olive
"103 17TH ST E,Minneapolis,MN",44.966275,-93.27527099999999,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,12:03,Olive
"1404 NEWTON AVE N,Minneapolis,MN",44.993359000000005,-93.305444,5,Near North,Willard - Hay,3,1,01/17/2018,13:44,Olive
"1707 5TH ST NE,Minneapolis,MN",45.005552,-93.260255,1,Northeast,Holland,3,2,01/17/2018,12:40,Olive
"3223 6TH ST N,Minneapolis,MN",45.0139,-93.286792,4,Camden,McKinley,3,1,01/17/2018,12:59,Olive
"3343 16TH AVE S,Minneapolis,MN",44.941584000000006,-93.250902,9,Powderhorn,Powderhorn Park,3,6,01/17/2018,13:45,Olive
"1921 2ND AVE S,Minneapolis,MN",44.963078,-93.273907,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,13:46,Olive
"723 7TH ST SE,Minneapolis,MN",44.987026,-93.241893,3,University,Marcy Holmes,3,4,01/17/2018,13:47,Olive
"3841 22ND AVE S,Minneapolis,MN",44.932792,-93.240628,12,Powderhorn,Standish,3,6,01/17/2018,12:58,Olive
"815 12THAVE SE,Minneapolis,MN",44.986175,-93.235238,3,University,Marcy Holmes,3,4,01/17/2018,13:48,Olive
"1917 NEWTON AVE N,Minneapolis,MN",44.999416,-93.30595500000001,5,Near North,Willard - Hay,3,1,01/17/2018,13:02,Olive
"711 11TH AVE SE,Minneapolis,MN",44.985739,-93.237657,3,University,Marcy Holmes,3,4,01/17/2018,13:49,Olive
"3121 22ND AVE S,Minneapolis,MN",44.945929,-93.240626,9,Powderhorn,Corcoran,3,6,01/17/2018,12:57,Olive
"107 19TH ST E,Minneapolis,MN",44.963955,-93.276218,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,13:50,Olive
"3743 22ND AVE S,Minneapolis,MN",44.934605,-93.241001,12,Powderhorn,Standish,3,6,01/17/2018,12:55,Olive
"1903 32ND ST E,Minneapolis,MN",44.944748,-93.244726,9,Powderhorn,Corcoran,3,6,01/17/2018,13:52,Olive
"2523 GARFIELD AVE S,Minneapolis,MN",44.956454,-93.286773,10,Powderhorn,Whittier,3,3,01/17/2018,12:55,Olive
"709 11TH AVE SE,Minneapolis,MN",44.985646,-93.23773,3,University,Marcy Holmes,3,4,01/17/2018,13:53,Olive
"3107 22ND AVE S,Minneapolis,MN",44.946247,-93.240342,9,Powderhorn,Corcoran,3,6,01/17/2018,12:54,Olive
"721 11THAVE SE,Minneapolis,MN",44.985795,-93.237612,3,University,Marcy Holmes,3,4,01/17/2018,13:54,Olive
"3421 girard ave s,Minneapolis,MN",44.940587,-93.296802,10,Calhoun Isle,South Uptown,3,5,01/17/2018,13:55,Olive
"1405 GRAND ST NE,Minneapolis,MN",45.002005,-93.269205,3,Northeast,Sheridan,3,2,01/17/2018,12:53,Olive
"719 11TH AVE SE,Minneapolis,MN",44.985784,-93.23762099999999,3,University,Marcy Holmes,3,4,01/17/2018,13:55,Olive
"4219 GIRARD AVE N,Minneapolis,MN",45.032261,-93.297333,4,Camden,Webber - Camden,3,1,01/17/2018,13:56,Olive
"1411 GRAND ST NE,Minneapolis,MN",45.002175,-93.269361,3,Northeast,Sheridan,3,2,01/17/2018,12:53,Olive
"3945 GIRARD AVE N,Minneapolis,MN",45.027149,-93.296936,4,Camden,Webber - Camden,3,1,01/17/2018,13:57,Olive
"231 RIDGEWOOD AVE S,Minneapolis,MN",44.963873,-93.281599,7,Central,Steven's Square - Loring Heights,3,3,01/17/2018,12:52,Olive
"2107 3RD ST NE,Minneapolis,MN",45.009493,-93.26436,3,Northeast,Bottineau,3,2,01/17/2018,13:58,Olive
"2727 40TH ST E,Minneapolis,MN",44.930503,-93.232725,12,Powderhorn,Standish,3,6,01/17/2018,13:59,Olive
"501 RIDGEWOOD AVE S,Minneapolis,MN",44.963451,-93.286027,7,Central,Steven's Square - Loring Heights,3,3,01/17/2018,12:52,Olive
"211 8TH AVE SE,Minneapolis,MN",44.982381,-93.24556899999999,3,University,Marcy Holmes,3,4,01/17/2018,14:00,Olive
"513 9TH AVE SE,Minneapolis,MN",44.984804,-93.242458,3,University,Marcy Holmes,3,4,01/17/2018,14:01,Olive
"701 13TH AVE SE,Minneapolis,MN",44.983992,-93.234802,3,University,Marcy Holmes,3,4,01/17/2018,13:06,Olive
"3211 fremont ave s,Minneapolis,MN",44.944336,-93.295496,10,Calhoun Isle,South Uptown,3,5,01/17/2018,14:02,Olive
"3127 22ND AVE S,Minneapolis,MN",44.94572,-93.240284,9,Powderhorn,Corcoran,3,6,01/17/2018,14:02,Olive
"3125 22ND AVE S,Minneapolis,MN",44.945802,-93.240626,9,Powderhorn,Corcoran,3,6,01/17/2018,14:03,Olive
"605 7TH ST SE,Minneapolis,MN",44.987895,-93.243972,3,University,Marcy Holmes,3,4,01/17/2018,14:03,Olive
"701 12TH AVE SE,Minneapolis,MN",44.98454,-93.236197,3,University,Marcy Holmes,3,4,01/17/2018,13:06,Olive
"803 12TH AVE SE,Minneapolis,MN",44.985603000000005,-93.235364,3,University,Marcy Holmes,3,4,01/17/2018,13:05,Olive
"3445 EMERSON AVE S,Minneapolis,MN",44.93988,-93.294294,10,Calhoun Isle,South Uptown,3,5,01/17/2018,14:07,Olive
"179 14TH AVE NE,Minneapolis,MN",45.001985999999995,-93.266561,3,Northeast,Sheridan,3,2,01/17/2018,12:51,Olive
"3445 EMERSON AVE S,Minneapolis,MN",44.93988,-93.294294,10,Calhoun Isle,South Uptown,3,5,01/17/2018,14:09,Olive
"127 17TH ST E,Minneapolis,MN",44.966084,-93.274958,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,12:50,Olive
"301 19TH ST E,Minneapolis,MN",44.963955,-93.27275999999999,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:10,Olive
"625 NEWTON AVE N,Minneapolis,MN",44.985141,-93.30603,5,Near North,Near - North,3,1,01/17/2018,13:09,Olive
"341 15TH AVE NE,Minneapolis,MN",45.003071999999996,-93.263065,3,Northeast,Sheridan,3,2,01/17/2018,14:11,Olive
"3123 22ND AVE S,Minneapolis,MN",44.945862,-93.240256,9,Powderhorn,Corcoran,3,6,01/17/2018,13:01,Olive
"2107 GARFIELD AVE S,Minneapolis,MN",44.961622999999996,-93.286712,10,Powderhorn,Whittier,3,3,01/17/2018,14:12,Olive
"1925 32ND ST E,Minneapolis,MN",44.944748,-93.24404200000001,9,Powderhorn,Corcoran,3,6,01/17/2018,13:01,Olive
"1315 5TH ST NE,Minneapolis,MN",45.001388,-93.259987,3,Northeast,Sheridan,3,2,01/17/2018,14:13,Olive
"143 19TH ST E,Minneapolis,MN",44.963696999999996,-93.274268,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,13:00,Olive
"1425 JEFFERSON ST NE,Minneapolis,MN",45.002774,-93.25470899999999,1,Northeast,Logan Park,3,2,01/17/2018,14:15,Olive
"119 16TH AVE NE,Minneapolis,MN",45.004024,-93.268393,3,Northeast,Sheridan,3,2,01/17/2018,14:15,Olive
"225 17TH ST E,Minneapolis,MN",44.966055,-93.273372,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,12:49,Olive
"175 14TH AVE NE,Minneapolis,MN",45.001985,-93.266635,3,Northeast,Sheridan,3,2,01/17/2018,14:16,Olive
"3221 6TH ST N,Minneapolis,MN",45.013859000000004,-93.286475,4,Camden,McKinley,3,1,01/17/2018,13:24,Olive
"801 13TH AVE SE,Minneapolis,MN",44.984970000000004,-93.234054,3,University,Marcy Holmes,3,4,01/17/2018,14:18,Olive
"1917 2ND AVE N,Minneapolis,MN",44.978963,-93.305339,5,Near North,Harrison,3,3,01/17/2018,13:54,Olive
"103 19TH ST E,Minneapolis,MN",44.963955,-93.276437,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:19,Olive
"117 19TH ST E,Minneapolis,MN",44.963954,-93.275673,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:20,Olive
"2715 40TH ST E,Minneapolis,MN",44.930506,-93.233194,12,Powderhorn,Standish,3,6,01/17/2018,13:53,Olive
"3725 26TH AVE S,Minneapolis,MN",44.935001,-93.234273,12,Powderhorn,Standish,3,6,01/17/2018,14:21,Olive
"1521 OLIVER AVE N,Minneapolis,MN",44.994811,-93.306963,5,Near North,Willard - Hay,3,1,01/17/2018,14:22,Olive
"807 12TH AVE SE,Minneapolis,MN",44.985774,-93.235219,3,University,Marcy Holmes,3,4,01/17/2018,13:51,Olive
"3911 ALDRICH AVE N,Minneapolis,MN",45.026134000000006,-93.289621,4,Camden,Webber - Camden,3,1,01/17/2018,14:22,Olive
"709 13TH AVE SE,Minneapolis,MN",44.984295,-93.234569,3,University,Marcy Holmes,3,4,01/17/2018,13:51,Olive
"1013 7TH ST SE,Minneapolis,MN",44.985408,-93.238404,3,University,Marcy Holmes,3,4,01/17/2018,14:23,Olive
"225 16TH AVE NE,Minneapolis,MN",45.004193,-93.265309,3,Northeast,Sheridan,3,2,01/17/2018,13:50,Olive
"1909 OLIVER AVE N,Minneapolis,MN",44.999119,-93.306946,5,Near North,Willard - Hay,3,1,01/17/2018,14:25,Olive
"347 19TH AVE NE,Minneapolis,MN",45.007618,-93.262266,1,Northeast,Holland,3,2,01/17/2018,13:50,Olive
"3229 IRVING AVE N,Minneapolis,MN",45.014072,-93.299385,4,Camden,Folwell,3,1,01/17/2018,14:27,Olive
"711 13TH AVE SE,Minneapolis,MN",44.984371,-93.234511,3,University,Marcy Holmes,3,4,01/17/2018,13:49,Olive
"2905 GIRARD AVE N,Minneapolis,MN",45.009833,-93.297167,5,Near North,Jordan,3,1,01/17/2018,14:28,Olive
"3115 22ND AVE S,Minneapolis,MN",44.946081,-93.240627,9,Powderhorn,Corcoran,3,6,01/17/2018,14:29,Olive
"503 9TH AVE SE,Minneapolis,MN",44.984652000000004,-93.242377,3,University,Marcy Holmes,3,4,01/17/2018,13:48,Olive
"815 13TH AVE SE,Minneapolis,MN",44.985794,-93.234274,3,University,Marcy Holmes,3,4,01/17/2018,13:48,Olive
"1901 CLINTON AVE S,Minneapolis,MN",44.96395,-93.2715,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:30,Olive
"2215 GARFIELD AVE S,Minneapolis,MN",44.960336,-93.28647,10,Powderhorn,Whittier,3,3,01/17/2018,13:45,Olive
"319 19TH AVE NE,Minneapolis,MN",45.00713,-93.26365600000001,3,Northeast,Bottineau,3,2,01/17/2018,14:33,Olive
"155 15THAVE NE,Minneapolis,MN",44.972895,-93.247897,3,Northeast,Cedar Riverside,3,2,01/17/2018,14:34,Olive
"511 91/2 AVE SE,Minneapolis,MN",44.988754,-93.251855,3,University,Marcy Holmes,3,4,01/17/2018,13:43,Olive
"3119 22ND AVE S,Minneapolis,MN",44.946003999999995,-93.240273,9,Powderhorn,Corcoran,3,6,01/17/2018,14:35,Olive
"509 91/2 AVE SE,Minneapolis,MN",44.988735,-93.25187,3,University,Marcy Holmes,3,4,01/17/2018,13:43,Olive
"317 18TH ST E,Minneapolis,MN",44.965219,-93.271876,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:36,Olive
"1711 ADAMS ST NE,Minneapolis,MN",45.005615,-93.256036,1,Northeast,Logan Park,3,2,01/17/2018,13:40,Olive
"3515 6TH ST N,Minneapolis,MN",45.018977,-93.286838,4,Camden,McKinley,3,1,01/17/2018,14:40,Olive
"3941 29TH AVE S,Minneapolis,MN",44.931090000000005,-93.230572,12,Powderhorn,Standish,3,6,01/17/2018,13:40,Olive
"2725 40TH ST E,Minneapolis,MN",44.930503,-93.232741,12,Powderhorn,Standish,3,6,01/17/2018,13:40,Olive
"3205 20TH AVE S,Minneapolis,MN",44.944463,-93.243309,9,Powderhorn,Corcoran,3,6,01/17/2018,14:45,Olive
"3233 20TH AVE S,Minneapolis,MN",44.943633,-93.243321,9,Powderhorn,Corcoran,3,6,01/17/2018,14:50,Olive
"101 18TH ST E,Minneapolis,MN",44.965219,-93.276545,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:52,Olive
"309 18TH ST E,Minneapolis,MN",44.965218,-93.27226,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,14:54,Olive
"713 13TH AVE SE,Minneapolis,MN",44.984446999999996,-93.234453,3,University,Marcy Holmes,3,4,01/17/2018,14:55,Olive
"3945 BRYANT AVE N,Minneapolis,MN",45.027057,-93.290616,4,Camden,Webber - Camden,3,1,01/17/2018,14:57,Olive
"1007 22ND AVE SE,Minneapolis,MN",44.988033,-93.221562,1,University,Como,3,4,01/17/2018,14:58,Olive
"3951 ALDRICH AVE N,Minneapolis,MN",45.027226,-93.289631,4,Camden,Webber - Camden,3,1,01/17/2018,14:59,Olive
"3943 BRYANT AVE N,Minneapolis,MN",45.027003,-93.290887,4,Camden,Webber - Camden,3,1,01/17/2018,15:01,Olive
"301 18TH ST E,Minneapolis,MN",44.965216999999996,-93.272765,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:02,Olive
"1905 STEVENS AVE S,Minneapolis,MN",44.963665,-93.27498,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:03,Olive
"631 17TH AVE NE,Minneapolis,MN",45.005639,-93.256782,1,Northeast,Logan Park,3,2,01/17/2018,15:04,Olive
"3213 21ST AVE S,Minneapolis,MN",44.944171000000004,-93.24231800000001,9,Powderhorn,Corcoran,3,6,01/17/2018,15:06,Olive
"629 17TH AVE NE,Minneapolis,MN",45.005639,-93.256923,1,Northeast,Logan Park,3,2,01/17/2018,15:07,Olive
"911 QUEEN AVE N,Minneapolis,MN",44.987285,-93.309955,5,Near North,Willard - Hay,3,1,01/17/2018,15:08,Olive
"1101 QUEEN AVE N,Minneapolis,MN",44.988805,-93.309822,5,Near North,Willard - Hay,3,1,01/17/2018,15:09,Olive
"407 6TH ST SE,Minneapolis,MN",44.988145,-93.2477,3,University,Marcy Holmes,3,4,01/17/2018,15:10,Olive
"135 17TH ST E,Minneapolis,MN",44.966085,-93.274436,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:11,Olive
"141 19TH ST E,Minneapolis,MN",44.963695,-93.274574,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:12,Olive
"305 19TH ST E,Minneapolis,MN",44.963955,-93.272444,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:13,Olive
"1525 39TH ST E,Minneapolis,MN",44.932159999999996,-93.252197,8,Powderhorn,Bancroft,3,6,01/17/2018,15:14,Olive
"4203 21ST AVE S,Minneapolis,MN",44.926712,-93.242272,12,Powderhorn,Standish,3,6,01/17/2018,15:15,Olive
"2213 GARFIELD AVE S,Minneapolis,MN",44.960390999999994,-93.286726,10,Powderhorn,Whittier,3,3,01/17/2018,15:16,Olive
"1019 7TH ST SE,Minneapolis,MN",44.985389,-93.238355,3,University,Marcy Holmes,3,4,01/17/2018,15:17,Olive
"925 RUSSELL AVE N,Minneapolis,MN",44.987775,-93.311347,5,Near North,Willard - Hay,3,1,01/17/2018,15:18,Olive
"1431 ADAMS ST NE,Minneapolis,MN",45.002819,-93.255994,1,Northeast,Logan Park,3,2,01/17/2018,15:19,Olive
"124 24TH AVE NE,Minneapolis,MN",45.01204,-93.266765,3,Northeast,Bottineau,3,2,01/17/2018,15:20,Olive
"3555 IRVING AVE N,Minneapolis,MN",45.020157,-93.29964100000001,4,Camden,Folwell,3,1,01/17/2018,15:20,Olive
"4209 30TH AVE S,Minneapolis,MN",44.926539,-93.22930600000001,12,Nokomis,Ericsson,3,6,01/17/2018,15:21,Olive
"1317 RUSSELL AVE N,Minneapolis,MN",44.992163,-93.311068,5,Near North,Willard - Hay,3,1,01/17/2018,15:22,Olive
"3101 22ND AVE S,Minneapolis,MN",44.946539,-93.240629,9,Powderhorn,Corcoran,3,6,01/17/2018,15:23,Olive
"3129 36TH ST E,Minneapolis,MN",44.937597,-93.226766,12,Longfellow,Howe,3,6,01/17/2018,15:24,Olive
"1827 FILLMORE ST NE,Minneapolis,MN",45.006961,-93.24199399999999,1,Northeast,Windom Park,3,2,01/17/2018,15:25,Olive
"3021 21ST AVE S,Minneapolis,MN",44.947038,-93.24163399999999,9,Powderhorn,Corcoran,3,6,01/17/2018,15:27,Olive
"2407 FILLMORE ST NE ,Minneapolis,MN",45.0125,-93.24189100000001,1,Northeast,Windom Park,3,2,01/17/2018,15:32,Olive
"3105 22ND AVE S,Minneapolis,MN",44.94639,-93.240267,9,Powderhorn,Corcoran,3,6,01/17/2018,15:33,Olive
"3717 28TH AVE S,Minneapolis,MN",44.935347,-93.231831,12,Powderhorn,Standish,3,6,01/17/2018,15:34,Olive
"821 13TH AVE SE,Minneapolis,MN",44.985313,-93.233772,3,University,Marcy Holmes,3,4,01/17/2018,15:35,Olive
"205 CLIFTON AVE,Minneapolis,MN",44.96613,-93.284002,7,Central,Loring Park,3,3,01/17/2018,15:36,Olive
"827 UPTON AVE N,Minneapolis,MN",44.986914,-93.314937,5,Near North,Willard - Hay,3,1,01/17/2018,15:37,Olive
"303 19TH ST E,Minneapolis,MN",44.963955,-93.272602,6,Central,Steven's Square - Loring Heights,3,3,01/17/2018,15:38,Olive
"1003 7TH ST SE,Minneapolis,MN",44.985428000000006,-93.238456,3,University,Marcy Holmes,3,4,01/17/2018,15:39,Olive
"920 7TH ST SE,Minneapolis,MN",44.985681,-93.239653,3,University,Marcy Holmes,3,4,01/17/2018,15:40,Olive
"3541 24TH AVE S,Minneapolis,MN",44.938277,-93.237207,9,Powderhorn,Corcoran,3,6,01/17/2018,14:10,Olive
3325 2ND ST N,45.015903,-93.280992,4,Camden,McKinley,1,1,01/15/2018,21:48,Olive
"3000 LYNDALE AVE N ,Minneapolis,MN",45.010903000000006,-93.28765,5,Near North,Hawthorne,1,1,01/15/2018,21:42,Olive
"2600 BLOCK LYNDALE AVE N,Minneapolis,MN",45.005933,-93.287971,5,Near North,Hawthorne,1,1,01/15/2018,21:15,Olive
714 CENTRAL AVE SE,44.991131,-93.251307,3,University,Marcy Holmes,1,2,01/15/2018,22:01,Olive
"4300 4TH AVE S,Minneapolis,MN",44.924287,-93.270329,8,Nokomis,Regina,1,5,01/15/2018,22:03,Olive
"3200 BLOCK LYNDALE AVE N,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,01/15/2018,21:20,Olive
"2800 EMERSON AVE N ,Minneapolis,MN",45.008703000000004,-93.294313,5,Near North,Hawthorne,1,1,01/15/2018,21:43,Olive
"3000 CHICAGO AVE S,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,1,3,01/15/2018,21:30,Olive
"3900 Block 4th Avenue South,Minneapolis,MN",44.932228,-93.27013000000001,8,Powderhorn,Bryant,1,5,01/15/2018,22:18,Olive
"3400 block of 4th Avenue South,Minneapolis,MN",44.940512,-93.27024499999999,9,Powderhorn,Central,1,5,01/15/2018,22:23,Olive
"3400 block of 4th ave s,Minneapolis,MN",44.940512,-93.27024499999999,9,Powderhorn,Central,1,5,01/15/2018,22:24,Olive
"3200 4TH AVE S,Minneapolis,MN",44.94481,-93.27054100000001,9,Powderhorn,Central,1,5,01/15/2018,22:27,Olive
"3300 4TH AVE S,Minneapolis,MN",44.943042,-93.27046800000001,9,Powderhorn,Central,1,5,01/15/2018,22:27,Olive
"2200 4TH AVE S,Minneapolis,MN",44.960724,-93.270449,10,Powderhorn,Whittier,1,3,01/15/2018,22:28,Olive
"3300 BLOCK OF 4TH AVE S,Minneapolis,MN",44.943069,-93.270241,9,Powderhorn,Central,1,5,01/15/2018,22:30,Olive
"3400 CHICAGO AVE S,Minneapolis,MN",44.941212,-93.262943,9,Powderhorn,Central,1,5,01/15/2018,22:00,Olive
"3319 2ND ST N ,Minneapolis,MN",45.015612,-93.28133100000001,4,Camden,McKinley,1,1,01/15/2018,22:22,Olive
"3200 4TH AVE S,Minneapolis,MN",44.94481,-93.27054100000001,9,Powderhorn,Central,1,5,01/15/2018,22:54,Olive
"3600 BLOCK LYNDALE AVE N,Minneapolis,MN",45.020449,-93.288031,4,Camden,McKinley,1,1,01/15/2018,22:29,Olive
"3300 4TH AVE S,Minneapolis,MN",44.943042,-93.27046800000001,9,Powderhorn,Central,1,5,01/15/2018,22:57,Olive
"3200 CHICAGO AVE S,Minneapolis,MN",44.944576,-93.26293199999999,9,Powderhorn,Central,1,5,01/15/2018,21:30,Olive
"3400 CHICAGO AVE S,Minneapolis,MN",44.941212,-93.262943,9,Powderhorn,Central,1,5,01/15/2018,21:40,Olive
"3300 CHICAGO AVE S,Minneapolis,MN",44.943034999999995,-93.262837,9,Powderhorn,Central,1,5,01/15/2018,22:00,Olive
"3800 BLOCK 4TH AVE S,Minneapolis,MN",44.933961,-93.27034,8,Powderhorn,Bryant,1,5,01/15/2018,21:30,Olive
"3000 BLOCK CHICAGO AVE S,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,1,3,01/15/2018,21:10,Olive
"2500 BLOCK JOHNSON ST NE,Minneapolis,MN",45.013213,-93.23715200000001,1,Northeast,Audubon Park,1,2,01/15/2018,21:15,Olive
"2910 EMERSON AVE S,Minneapolis,MN",44.949636,-93.294799,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,21:30,Olive
"3100 LYNDALE AVE N,Minneapolis,MN",45.012242,-93.287414,5,Near North,Hawthorne,1,1,01/15/2018,22:15,Olive
"3800 CHICAGO AVE S,Minneapolis,MN",44.93396,-93.262874,8,Powderhorn,Bryant,1,5,01/15/2018,22:48,Olive
"3814 CHICAGO AVE S,Minneapolis,MN",44.933644,-93.26280799999999,8,Powderhorn,Bryant,1,5,01/15/2018,22:46,Olive
"3100 CHICAGO AVE S,Minneapolis,MN",44.946517,-93.262986,9,Powderhorn,Central,1,5,01/15/2018,21:16,Olive
"3401 CHICAGO AV E S,Minneapolis,MN",44.941210999999996,-93.26231,9,Powderhorn,Powderhorn Park,1,6,01/15/2018,22:51,Olive
"3400 CHICAGO AVE S,Minneapolis,MN",44.941212,-93.262943,9,Powderhorn,Central,1,5,01/15/2018,22:50,Olive
"2600 JOHNSON ST NE,Minneapolis,MN",45.015159999999995,-93.237387,1,Northeast,Audubon Park,1,2,01/15/2018,22:41,Olive
"77 13TH AVE NE,Minneapolis,MN",44.999965,-93.272062,3,Northeast,Sheridan,1,2,01/15/2018,22:40,Olive
"2700 JOHNSON ST NE,Minneapolis,MN",45.016833,-93.237128,1,Northeast,Audubon Park,1,2,01/15/2018,22:40,Olive
"2400 JOHNSON ST NE,Minneapolis,MN",45.012363,-93.237154,1,Northeast,Windom Park,1,2,01/15/2018,22:43,Olive
"2800 DUPONT AVE S,Minneapolis,MN",44.951233,-93.293184,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,22:58,Olive
"2804 DUPONT AVE S,Minneapolis,MN",44.951223,-93.293184,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,22:10,Olive
"2815 DUPONT AVE S,Minneapolis,MN",44.951411,-93.29292,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,22:59,Olive
"3100 CHICAGO AVE S,Minneapolis,MN",44.946517,-93.262986,9,Powderhorn,Central,1,5,01/15/2018,21:20,Olive
"2817 DUPONT AVE S,Minneapolis,MN",44.951312,-93.292918,10,Calhoun Isle,Lowry Hill East,1,3,01/15/2018,23:00,Olive
"4500 LYNDALE AVE N,Minneapolis,MN",45.037562,-93.286799,4,Camden,Camden Industrial,1,1,01/15/2018,23:03,Olive
