Location,Latitude,Longitude,Neighborhood,Community,Ward,Day,Tow_Zone,Date,Time,Emergency
427 44TH ST E,44.9233169556,-93.2693405151,Regina,Nokomis,8,3,5,01/17/2018,00:00,Olive
4638 PILLSBURY AVE,44.918125152600005,-93.28182983399999,Tangletown,Southwest,11,2,5,01/16/2018,00:00,Olive
4252 PILLSBURY AVE,44.92520141600001,-93.2817993164,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4252 PILLSBURY AVE,44.9252166748,-93.28182983399999,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4600 BLAISDELL AVE S,44.919380188000005,-93.2792358398,Tangletown,Southwest,11,2,5,01/16/2018,00:00,Olive
4516 BLAISDELL AVE S,44.9207725525,-93.2792358398,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4514 BLAISDELL AVE S,44.9208030701,-93.2792205811,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4512 BLAISDELL AVE S,44.9209136963,-93.2792510986,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4502 BLAISDELL AVE S,44.921161651599995,-93.2792510986,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4502 BLAISDELL AVE S,44.9267807007,-93.2792358398,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4038 BLAISDELL AVE S,44.9292068481,-93.2792282104,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4708 1ST AVE S,44.9174537659,-93.27668762209998,Tangletown,Southwest,11,2,5,01/16/2018,00:00,Olive
4444 1ST AVE S,44.9217338562,-93.2766342163,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4448 1ST AVE S,44.9217414856,-93.276725769,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4410 1ST AVE S,44.9227790833,-93.2766571045,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4410 1ST AVE S,44.9228401184,-93.2766418457,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4404 1ST AVE S,44.922843933100005,-93.27666473389999,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4348 1ST AVE S,44.9234390259,-93.2766418457,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4310 1ST AVE S,44.9245986938,-93.2766571045,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4246 1ST AVE S,44.9253158569,-93.2766494751,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4246 1ST AVE S,44.9261245728,-93.2766571045,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4246 1ST AVE S,44.9264526367,-93.2766418457,King Field,Southwest,8,2,5,01/16/2018,00:00,Olive
4122 CLINTON AVE S,44.9281272888,-93.2715301514,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3928 CLINTON AVE S,44.9314956665,-93.2714004517,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3928 CLINTON AVE S,44.9315452576,-93.2714157104,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3900 CLINTON AVE S,44.932258606000005,-93.2714080811,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3820 CLINTON AVE S,44.9334602356,-93.2714309692,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3804 CLINTON AVE S,44.933853149399994,-93.27144622799999,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3328 CLINTON AVE S,44.9414749146,-93.27149963379999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3348 CLINTON AVE S,44.9415740967,-93.27152252200001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3344 CLINTON AVE S,44.9417877197,-93.271484375,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3302 CLINTON AVE S,44.942855835,-93.2715148926,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3244 CLINTON AVE S,44.943489074700004,-93.2715377808,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3240 CLINTON AVE S,44.9435386658,-93.2715377808,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3236 CLINTON AVE S,44.943611145,-93.2715301514,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3216 CLINTON AVE S,44.9442405701,-93.27152252200001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3204 CLINTON AVE S,44.9445838928,-93.2715377808,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3202 CLINTON AVE S,44.944702148400005,-93.2715454102,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3138 CLINTON AVE S,44.945365905799996,-93.2715759277,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3132 CLINTON AVE S,44.9454879761,-93.2715454102,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3128 CLINTON AVE S,44.945625305200004,-93.27158355709999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
4752 OAKLAND AVE S,44.9161987305,-93.266456604,Field,Nokomis,8,2,5,01/16/2018,00:00,Olive
4620 OAKLAND AVE S,44.918853759799994,-93.26642608639999,Field,Nokomis,8,2,5,01/16/2018,00:00,Olive
4404 OAKLAND AVE S,44.9231452942,-93.26636505129999,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
4400 OAKLAND AVE S,44.923114776599995,-93.26636505129999,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
4332 OAKLAND AVE S,44.924049377399996,-93.2663192749,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
4248 OAKLAND AVE S,44.92538452149999,-93.2663116455,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
4200 OAKLAND AVE S,44.9267349243,-93.26628112790002,Regina,Nokomis,8,2,5,01/16/2018,00:00,Olive
4052 OAKLAND AVE S,44.9290351868,-93.2662963867,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
4052 OAKLAND AVE S,44.9295501709,-93.2663192749,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
4024 OAKLAND AVE S,44.9296417236,-93.26630401610001,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3044 OAKLAND AVE S,44.9308395386,-93.26628875729999,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3942 OAKLAND AVE S,44.9309463501,-93.26628875729999,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3900 OAKLAND AVE S,44.9321327209,-93.2662963867,Bryant,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3740 OAKLAND AVE S,44.934425354,-93.2662582397,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3724 OAKLAND AVE S,44.934978485100004,-93.26628875729999,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3638 OAKLAND AVE S,44.9364471436,-93.26630401610001,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3630 OAKLAND AVE S,44.936473846400006,-93.26628112790002,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3624 OAKLAND AVE S,44.9368286133,-93.2663269043,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3620 OAKLAND AVE S,44.9369049072,-93.26634216309999,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3618 OAKLAND AVE S,44.937137603800004,-93.2663269043,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3416 OAKLAND AVE S,44.9405975342,-93.2663726807,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3414 OAKLAND AVE S,44.9406967163,-93.26635742190001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3412 OAKLAND AVE S,44.9408721924,-93.2664489746,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3224 OAKLAND AVE S,44.944026947,-93.2664108276,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3108 OAKLAND AVE S,44.9462509155,-93.266456604,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3030 OAKLAND AVE S,44.9472503662,-93.26647949219999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3030 OAKLAND AVE S,44.9473724365,-93.2664871216,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3748 COLUMBUS AVE S,44.934520721400006,-93.2637557983,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3738 COLUMBUS AVE S,44.934520721400006,-93.2637557983,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3734 COLUMBUS AVE S,44.9346122742,-93.2637405396,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3734 COLUMBUS AVE S,44.934829711899994,-93.2638015747,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3720 COLUMBUS AVE S,44.9351005554,-93.26379394530001,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3710 COLUMBUS AVE S,44.93542099,-93.2637863159,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3620 COLUMBUS AVE S,44.9370269775,-93.26384735110001,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3620 COLUMBUS AVE S,44.9369468689,-93.2638626099,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3632 COLUMBUS AVE S,44.9367408752,-93.2639007568,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3636 COLUMBUS AVE S,44.9366188049,-93.26384735110001,Central,Powderhorn,8,2,5,01/16/2018,00:00,Olive
3544 COLUMBUS AVE S,44.937999725299996,-93.2638626099,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3510 COLUMBUS AVE S,44.9390029907,-93.2638092041,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3508 COLUMBUS AVE S,44.9391441345,-93.2638015747,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3504 COLUMBUS AVE S,44.9391441345,-93.2638092041,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3440 COLUMBUS AVE S,44.9398994446,-93.2638931274,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3320 COLUMBUS AVE S,44.942432403599994,-93.2638702393,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3310 COLUMBUS AVE S,44.9426994324,-93.26383209229999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3306 COLUMBUS AVE S,44.942695617700004,-93.26383209229999,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3302 COLUMBUS AVE S,44.9430809021,-93.2638702393,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3228 COLUMBUS AVE S,44.943691253699996,-93.26398468020001,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3218 COLUMBUS AVE S,44.9439926147,-93.2638778687,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3216 COLUMBUS AVE S,44.9440422058,-93.2638778687,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3204 COLUMBUS AVE S,44.944274902299995,-93.2639007568,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3156 COLUMBUS AVE S,44.944911956800006,-93.2639007568,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3148 COLUMBUS AVE S,44.9453353882,-93.2638931274,Central,Powderhorn,9,2,5,01/16/2018,00:00,Olive
3033 KNOX AVE S,44.9471702576,-93.30458831790001,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3547 HOLMES AVE,44.93800354,-93.29964447020001,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3527 HOLMES AVE,44.9385490417,-93.29962921139999,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3429 HOLMES AVE,44.940380096400006,-93.29962158200001,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3249 HOLMES AVE,44.9431152344,-93.2995986938,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3141 HOLMES AVE,44.9451675415,-93.29956054690001,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3125 HOLMES AVE,44.9456558228,-93.29956054690001,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3107 HOLMES AVE,44.9461936951,-93.29956817629999,ECCO,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3507 FREMONT AVE S,44.9391326904,-93.29579162600001,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3319 FREMONT AVE S,44.942302703900005,-93.2958221436,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3307 FREMONT AVE S,44.9426231384,-93.29579925540001,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3249 FREMONT AVE S,44.9432754517,-93.29579162600001,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3235 FREMONT AVE S,44.9436607361,-93.2957611084,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3225 FREMONT AVE S,44.943897247299994,-93.2957458496,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3217 FREMONT AVE S,44.9442901611,-93.29573822020001,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3149 FREMONT AVE S,44.9448661804,-93.2957458496,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3115 FREMONT AVE S,44.945919036899994,-93.295753479,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3105 FREMONT AVE S,44.946269988999994,-93.2957305908,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3037 FREMONT AVE S,44.946968078599994,-93.2957305908,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3503 DUPONT AVE S,44.939262390100005,-93.2933578491,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3427 DUPONT AVE S,44.940380096400006,-93.29331970209999,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3419 DUPONT AVE S,44.94061660770001,-93.29328918459998,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3411 DUPONT AVE S,44.940761566199996,-93.2933044434,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
3139 DUPONT AVE S,44.945186615,-93.2931976318,South Uptown,Calhoun Isle,10,3,5,01/17/2018,00:00,Olive
4029 COLFAX AVE S,44.9295082092,-93.29211425780001,East Harriet,Southwest,10,3,5,01/17/2018,00:00,Olive
4127 COLFAX AVE S,44.9278297424,-93.2921295166,East Harriet,Southwest,10,3,5,01/17/2018,00:00,Olive
3917 GARFIELD AVE S,44.9316558838,-93.28692626950001,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
3551 GARFIELD AVE S,44.9379463196,-93.2868881226,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3529 GARFIELD AVE S,44.9385223389,-93.2869110107,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3305 GARFIELD AVE S,44.9425354004,-93.2868347168,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3243 GARFIELD AVE S,44.943279266400005,-93.2868423462,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3217 GARFIELD AVE S,44.94417572020001,-93.2868881226,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3205 GARFIELD AVE S,44.9445610046,-93.28686523440001,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3147 GARFIELD AVE S,44.944946289099995,-93.2868423462,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3131 GARFIELD AVE S,44.9454116821,-93.2868347168,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3103 GARFIELD AVE S,44.9462776184,-93.2868347168,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3025 GARFIELD AVE S,44.9475021362,-93.286819458,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3013 GARFIELD AVE S,44.947803497299994,-93.2868270874,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3011 GARFIELD AVE S,44.9478492737,-93.2868347168,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3003 GARFIELD AVE S,44.9480628967,-93.28681182860001,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3119 PLEASANT AVE,44.9458656311,-93.28302001950001,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3139 PLEASANT AVE,44.94515228270001,-93.2830581665,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3247 PLEASANT AVE,44.9431800842,-93.28302764889999,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3321 PLEASANT AVE,44.9421653748,-93.28304290770001,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3805 PLEASANT AVE,44.933757782,-93.2830734253,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
3815 PLEASANT AVE,44.933532714799995,-93.2830886841,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
3839 PLEASANT AVE,44.93280410770001,-93.2827606201,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
4345 PLEASANT AVE,44.92364120479999,-93.2830657959,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
4015 PILLSBURY AVE,44.9299812317,-93.28177642819999,King Field,Southwest,8,3,5,01/17/2018,00:00,Olive
3535 PILLSBURY AVE,44.9384384155,-93.28135681149999,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3207 PILLSBURY AVE,44.944423675500005,-93.2813415527,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3119 PILLSBURY AVE,44.945751190200006,-93.2813262939,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3113 PILLSBURY AVE,44.946067810100004,-93.2813034058,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3109 PILLSBURY AVE,44.9461936951,-93.2813034058,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3105 PILLSBURY AVE,44.9463882446,-93.2813110352,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3027 PILLSBURY AVE,44.9472923279,-93.28134918209999,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
3003 PILLSBURY AVE,44.9479980469,-93.2813262939,Lyndale,Powderhorn,8,3,5,01/17/2018,00:00,Olive
1424 7TH ST SE,44.9830780029,-93.2324829102,Marcy Holmes,University,3,2,4,01/16/2018,00:00,Olive
1426 7TH ST SE,44.983032226599995,-93.23240661620001,Marcy Holmes,University,3,2,4,01/16/2018,00:00,Olive
1428 7TH ST SE,44.9829559326,-93.2323684692,Marcy Holmes,University,3,2,4,01/16/2018,00:00,Olive
820 20TH AVE NE,45.008869171099995,-93.24996185299999,Holland,Northeast,1,2,2,01/16/2018,00:00,Olive
822 20TH AVE NE,45.008876800500005,-93.2498550415,Holland,Northeast,1,2,2,01/16/2018,00:00,Olive
954 20TH AVE NE,45.008880615200006,-93.2461853027,Windom Park,Northeast,1,2,2,01/16/2018,00:00,Olive
948 20TH AVE NE,45.008880615200006,-93.24640655520001,Windom Park,Northeast,1,2,2,01/16/2018,00:00,Olive
946 20TH AVE NE,45.008880615200006,-93.24639129639999,Windom Park,Northeast,1,2,2,01/16/2018,00:00,Olive
944 20TH AVE NE,45.0088882446,-93.2464675903,Windom Park,Northeast,1,2,2,01/16/2018,00:00,Olive
3528 SPAIN PL,45.032306671099995,-93.2579650879,Columbia Park,Northeast,1,2,2,01/16/2018,00:00,Olive
3526 3RD ST NE,45.032749176,-93.2638931274,Columbia Park,Northeast,1,2,2,01/16/2018,00:00,Olive
1002 26TH AVE NE,45.014980316199996,-93.2454528809,Audubon Park,Northeast,1,2,2,01/16/2018,00:00,Olive
950 27TH AVE NE,45.0168075562,-93.2461700439,Audubon Park,Northeast,1,2,2,01/16/2018,00:00,Olive
954 27TH AVE NE,45.0167732239,-93.24605560299999,Audubon Park,Northeast,1,2,2,01/16/2018,00:00,Olive
