Location,Latitude,Longitude,Ward,Neighborhood,Community,Tow_Zone,Day,Emergency,Date,Time
116 RUSTIC LODGE E,44.915131,-93.275856,11,Tangletown,Southwest,5,2,Diamond Lake,03/11/2019,00:00
20 RUSTIC LODGE E,44.915232,-93.276667,11,Tangletown,Southwest,5,2,Diamond Lake,03/11/2019,00:00
2 RUSTIC LODGE E,44.915333000000004,-93.27806600000001,11,Tangletown,Southwest,5,2,Diamond Lake,03/11/2019,00:00
4 RUSTIC LODGE E,44.915391,-93.278012,11,Tangletown,Southwest,5,2,Diamond Lake,03/11/2019,00:00
1408 48TH ST W,44.915782,-93.297207,13,Lynnhurst,Southwest,5,2,Diamond Lake,03/11/2019,00:00
1406 48TH ST W,44.915714,-93.297214,13,Lynnhurst,Southwest,5,2,Diamond Lake,03/11/2019,00:00
1430 61ST ST W,44.890825,-93.29855400000001,13,Kenny,Southwest,5,2,Diamond Lake,03/11/2019,00:00
1408 61ST ST W,44.890997999999996,-93.29748599999999,13,Kenny,Southwest,5,2,Diamond Lake,03/11/2019,00:00
10 62ND ST W,44.891182,-93.279318,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
20 62ND ST W,44.891168,-93.279136,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
24 62ND ST W,44.891059000000006,-93.279473,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
26 62ND ST W,44.890986,-93.279647,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
28 62ND ST W,44.890834000000005,-93.279537,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
30 62ND ST W,44.890917,-93.279605,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
100 62ND ST W,44.890846999999994,-93.279765,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
104 62ND ST W,44.890831,-93.280039,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
110 62ND ST W,44.890824,-93.279978,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
114 62ND ST W,44.890871999999995,-93.280073,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
116 62ND ST W,44.890874,-93.280156,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
118 62ND ST W,44.890895,-93.280415,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
118 62ND ST W,44.890938,-93.280438,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
120 62ND ST W,44.891085,-93.28079100000001,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
128 62ND ST W,44.890966999999996,-93.281527,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
130 62ND ST W,44.890828000000006,-93.281432,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
132 62ND ST W,44.890954,-93.281593,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
134 62ND ST W,44.890963,-93.281761,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
136 62ND ST W,44.890854,-93.28179300000001,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
200 62ND ST W,44.890999,-93.281898,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
202 62ND ST W,44.890865999999995,-93.282092,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
204 62ND ST W,44.890879999999996,-93.282228,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
206 62ND ST W,44.890786999999996,-93.28239,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
208 62ND ST W,44.890777,-93.28243,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
210 62ND ST W,44.890865999999995,-93.282322,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
212 62ND ST W,44.8908,-93.282545,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
214 62ND ST W,44.890746,-93.28268800000001,11,Windom,Southwest,5,2,Diamond Lake,03/11/2019,00:00
414 62ND ST E,44.891175,-93.270426,11,Diamond Lake,Nokomis,5,2,Diamond Lake,03/11/2019,00:00
3319 5TH AVE S,44.942533000000005,-93.268962,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3317 5TH AVE S,44.942529,-93.268963,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3311 5TH AVE S,44.942837,-93.268974,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3303 5TH AVE S,44.942947,-93.268956,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3247 5TH AVE S,44.943507000000004,-93.26902199999999,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3245 5TH AVE S,44.943571,-93.26900400000001,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3243 5TH AVE S,44.943538000000004,-93.269024,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3225 5TH AVE S,44.94408,-93.268992,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3223 5TH AVE S,44.944171000000004,-93.268992,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3217 5TH AVE S,44.944235,-93.269006,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3145 5TH AVE S,44.945223,-93.268991,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3143 5TH AVE S,44.945262,-93.26899499999999,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3141 5TH AVE S,44.94535,-93.268985,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3137 5TH AVE S,44.945352,-93.269019,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3125 5TH AVE S,44.945887,-93.269041,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3121 5TH AVE S,44.945972999999995,-93.26900400000001,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3107 5TH AVE S,44.946368,-93.269038,9,Central,Powderhorn,5,3,Diamond Lake,03/12/2019,00:00
3725 PLEASANT AVE,44.935295,-93.282969,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
3711 PLEASANT AVE,44.935414,-93.282764,8,King Field,Southwest,5,3,Diamond Lake,03/12/2019,00:00
2929 GARFIELD AVE S,44.949386,-93.28679699999999,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2923 GARFIELD AVE S,44.94952,-93.286793,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2917 GARFIELD AVE S,44.949526,-93.28680200000001,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2917 GARFIELD AVE S,44.949632,-93.286823,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2909 GARFIELD AVE S,44.949762,-93.286815,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2905 GARFIELD AVE S,44.950033000000005,-93.286808,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2843 GARFIELD AVE S,44.950499,-93.286792,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2845 GARFIELD AVE S,44.950486,-93.286746,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2837 GARFIELD AVE S,44.950798,-93.28679,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2831 GARFIELD AVE S,44.950977,-93.286788,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2821 GARFIELD AVE S,44.951287,-93.286805,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2811 GARFIELD AVE S,44.951572999999996,-93.286805,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2615 GARFIELD AVE S,44.95495,-93.286776,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2619 GARFIELD AVE S,44.954861,-93.286771,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2629 GARFIELD AVE S,44.95449,-93.286792,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2633 GARFIELD AVE S,44.954366,-93.286752,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2639 GARFIELD AVE S,44.95428,-93.286754,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2647 GARFIELD AVE S,44.953920000000004,-93.286746,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2645 GARFIELD AVE S,44.954074,-93.286754,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2543 GARFIELD AVE S,44.955785,-93.286694,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2543 GARFIELD AVE S,44.955901000000004,-93.286744,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2525 GARFIELD AVE S,44.956351,-93.286749,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2529 GARFIELD AVE S,44.956203,-93.28675799999999,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2513 GARFIELD AVE S,44.95697,-93.286814,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2455 GARFIELD AVE S,44.957607,-93.286751,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
2403 GARFIELD AVE S,44.958966,-93.286741,10,Whittier,Powderhorn,3,3,Diamond Lake,03/12/2019,00:00
1915 FREMONT AVE S,44.963959,-93.295591,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1927 FREMONT AVE S,44.963634000000006,-93.29559,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1933 FREMONT AVE S,44.96335,-93.295464,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1937 FREMONT AVE S,44.963021000000005,-93.295537,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1943 FREMONT AVE S,44.962972,-93.295581,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1945 FREMONT AVE S,44.962959999999995,-93.295548,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2015 FREMONT AVE S,44.96215,-93.295601,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2025 FREMONT AVE S,44.962036,-93.295573,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2417 FREMONT AVE S,44.958638,-93.29563900000001,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2325 EMERSON AVE S,44.959623,-93.294178,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2219 EMERSON AVE S,44.9602,-93.294678,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2215 EMERSON AVE S,44.960233,-93.29458199999999,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2211 EMERSON AVE S,44.960618,-93.294391,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2209 EMERSON AVE S,44.960566,-93.29450899999999,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2207 EMERSON AVE S,44.960669,-93.294473,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2205 EMERSON AVE S,44.960865999999996,-93.294289,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2203 EMERSON AVE S,44.960865999999996,-93.294289,7,East Isles,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2125 EMERSON AVE S,44.961289,-93.29445799999999,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2111 EMERSON AVE S,44.961643,-93.294413,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
2017 EMERSON AVE S,44.962478000000004,-93.294211,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1945 EMERSON AVE S,44.962813,-93.294374,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1925 EMERSON AVE S,44.963529,-93.29444699999999,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1917 EMERSON AVE S,44.963665999999996,-93.294313,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1915 EMERSON AVE S,44.963734,-93.294283,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1903 EMERSON AVE S,44.964179,-93.29433399999999,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1901 EMERSON AVE S,44.964180999999996,-93.294288,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1709 DUPONT AVE S,44.967046,-93.293088,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1715 DUPONT AVE S,44.965744,-93.292949,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1821 DUPONT AVE S,44.96451,-93.29324100000001,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1919 DUPONT AVE S,44.963741999999996,-93.292884,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1927 DUPONT AVE S,44.963449,-93.292978,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1919 COLFAX AVE S,44.96373,-93.29183499999999,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1917 COLFAX AVE S,44.963856,-93.291825,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1915 COLFAX AVE S,44.964024,-93.29183,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
1909 COLFAX AVE S,44.964144,-93.29184599999999,7,Lowry Hill,Calhoun Isle,3,3,Diamond Lake,03/12/2019,00:00
709 6TH AVE SE,44.988251,-93.244282,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
711 6TH AVE SE,44.988343,-93.244185,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
715 6TH AVE SE,44.988576,-93.243747,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
719 6TH AVE SE,44.988701,-93.243881,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
711 5TH AVE SE,44.988844,-93.245488,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
623 5TH AVE SE,44.988295,-93.246282,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
621 5TH AVE SE,44.988036,-93.24654100000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
619 5TH AVE SE,44.988012,-93.246263,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
603 5TH AVE SE,44.987766,-93.246746,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
601 5TH AVE SE,44.987660999999996,-93.246675,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
527 5TH AVE SE,44.987468,-93.24676600000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
529 5TH AVE SE,44.987445,-93.24679,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
523 5TH AVE SE,44.987425,-93.24681600000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
511 5TH AVE SE,44.987021999999996,-93.246927,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
505 5TH AVE SE,44.986854,-93.24748699999999,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
425 5TH AVE SE,44.986261999999996,-93.247692,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
319 5TH AVE SE,44.985321,-93.24846,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
317 4TH AVE SE,44.985686,-93.25044100000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
325 4TH AVE SE,44.98587,-93.24991999999999,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
329 4TH AVE SE,44.985993,-93.249842,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
503 4TH AVE SE,44.987418,-93.24911999999999,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
505 4TH AVE SE,44.987406,-93.249076,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
513 4TH AVE SE,44.987673,-93.248898,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
329 3RD AVE SE,44.986383000000004,-93.251368,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
307 3RD AVE SE,44.986096,-93.251859,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
307 3RD AVE SE,44.985872,-93.251637,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
305 3RD AVE SE,44.985964,-93.25168000000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
301 3RD AVE SE,44.986003000000004,-93.251931,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
427 2ND AVE SE,44.988181,-93.25202900000001,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
429 2ND AVE SE,44.988181,-93.252036,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
527 2ND AVE SE,44.989227,-93.250899,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
525 2ND AVE SE,44.988894,-93.25120799999999,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
521 2ND AVE SE,44.988894,-93.25120799999999,3,Marcy Holmes,University,4,3,Diamond Lake,03/12/2019,00:00
701 2ND AVE SE,44.990675,-93.250838,3,Marcy Holmes,University,2,3,Diamond Lake,03/12/2019,00:00
709 2ND AVE SE,44.990513,-93.250408,3,Marcy Holmes,University,2,3,Diamond Lake,03/12/2019,00:00
713 2ND AVE SE,44.990733,-93.25030699999999,3,Marcy Holmes,University,2,3,Diamond Lake,03/12/2019,00:00
2104 RIVER TERRACE E,44.956299,-93.208625,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
34 ARTHUR AVE SE,44.969772,-93.21553,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
22 ARTHUR AVE SE,44.970196,-93.215273,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
20 ARTHUR AVE SE,44.970248,-93.215338,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
18 ARTHUR AVE SE,44.970290000000006,-93.215276,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
214 EMERALD ST SE,44.962333,-93.20794699999999,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
210 EMERALD ST SE,44.962435,-93.20796899999999,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
208 EMERALD ST SE,44.962866999999996,-93.208084,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
14 BEDFORD ST SE,44.969508000000005,-93.20819,2,Prospect Park - East River Road,University,4,2,Diamond Lake,03/11/2019,00:00
1118 5TH ST SE,44.982768,-93.238283,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1116 5TH ST SE,44.982549,-93.23804200000001,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1018 5TH ST SE,44.983247,-93.239797,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1012 5TH ST SE,44.983364,-93.240004,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
926 5TH ST SE,44.983832,-93.240977,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
928 5TH ST SE,44.98376,-93.24114499999999,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
924 6TH ST SE,44.984998,-93.24025300000001,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1002 6TH ST SE,44.984584999999996,-93.239602,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1012 6TH ST SE,44.984592,-93.239428,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1020 6TH ST SE,44.984286,-93.238887,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1128 6TH ST SE,44.983651,-93.23723299999999,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1126 6TH ST SE,44.983646,-93.237332,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1124 6TH ST SE,44.983655,-93.23735699999999,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1224 6TH ST SE,44.982781,-93.236065,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1222 6TH ST SE,44.982803000000004,-93.236139,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1220 6TH ST SE,44.982824,-93.23625,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
1214 6TH ST SE,44.983032,-93.236285,3,Marcy Holmes,University,4,2,Diamond Lake,03/11/2019,00:00
