Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Emergency,Day,Date,Time
2702 ESSEX ST SE,44.970328,-93.219894,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:35
2110 NORTH FRONTAGE ROAD,44.984769,-93.309352,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:35
2004 GARFIELD AVE S,44.962369,-93.287051,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:35
5738 24TH AVE S,44.898462,-93.237491,11,Nokomis,Wenonah,6,Howe,2,04/16/2018,15:36
410 39TH ST E,44.932421000000005,-93.270208,8,Powderhorn,Bryant,5,Howe,2,04/16/2018,15:36
2116 NORTH FRONTAGE ROAD,44.984634,-93.309432,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:36
1120 21ST AVE N,45.000215999999995,-93.295323,5,Near North,Jordan,1,Howe,2,04/16/2018,15:36
2122 35TH AVE N,45.018679999999996,-93.307928,4,Camden,Folwell,1,Howe,2,04/16/2018,15:36
4554 41ST AVE S,44.919959000000006,-93.213861,12,Longfellow,Hiawatha,6,Howe,2,04/16/2018,15:37
2704 ESSEX ST SE,44.970326,-93.219782,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:37
1122 21ST AVE N,45.000259,-93.295266,5,Near North,Jordan,1,Howe,2,04/16/2018,15:37
824 26TH AVE NE,45.014953999999996,-93.24963000000001,1,Northeast,Holland,2,Howe,2,04/16/2018,15:37
4552 COLFAX AVE N,45.038121999999994,-93.29245300000001,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:37
428 39TH ST E,44.932443,-93.270324,8,Powderhorn,Bryant,5,Howe,2,04/16/2018,15:38
826 26TH AVE NE,45.01495,-93.249564,1,Northeast,Holland,2,Howe,2,04/16/2018,15:38
1924 14TH AVE N,44.993125,-93.305402,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:39
2012 GARFIELD AVE S,44.962192,-93.287062,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:39
4602 COLFAX AVE N,45.03864,-93.292407,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:39
3406 BOARDMAN ST E,44.90469,-93.222546,12,Nokomis,Morris Park,6,Howe,2,04/16/2018,15:39
2716 ESSEX ST SE,44.970240999999994,-93.219459,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:41
1922 14TH AVE N,44.993164,-93.30550600000001,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:41
816 21ST AVE N,45.000236,-93.290262,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:41
3524 PIERCE ST NE,45.032026,-93.24221899999999,1,Northeast,Waite Park,2,Howe,2,04/16/2018,15:41
2014 GARFIELD AVE S,44.96212,-93.287052,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:41
4606 COLFAX AVE N,45.038705,-93.29248,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:41
2920 16TH AVE S,44.94942,-93.251468,9,Phillips,East Phillips,3,Howe,2,04/16/2018,15:41
4400 WASHBURN AVE S,44.923181,-93.317655,13,Southwest,Linden Hills,5,Howe,2,04/16/2018,15:42
4610 COLFAX AVE N,45.038816,-93.29245300000001,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:42
2020 GARFIELD AVE S,44.961901,-93.287027,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:42
2502 8TH AVE N,44.986129,-93.31226099999999,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:43
2206 35TH AVE N,45.018667,-93.308655,4,Camden,Cleveland,1,Howe,2,04/16/2018,15:43
3654 3RD ST NE,45.035278000000005,-93.263869,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:43
3602 45TH ST W,44.921539,-93.325769,13,Southwest,Linden Hills,5,Howe,2,04/16/2018,15:44
2204 BUTLER PL,44.964189000000005,-93.24075699999999,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:44
18 ARTHUR AVE SE,44.970141,-93.215345,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:44
2718 ESSEX ST SE,44.970231,-93.219316,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:44
2502 8TH AVE N,44.98616,-93.31234,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:44
810 21ST AVE N,45.000223999999996,-93.290296,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:44
4616 COLFAX AVE N,45.038990000000005,-93.29241800000001,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:44
4614 COLFAX AVE N,45.038925,-93.292466,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:44
410 40TH ST E,44.930654,-93.270128,8,Powderhorn,Bryant,5,Howe,2,04/16/2018,15:45
2106 GARFIELD AVE S,44.961608,-93.287072,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:45
2208 BUTLER PL,44.964021,-93.240239,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:46
2106 14TH AVE N,44.993252000000005,-93.307601,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:46
808 21ST AVE N,45.000252,-93.290044,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:46
340 40TH ST E,44.930906,-93.270156,8,Powderhorn,Bryant,5,Howe,2,04/16/2018,15:47
2108 GARFIELD AVE S,44.961537,-93.287054,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:47
806 21ST AVE N,45.000209999999996,-93.290002,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:48
4658 COLFAX AVE N,45.040084,-93.29245,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:48
4448 WASHBURN AVE S,44.921698,-93.317679,13,Southwest,Linden Hills,5,Howe,2,04/16/2018,15:49
112 SEYMOUR AVE,44.966149,-93.212761,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:49
328 40TH ST E,44.930532,-93.271576,8,Powderhorn,Bryant,5,Howe,2,04/16/2018,15:50
806 21ST AVE N,45.0002,-93.289923,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:50
3632 2ND ST NE,45.034690000000005,-93.266388,1,Northeast,Columbia Park,2,Howe,2,04/16/2018,15:50
2806 45TH ST W,44.921533000000004,-93.315387,13,Southwest,Linden Hills,5,Howe,2,04/16/2018,15:51
2210 BUTLER PL,44.963892,-93.24071500000001,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:51
4724 COLFAX AVE N,45.041025,-93.292434,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:51
2628 GARFIELD AVE S,44.954522999999995,-93.28706899999999,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:51
2520 36TH AVE N,45.020487,-93.312957,4,Camden,Cleveland,1,Howe,2,04/16/2018,15:52
2214 BUTLER PL,44.963987,-93.240513,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:53
2210 OAK PARK AVE N,44.987918,-93.309,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:53
702 21ST AVE N,45.000209000000005,-93.288442,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:53
4352 IRVING AVE N,45.03501,-93.29958,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,15:53
2732 GARFIELD AVE S,44.952737,-93.28711,10,Powderhorn,Whittier,3,Howe,2,04/16/2018,15:53
608 ERIE ST SE,44.969891,-93.224324,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:54
1406 6TH ST SE,44.982365,-93.234054,3,University,Marcy Holmes,4,Howe,2,04/16/2018,15:54
2212 OAK PARK AVE N,44.987860999999995,-93.309169,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:54
4838 COLFAX AVE N,45.043232,-93.292447,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,15:54
2220 BUTLER PL,44.963978000000004,-93.240465,6,Longfellow,Seward,4,Howe,2,04/16/2018,15:55
312 QUEEN AVE N,44.98053,-93.309567,5,Near North,Harrison,3,Howe,2,04/16/2018,15:55
1408 6TH ST SE,44.982352,-93.233972,3,University,Marcy Holmes,4,Howe,2,04/16/2018,15:56
2300 BUTLER PL,44.964588,-93.235721,2,University,Cedar Riverside,4,Howe,2,04/16/2018,15:57
1410 6TH ST SE,44.982287,-93.233767,3,University,Marcy Holmes,4,Howe,2,04/16/2018,15:57
624 21ST AVE N,45.000213,-93.287589,5,Near North,Hawthorne,1,Howe,2,04/16/2018,15:57
614 ERIE ST SE,44.969699,-93.224356,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,15:58
310 QUEEN AVE N,44.980236,-93.309576,5,Near North,Harrison,3,Howe,2,04/16/2018,15:58
2718 14TH AVE N,44.993352,-93.315523,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,15:58
5726 20TH AVE S,44.899029,-93.243775,11,Nokomis,Wenonah,6,Howe,2,04/16/2018,15:59
616 ERIE ST SE,44.969538,-93.224314,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,16:00
308 QUEEN AVE N,44.980191,-93.30958199999999,5,Near North,Harrison,3,Howe,2,04/16/2018,16:00
1420 6TH ST SE,44.982157,-93.23348100000001,3,University,Marcy Holmes,4,Howe,2,04/16/2018,16:00
2124 36TH AVE N,45.020477,-93.307868,4,Camden,Folwell,1,Howe,2,04/16/2018,16:00
2126 36TH AVE N,45.020485,-93.307987,4,Camden,Folwell,1,Howe,2,04/16/2018,16:00
3024 TYLER ST NE,45.023028000000004,-93.246121,1,Northeast,Audubon Park,2,Howe,2,04/16/2018,16:00
5140 COLFAX AVE N,45.04907,-93.292526,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,16:00
618 ERIE ST SE,44.969481,-93.22434200000001,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,16:01
1420 6TH ST SE,44.982096000000006,-93.23339,3,University,Marcy Holmes,4,Howe,2,04/16/2018,16:01
2704 14TH AVE N,44.993476,-93.314791,5,Near North,Willard - Hay,1,Howe,2,04/16/2018,16:01
4330 JAMES AVE N,45.034392,-93.300911,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,16:01
2304 BUTLER PL,44.964234000000005,-93.236204,6,Longfellow,Seward,4,Howe,2,04/16/2018,16:02
5210 COLFAX AVE N,45.049763,-93.29256600000001,4,Camden,Lind - Bohanon,1,Howe,2,04/16/2018,16:02
5746 RUSSELL AVE S,44.898309000000005,-93.31126,13,Southwest,Armatage,5,Howe,2,04/16/2018,16:03
5612 45TH AVE S,44.901856,-93.20894100000001,12,Nokomis,Morris Park,6,Howe,2,04/16/2018,16:03
622 ERIE ST SE,44.969424,-93.22433199999999,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,16:03
1424 6TH ST SE,44.982043,-93.23328199999999,3,University,Marcy Holmes,4,Howe,2,04/16/2018,16:03
4304 JAMES AVE N,45.03358,-93.300921,4,Camden,Webber - Camden,1,Howe,2,04/16/2018,16:03
5658 19TH AVE S,44.899731,-93.245082,11,Nokomis,Wenonah,6,Howe,2,04/16/2018,16:04
5602 45TH AVE S,44.901540999999995,-93.208835,12,Nokomis,Morris Park,6,Howe,2,04/16/2018,16:04
212 WARWICK ST SE,44.962272,-93.21167,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,16:04
208 WARWICK ST SE,44.962517,-93.21152,2,University,Prospect Park - East River Road,4,Howe,2,04/16/2018,16:04
2306 BUTLER PL,44.963919,-93.23984,6,Longfellow,Seward,4,Howe,2,04/16/2018,16:04
1009 KNOX AVE N,44.988281,-93.302198,5,Near North,Near - North,1,Howe,3,04/17/2018,11:04
4007 DUPONT AVE N,45.027661,-93.293086,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,11:04
3105 COLUMBUS AVE S,44.946248,-93.263912,9,Powderhorn,Central,5,Howe,3,04/17/2018,11:05
3007 12TH AVE S,44.947724,-93.257468,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,11:05
2531 COLE AVE SE,44.98503,-93.217274,2,University,Como,4,Howe,3,04/17/2018,11:05
3237 RUSSELL AVE N,45.014352,-93.31097199999999,4,Camden,Cleveland,1,Howe,3,04/17/2018,11:05
3733 LOGAN AVE N,45.023139,-93.303286,4,Camden,Folwell,1,Howe,3,04/17/2018,11:05
5037 43RD AVE S,44.911265,-93.211372,12,Nokomis,Minnehaha,6,Howe,3,04/17/2018,11:06
1001 KNOX AVE N,44.987815000000005,-93.30245,5,Near North,Near - North,1,Howe,3,04/17/2018,11:06
4031 DUPONT AVE N,45.028836,-93.293118,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,11:06
1315 43RD AVE N,45.033291,-93.296576,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,11:06
3037 GARFIELD AVE S,44.946982,-93.286815,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:07
2409 GRAND AVE S,44.958788,-93.284308,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,11:07
2525 DELAWARE ST SE,44.971845,-93.22119,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:07
2539 COLE AVE SE,44.984764,-93.216801,2,University,Como,4,Howe,3,04/17/2018,11:07
3701 LOGAN AVE N,45.022372999999995,-93.30324499999999,4,Camden,Folwell,1,Howe,3,04/17/2018,11:07
2109 57TH ST W,44.899698,-93.307079,13,Southwest,Armatage,5,Howe,3,04/17/2018,11:08
301 34TH ST W,44.941303999999995,-93.283299,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:08
3703 LOGAN AVE N,45.022355,-93.303248,4,Camden,Folwell,1,Howe,3,04/17/2018,11:08
2903 12TH AVE S,44.949957,-93.257209,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,11:08
3019 GARFIELD AVE S,44.947617,-93.286789,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:09
715 ELWOOD AVE N,44.986302,-93.30149399999999,5,Near North,Near - North,1,Howe,3,04/17/2018,11:09
3655 LOGAN AVE N,45.022034000000005,-93.303248,4,Camden,Folwell,1,Howe,3,04/17/2018,11:09
5433 31ST AVE S,44.904188,-93.227109,11,Nokomis,Wenonah,6,Howe,3,04/17/2018,11:10
3043 14TH AVE S,44.947132,-93.25474,9,Powderhorn,Powderhorn Park,6,Howe,3,04/17/2018,11:10
2623 DELAWARE ST SE,44.971965000000004,-93.22081899999999,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:10
57 OLIVER AVE N,44.975651,-93.30711,7,Calhoun Isle,Bryn - Mawr,3,Howe,3,04/17/2018,11:10
3631 LOGAN AVE N,45.021551,-93.30324399999999,4,Camden,Folwell,1,Howe,3,04/17/2018,11:10
927 43RD ST E,44.924873,-93.260929,11,Nokomis,Northrop,6,Howe,3,04/17/2018,11:10
3719 COLUMBUS AVE S,44.935092,-93.263752,8,Powderhorn,Central,5,Howe,3,04/17/2018,11:11
3309 PILLSBURY AVE,44.942585,-93.281501,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:11
3101 38TH AVE S,44.946882,-93.217864,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:11
3017 GARFIELD AVE S,44.947669,-93.286794,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:11
3955 EMERSON AVE N,45.027293,-93.29440799999999,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,11:11
1025 43RD AVE N,45.033454,-93.292953,4,Camden,Webber - Camden,1,Howe,3,04/17/2018,11:11
3609 LOGAN AVE N,45.020902,-93.30324499999999,4,Camden,Folwell,1,Howe,3,04/17/2018,11:12
2909 12TH AVE S,44.949819,-93.257336,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,11:12
3011 GARFIELD AVE S,44.947835,-93.286838,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:13
3015 38TH AVE S,44.947839,-93.218062,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:13
3717 COLUMBUS AVE S,44.935145,-93.26374399999999,8,Powderhorn,Central,5,Howe,3,04/17/2018,11:14
3005 GARFIELD AVE S,44.947949,-93.286821,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:14
1827 14TH AVE S,44.964046,-93.255339,6,Phillips,Ventura Village,3,Howe,3,04/17/2018,11:14
2955 THOMAS AVE N,45.011247999999995,-93.313399,4,Near North,Jordan,1,Howe,3,04/17/2018,11:14
3335 PILLSBURY AVE,44.942019,-93.28139300000001,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:15
701 ELWOOD AVE N,44.98591,-93.30104,5,Near North,Near - North,1,Howe,3,04/17/2018,11:15
3319 LOGAN AVE N,45.015765,-93.303213,4,Camden,Folwell,1,Howe,3,04/17/2018,11:15
2929 13TH AVE S,44.949109,-93.255986,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,11:15
5519 43RD AVE S,44.903141999999995,-93.21152099999999,12,Nokomis,Morris Park,6,Howe,3,04/17/2018,11:16
3009 37TH AVE S,44.94798,-93.219154,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:16
2819 GRAND AVE S,44.950932,-93.284154,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,11:16
2707 DELAWARE ST SE,44.971228,-93.218897,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:16
2713 DELAWARE ST SE,44.971267,-93.218795,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:16
1421 34TH ST W,44.941337,-93.29786999999999,10,Calhoun Isle,South Uptown,5,Howe,3,04/17/2018,11:17
3009 PLEASANT AVE,44.948063,-93.28300899999999,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:17
3011 37TH AVE S,44.948240999999996,-93.2191,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:17
2923 13TH AVE S,44.949362,-93.256064,9,Phillips,Midtown Phillips,3,Howe,3,04/17/2018,11:17
3203 PILLSBURY AVE,44.944481,-93.281371,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:18
3011 37TH AVE S,44.947635999999996,-93.219115,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:18
139 CECIL ST SE,44.963318,-93.21029,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:18
2717 DELAWARE ST SE,44.9711,-93.21857299999999,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:18
3117 LOGAN AVE N,45.01282,-93.303235,5,Near North,Jordan,1,Howe,3,04/17/2018,11:18
3619 EMERSON AVE N,45.021008,-93.294126,4,Camden,Folwell,1,Howe,3,04/17/2018,11:18
3307 39TH ST E,44.932351000000004,-93.223958,12,Longfellow,Howe,6,Howe,3,04/17/2018,11:19
3013 37TH AVE S,44.947697,-93.219161,2,Longfellow,Longfellow,6,Howe,3,04/17/2018,11:19
3015 PLEASANT AVE,44.947881,-93.283014,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:19
2823 GRAND AVE S,44.950772,-93.284227,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,11:19
1911 14TH AVE S,44.963440000000006,-93.255413,6,Phillips,Ventura Village,3,Howe,3,04/17/2018,11:19
3017 THOMAS AVE N,45.012122,-93.313276,4,Near North,Jordan,1,Howe,3,04/17/2018,11:19
3623 EMERSON AVE N,45.021024,-93.294322,4,Camden,Folwell,1,Howe,3,04/17/2018,11:19
3625 EMERSON AVE N,45.021029,-93.294163,4,Camden,Folwell,1,Howe,3,04/17/2018,11:19
5809 46TH AVE S,44.897864,-93.207693,12,Nokomis,Morris Park,6,Howe,3,04/17/2018,11:20
3033 PLEASANT AVE,44.94726,-93.283043,8,Powderhorn,Lyndale,5,Howe,3,04/17/2018,11:20
2825 GRAND AVE S,44.950652000000005,-93.284214,10,Powderhorn,Whittier,3,Howe,3,04/17/2018,11:20
1927 ALDRICH AVE S,44.963384000000005,-93.289704,10,Calhoun Isle,Lowry Hill East,3,Howe,3,04/17/2018,11:20
2829 DELAWARE ST SE,44.970172999999996,-93.217727,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:20
2811 DELAWARE ST SE,44.970407,-93.217935,2,University,Prospect Park - East River Road,4,Howe,3,04/17/2018,11:20
3019 THOMAS AVE N,45.012344,-93.313222,4,Near North,Jordan,1,Howe,3,04/17/2018,11:20
3103 LOGAN AVE N,45.012527,-93.303225,5,Near North,Jordan,1,Howe,3,04/17/2018,11:20
2821 44TH AVE N,45.035438,-93.31734300000001,4,Camden,Victory,1,Howe,3,04/17/2018,11:20
