Location,Latitude,Longitude,Neighborhood,Community,Ward,Day,Tow_Zone,Date,Time,Emergency
4307 KNOX AVE N,45.0335578918,-93.3020324707,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
617 ONTARIO ST SE,44.9696960449,-93.2256164551,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1609 17TH ST E,44.966381073,-93.259437561,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
5231 UPTON AVE N,45.050391999999995,-93.31571600000001,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
615 ONTARIO ST SE,44.9696998596,-93.2255401611,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
1001 17TH ST E,44.9667549133,-93.2599716187,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
613 ONTARIO ST SE,44.969806671099995,-93.2255935669,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
925 17TH ST E,44.966358184799994,-93.2598800659,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
1815 29TH AVE N,45.009643554700006,-93.3055877686,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
419 23RD AVE N,45.0025520325,-93.2858276367,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
5641 KNOX AVE S,44.9003257751,-93.3023147583,Kenny,Southwest,13,3,5,01/24/2018,00:00,Pembina
405 23RD AVE N,45.0024833679,-93.2852935791,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
611 ONTARIO ST SE,44.969989776599995,-93.2256469727,Prospect Park - East River Road,University,2,3,4,01/24/2018,00:00,Pembina
915 17TH ST E,44.9663772583,-93.2601013184,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
427 23RD AVE N,45.002563476599995,-93.28611755370001,Hawthorne,Near North,5,3,1,01/24/2018,00:00,Pembina
617 37TH AVE N,45.0220794678,-93.28749084469999,McKinley,Camden,4,3,1,01/24/2018,00:00,Pembina
2221 22ND ST W,44.9609031677,-93.2973403931,East Isles,Calhoun Isle,7,3,3,01/24/2018,00:00,Pembina
2119 23RD AVE S,44.9612312317,-93.2393493652,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
2931 CHOWEN AVE S,44.9474716187,-93.3242721558,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
1205 39TH AVE N,45.025756835900005,-93.2947845459,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
4313 NEWTON AVE N,45.0341339111,-93.30609893799999,Victory,Camden,4,3,1,01/24/2018,00:00,Pembina
1309 39TH AVE N,45.025760650600006,-93.29614257809999,Webber - Camden,Camden,4,3,1,01/24/2018,00:00,Pembina
115 25TH ST W,44.95709,-93.279871,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
1205 23RD AVE N,45.0026283264,-93.29558563229999,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
627 17TH ST E,44.966255188000005,-93.2663116455,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
4311 NEWTON AVE N,45.0335502625,-93.3060302734,Victory,Camden,4,3,1,01/24/2018,00:00,Pembina
3121 CHOWEN AVE S,44.946346283000004,-93.3249893188,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
2021 6TH ST S,44.9677314758,-93.2431945801,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
1025 LINCOLN AVE S,44.9644203186,-93.2928771973,Lowry Hill,Calhoun Isle,7,3,3,01/24/2018,00:00,Pembina
625 17TH ST E,44.9662513733,-93.2663955688,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
4407 DREW AVE S,44.922515869099996,-93.3260269165,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
3123 CHOWEN AVE S,44.9459037781,-93.3250656128,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
209 22ND ST E,44.9608955383,-93.273765564,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
5145 VINCENT AVE N,45.048783,-93.316978,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
2023 6TH ST S,44.9677314758,-93.2431106567,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
623 17TH ST E,44.9662322998,-93.2664718628,Elliot Park,Central,6,3,3,01/24/2018,00:00,Pembina
2115 22ND AVE S,44.961479186999995,-93.24089050290002,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
617 17TH ST E,44.9650611877,-93.2657775879,Ventura Village,Phillips,6,3,3,01/24/2018,00:00,Pembina
511 25TH ST W,44.957169,-93.286225,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
203 22ND ST E,44.960876464799995,-93.2739334106,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
1105 24TH AVE N,45.0038299561,-93.29429626459999,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
1025 LINCOLN AVE S,44.964443206800006,-93.29175567629999,Lowry Hill,Calhoun Isle,7,3,3,01/24/2018,00:00,Pembina
2017 22ND AVE S,44.9621238708,-93.2408828735,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
509 25TH ST W,44.957176000000004,-93.286052,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
119 22ND ST E,44.960876464799995,-93.2748336792,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
50031 VINCENT AVE N,45.046005,-93.316919,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
2021 22ND AVE S,44.9620475769,-93.2409210205,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
2023 22ND AVE S,44.9619026184,-93.24097442629999,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
115 22ND ST E,44.960876464799995,-93.2748336792,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
1305 7TH ST SE,44.983695983900006,-93.2345657349,Marcy Holmes,University,3,3,4,01/24/2018,00:00,Pembina
2023 22ND AVE S,44.9619903564,-93.2409210205,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
5005 DREW AVE S,44.911895752,-93.326461792,Fulton,Southwest,13,3,5,01/24/2018,00:00,Pembina
225 LUVERNE AVE S,44.9087944031,-93.273223877,Page,Nokomis,11,3,5,01/24/2018,00:00,Pembina
2025 6TH ST S,44.9677467346,-93.2430114746,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
225 LUVERNE AVE S,44.9087867737,-93.2732086182,Page,Nokomis,11,3,5,01/24/2018,00:00,Pembina
3731 32ND ST W,44.9450302124,-93.3276596069,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
605 25TH ST W,44.95733,-93.286829,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
2027 6TH ST S,44.9677314758,-93.24291992190001,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
5003 DREW AVE S,44.912517547600004,-93.32641601559999,Fulton,Southwest,13,3,5,01/24/2018,00:00,Pembina
35 22ND ST E,44.9608917236,-93.27689361569999,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
1029 7TH ST SE,44.985023498500006,-93.23783111569999,Marcy Holmes,University,3,3,4,01/24/2018,00:00,Pembina
2029 6TH ST S,44.9677276611,-93.24284362790002,Cedar Riverside,University,2,3,4,01/24/2018,00:00,Pembina
905 22ND AVE S,44.963150024399994,-93.24089050290002,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
1115 25TH AVE N,45.004821777299995,-93.29535675049999,Jordan,Near North,5,3,1,01/24/2018,00:00,Pembina
1027 7TH ST SE,44.985092163100006,-93.2379989624,Marcy Holmes,University,3,3,4,01/24/2018,00:00,Pembina
907 22ND AVE S,44.963317871099996,-93.2408828735,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
3621 41ST ST W,44.9287147522,-93.32613372799999,Linden Hills,Southwest,13,3,5,01/24/2018,00:00,Pembina
3529 32ND ST W,44.945049285900005,-93.32633209229999,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
33 22ND ST E,44.960899353,-93.27703094479999,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
31 22ND ST E,44.9608688354,-93.27716827389999,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
5103 XERXES AVE N,45.047992,-93.319491,Shingle Creek,Camden,4,3,1,01/24/2018,00:00,Pembina
1025 7TH ST SE,44.9853744507,-93.23826599120001,Marcy Holmes,University,3,3,4,01/24/2018,00:00,Pembina
911 22ND AVE S,44.9635887146,-93.24091339110001,Seward,Longfellow,6,3,4,01/24/2018,00:00,Pembina
3605 32ND ST W,44.9450645447,-93.3266372681,West Calhoun,Calhoun Isle,13,3,3,01/24/2018,00:00,Pembina
25 22ND ST E,44.9608688354,-93.27735900879999,Whittier,Powderhorn,10,3,3,01/24/2018,00:00,Pembina
