Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"220 3rd ave ne,Minneapolis,MN",44.990596000000004,-93.258811,3,St. Anthony West,Northeast,2,2,12/12/2016,09:05,Dana
"3106 Colfax Ave. n. ,Minneapolis,MN",45.0123,-93.291598,5,Hawthorne,Near North,2,1,12/12/2016,15:49,Dana
"718 8th ave se,Minneapolis,MN",44.987266,-93.241075,3,Marcy Holmes,University,2,4,12/12/2016,14:18,Dana
"1038 aldrich ave n,Minneapolis,MN",44.988331,-93.291023,5,Sumner - Glenwood,Near North,2,1,12/12/2016,09:06,Dana
"2800 Emerson Ave S,Minneapolis,MN",44.951575,-93.29446999999999,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,21:57,Dana
"4510 43rd st e,Minneapolis,MN",44.925246,-93.208801,12,Hiawatha,Longfellow,2,6,12/12/2016,15:49,Dana
"328 Clifton ave ,Minneapolis,MN",44.965906,-93.283231,7,Loring Park,Central,2,3,12/12/2016,14:18,Dana
"706 3rd ave ne,Minneapolis,MN",44.975118,-93.268307,7,Downtown West,Central,2,3,12/12/2016,09:06,Dana
"3021 Lyndale ave n,Minneapolis,MN",45.011634,-93.288016,5,Hawthorne,Near North,1,1,12/11/2016,22:21,Dana
"302 queen av n,Minneapolis,MN",44.980028000000004,-93.30934599999999,5,Harrison,Near North,2,3,12/12/2016,15:51,Dana
"310 CLIFTON AVE,Minneapolis,MN",44.966307,-93.283615,7,Loring Park,Central,2,3,12/12/2016,14:18,Dana
"2628 Johnson St NE,Minneapolis,MN",45.015903,-93.237155,1,Audubon Park,Northeast,1,2,12/11/2016,22:22,Dana
"702 3rd ave ne,Minneapolis,MN",44.975156,-93.268276,7,Downtown West,Central,2,3,12/12/2016,09:08,Dana
"2550 jackson st ne,Minneapolis,MN",45.01462,-93.249135,1,Holland,Northeast,2,2,12/12/2016,15:52,Dana
"218 8th ave se,Minneapolis,MN",44.982034000000006,-93.24547199999999,3,Marcy Holmes,University,2,4,12/12/2016,14:18,Dana
"3542 12th ave,Minneapolis,MN",44.938224,-93.257503,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,10:16,Dana
"1808 dupont ave s,Minneapolis,MN",44.965022999999995,-93.293454,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,09:08,Dana
"3400 4th Ave s,Minneapolis,MN",44.941355,-93.27023100000001,9,Central,Powderhorn,1,5,12/11/2016,22:23,Dana
"2604 Jackson st ne,Minneapolis,MN",45.015187,-93.249137,1,Holland,Northeast,2,2,12/12/2016,15:54,Dana
"1504 Oliver Ave n ,Minneapolis,MN",44.994426000000004,-93.306597,5,Willard - Hay,Near North,2,1,12/12/2016,14:20,Dana
"1802 dupont ave s,Minneapolis,MN",44.965178,-93.293086,7,Lowry Hill,Calhoun Isle,2,3,12/12/2016,09:10,Dana
"232 8th ave se,Minneapolis,MN",44.982167,-93.245365,3,Marcy Holmes,University,2,4,12/12/2016,15:56,Dana
"1500 2nd st N. ,Minneapolis,MN",44.994215999999994,-93.27986700000001,5,Near - North,Near North,1,1,12/11/2016,22:23,Dana
"308 5th ave se,Minneapolis,MN",44.984682,-93.248871,3,Marcy Holmes,University,2,4,12/12/2016,10:17,Dana
"418 2nd Avenue Southeast,Minneapolis,MN",44.987386,-93.25253599999999,3,Marcy Holmes,University,2,4,12/12/2016,09:10,Dana
"430 8th ave se,Minneapolis,MN",44.984472,-93.243565,3,Marcy Holmes,University,2,4,12/12/2016,14:21,Dana
"2227 Johnson St NE,Minneapolis,MN",45.010471,-93.2369,1,Windom Park,Northeast,1,2,12/11/2016,22:23,Dana
"3510 Garfield Ave s,Minneapolis,MN",44.939051,-93.287201,8,Lyndale,Powderhorn,2,5,12/12/2016,15:57,Dana
"3918 13th ave s,Minneapolis,MN",44.931706,-93.256206,8,Bancroft,Powderhorn,2,6,12/12/2016,09:11,Dana
"808 5th ave se,Minneapolis,MN",44.989696,-93.244904,3,Marcy Holmes,University,2,4,12/12/2016,10:18,Dana
"802 5th ave se,Minneapolis,MN",44.989471,-93.245083,3,Marcy Holmes,University,2,4,12/12/2016,14:21,Dana
"3000 4TH AVE S,Minneapolis,MN",44.948333,-93.270308,9,Central,Powderhorn,1,5,12/11/2016,22:23,Dana
"1510 Sheridan Ave N,Minneapolis,MN",44.994473,-93.31179200000001,5,Willard - Hay,Near North,2,1,12/12/2016,15:58,Dana
"500 3rd Avenue Southeast,Minneapolis,MN",44.987639,-93.250491,3,Marcy Holmes,University,2,4,12/12/2016,09:13,Dana
"2706 aldrich ave n,Minneapolis,MN",45.007978,-93.289017,5,Hawthorne,Near North,2,1,12/12/2016,14:21,Dana
"424 7th ave ne,Minneapolis,MN",44.996429,-93.258984,3,St. Anthony West,Northeast,2,2,12/12/2016,10:18,Dana
"2650 Jefferson st ne,Minneapolis,MN",45.016601,-93.255739,1,Holland,Northeast,2,2,12/12/2016,15:58,Dana
"508 3rd ave se,Minneapolis,MN",44.987903,-93.25028,3,Marcy Holmes,University,2,4,12/12/2016,09:15,Dana
"1012 Oliver Ave N,Minneapolis,MN",44.988389,-93.306983,5,Near - North,Near North,2,1,12/12/2016,14:22,Dana
"3408 Chicago Ave.,Minneapolis,MN",44.940940999999995,-93.262904,9,Central,Powderhorn,1,5,12/11/2016,22:26,Dana
"2938. Bryant Ave n,Minneapolis,MN",45.010666,-93.29026,5,Hawthorne,Near North,2,1,12/12/2016,15:59,Dana
"124 19TH st e,Minneapolis,MN",44.963968,-93.27468,6,Steven's Square - Loring Heights,Central,2,3,12/12/2016,10:22,Dana
"516 3rd ave se,Minneapolis,MN",44.988081,-93.249837,3,Marcy Holmes,University,2,4,12/12/2016,09:16,Dana
"1502 Oliver Ave N,Minneapolis,MN",44.994366,-93.306943,5,Willard - Hay,Near North,2,1,12/12/2016,14:22,Dana
"302 8th Avenue Southeast,Minneapolis,MN",44.982878,-93.2448,3,Marcy Holmes,University,2,4,12/12/2016,16:00,Dana
"3900 4th Ave s,Minneapolis,MN",44.93222,-93.2705,8,Bryant,Powderhorn,1,5,12/11/2016,22:27,Dana
"3608 13th ave s,Minneapolis,MN",44.937326,-93.25656,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,09:16,Dana
"3140 elliot,Minneapolis,MN",44.945294,-93.26137299999999,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,14:24,Dana
"3144 22nd Ave S,Minneapolis,MN",44.945236,-93.24064200000001,9,Corcoran,Powderhorn,2,6,12/12/2016,16:00,Dana
"636 Summer st ne,Minneapolis,MN",44.996761,-93.256618,3,St. Anthony East,Northeast,2,2,12/12/2016,10:22,Dana
"716 3rd ave ne,Minneapolis,MN",44.975021000000005,-93.268385,7,Downtown West,Central,2,3,12/12/2016,09:17,Dana
"3542 Garfield Ave s,Minneapolis,MN",44.93803,-93.28724799999999,8,Lyndale,Powderhorn,2,5,12/12/2016,16:00,Dana
"718 3rd ave ne,Minneapolis,MN",44.975001,-93.268401,7,Downtown West,Central,2,3,12/12/2016,09:19,Dana
"614 33rd st e,Minneapolis,MN",44.943205,-93.26688299999999,9,Central,Powderhorn,2,5,12/12/2016,10:23,Dana
"509 15th st e,Minneapolis,MN",44.968046,-93.268282,6,Elliot Park,Central,1,3,12/11/2016,23:47,Dana
"308 17th ave ne,Minneapolis,MN",45.005143,-93.264013,3,Sheridan,Northeast,2,2,12/12/2016,14:24,Dana
"2520 Jackson St ,Minneapolis,MN",45.013948,-93.24942800000001,1,Holland,Northeast,2,2,12/12/2016,16:01,Dana
"618 3rd ave se,Minneapolis,MN",44.989133,-93.248829,3,Marcy Holmes,University,2,4,12/12/2016,09:20,Dana
"3033 Chicago ave s,Minneapolis,MN",44.947259,-93.262273,9,Powderhorn Park,Powderhorn,1,6,12/11/2016,22:29,Dana
"4715 Bryant Ave n,Minneapolis,MN",45.040782,-93.29180600000001,4,Lind - Bohanon,Camden,1,1,12/11/2016,23:47,Dana
"1904 Irving Ave n ,Minneapolis,MN",44.999224,-93.299289,5,Willard - Hay,Near North,2,1,12/12/2016,10:25,Dana
"308 queen ave n,Minneapolis,MN",44.980028000000004,-93.30934599999999,5,Harrison,Near North,2,3,12/12/2016,16:01,Dana
"626 17th ave ne,Minneapolis,MN",45.005095000000004,-93.257184,1,Logan Park,Northeast,2,2,12/12/2016,14:25,Dana
"3116 16th ave s,Minneapolis,MN",44.945959,-93.25146600000001,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,11:29,Dana
"424 5th ave se,Minneapolis,MN",44.986261999999996,-93.248041,3,Marcy Holmes,University,2,4,12/12/2016,10:27,Dana
"502 15th st e,Minneapolis,MN",44.968075,-93.268609,7,Elliot Park,Central,1,3,12/11/2016,23:48,Dana
"700 7th st se,Minneapolis,MN",44.987064000000004,-93.24303499999999,3,Marcy Holmes,University,2,4,12/12/2016,16:02,Dana
"310 3rd Ave Southeast,Minneapolis,MN",44.986154,-93.251666,3,Marcy Holmes,University,2,4,12/12/2016,09:20,Dana
"1320 Irving Ave n ,Minneapolis,MN",44.992469,-93.29923199999999,5,Near - North,Near North,2,1,12/12/2016,11:29,Dana
"3430 Fremont ave s,Minneapolis,MN",44.940292,-93.295846,10,South Uptown,Calhoun Isle,2,5,12/12/2016,14:25,Dana
"3837 chicago ave,Minneapolis,MN",44.932959000000004,-93.262085,8,Bancroft,Powderhorn,1,6,12/11/2016,22:29,Dana
"500 15th st e,Minneapolis,MN",44.968322,-93.268724,7,Elliot Park,Central,1,3,12/11/2016,23:49,Dana
"622 5th Ave se,Minneapolis,MN",44.98766,-93.246534,3,Marcy Holmes,University,2,4,12/12/2016,10:27,Dana
"3014 GARFIELD AVE S ,Minneapolis,MN",44.947758,-93.28708,8,Lyndale,Powderhorn,2,5,12/12/2016,16:02,Dana
"1212 Fremont Ave. N. ,Minneapolis,MN",44.991984,-93.295631,5,Near - North,Near North,2,1,12/12/2016,09:23,Dana
"810 37th st e,Minneapolis,MN",44.935969,-93.261787,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,11:29,Dana
"2320 32nd St E,Minneapolis,MN",44.944769,-93.237933,9,Corcoran,Powderhorn,2,6,12/12/2016,14:25,Dana
"2800-2899 Dupont av s,Minneapolis,MN",44.951233,-93.293203,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,23:50,Dana
"3512 12th ave s,Minneapolis,MN",44.939054999999996,-93.257784,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,10:27,Dana
"308 11th Ave se,Minneapolis,MN",44.981258000000004,-93.24064,3,Marcy Holmes,University,2,4,12/12/2016,16:02,Dana
"424 15th st w,Minneapolis,MN",44.968441999999996,-93.285967,7,Loring Park,Central,1,3,12/11/2016,22:31,Dana
"1210 Fremont Ave n,Minneapolis,MN",44.991984,-93.295631,5,Near - North,Near North,2,1,12/12/2016,09:25,Dana
"316 18th st e,Minneapolis,MN",44.965232,-93.271839,6,Steven's Square - Loring Heights,Central,2,3,12/12/2016,11:30,Dana
"1510 Irving Ave n,Minneapolis,MN",44.994531,-93.299144,5,Near - North,Near North,2,1,12/12/2016,10:27,Dana
"2500 2nd st north,Minneapolis,MN",45.00496,-93.27964300000001,5,Hawthorne,Near North,1,1,12/11/2016,23:50,Dana
"314 11th Avenue Southeast,Minneapolis,MN",44.981685,-93.240273,3,Marcy Holmes,University,2,4,12/12/2016,16:03,Dana
"2128 Pillsbury ave s,Minneapolis,MN",44.961159,-93.281287,10,Whittier,Powderhorn,2,3,12/12/2016,14:25,Dana
"208 4th ave ne,Minneapolis,MN",44.979296999999995,-93.262839,3,Downtown West,Central,2,3,12/12/2016,09:25,Dana
"2633 Johnson St NE,Minneapolis,MN",45.016118,-93.236878,1,Audubon Park,Northeast,1,2,12/11/2016,22:33,Dana
"4220 11th ave s,Minneapolis,MN",44.92621,-93.25908299999999,8,Northrop,Nokomis,2,6,12/12/2016,11:30,Dana
"5317 Chicago ave s,Minneapolis,MN",44.906434999999995,-93.262244,11,Hale,Nokomis,1,6,12/11/2016,23:51,Dana
"3516 Bryant Ave n,Minneapolis,MN",45.019114,-93.290548,4,McKinley,Camden,2,1,12/12/2016,16:03,Dana
"3810 15th ave s,Minneapolis,MN",44.933707,-93.253677,8,Bancroft,Powderhorn,2,6,12/12/2016,10:28,Dana
"3026 elliot,Minneapolis,MN",44.947488,-93.26173100000001,9,Powderhorn Park,Powderhorn,2,6,12/12/2016,14:26,Dana
"324. 4Th ave se,Minneapolis,MN",44.985696000000004,-93.25019499999999,3,Marcy Holmes,University,2,4,12/12/2016,09:25,Dana
"2716 Plymouth ave n,Minneapolis,MN",44.991732,-93.315443,5,Willard - Hay,Near North,1,1,12/11/2016,23:53,Dana
"2620 Quincy St ne,Minneapolis,MN",45.015775,-93.25121800000001,1,Holland,Northeast,2,2,12/12/2016,16:04,Dana
"828 6th av se,Minneapolis,MN",44.989113,-93.243525,3,Marcy Holmes,University,2,4,12/12/2016,11:30,Dana
"16 15th at w,Minneapolis,MN",44.968291,-93.276854,7,Loring Park,Central,1,3,12/11/2016,22:34,Dana
"646 Summer St ne,Minneapolis,MN",44.996765,-93.255884,3,St. Anthony East,Northeast,2,2,12/12/2016,10:28,Dana
"2714 3rd st. N. ,Minneapolis,MN",45.007342,-93.283417,5,Hawthorne,Near North,2,1,12/12/2016,09:26,Dana
"4829 chicago ave,Minneapolis,MN",44.914972999999996,-93.26224300000001,11,Northrop,Nokomis,1,6,12/11/2016,23:54,Dana
"3116 22nd Ave S,Minneapolis,MN",44.945971,-93.24112099999999,9,Corcoran,Powderhorn,2,6,12/12/2016,16:04,Dana
"2914 aldrich ave n,Minneapolis,MN",45.009992,-93.289006,5,Hawthorne,Near North,2,1,12/12/2016,14:26,Dana
"324 e 1 8th st,Minneapolis,MN",44.965233000000005,-93.271236,6,Steven's Square - Loring Heights,Central,2,3,12/12/2016,11:32,Dana
"401 15th st w ,Minneapolis,MN",44.968412,-93.28596800000001,7,Loring Park,Central,1,3,12/11/2016,22:35,Dana
"1424 spruce pl,Minneapolis,MN",44.968129,-93.281623,7,Loring Park,Central,2,3,12/12/2016,09:30,Dana
"602 5th Avenue Southeast ,Minneapolis,MN",44.987465,-93.24669300000001,3,Marcy Holmes,University,2,4,12/12/2016,10:28,Dana
"3036 GARFIELD AVE S ,Minneapolis,MN",44.94708,-93.287104,8,Lyndale,Powderhorn,2,5,12/12/2016,16:04,Dana
"2800-2899 Dupont av s,Minneapolis,MN",44.951233,-93.293203,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,23:54,Dana
"122 18 st e,Minneapolis,MN",44.965229,-93.27510600000001,6,Steven's Square - Loring Heights,Central,2,3,12/12/2016,11:32,Dana
"2108 Bryant Ave. n,Minneapolis,MN",45.000525,-93.291031,5,Hawthorne,Near North,2,1,12/12/2016,14:26,Dana
"2508 girard ave s,Minneapolis,MN",44.9569,-93.297309,7,East Isles,Calhoun Isle,2,3,12/12/2016,09:31,Dana
"608 5th ave se,Minneapolis,MN",44.987524,-93.246645,3,Marcy Holmes,University,2,4,12/12/2016,10:29,Dana
"412 queen av n,Minneapolis,MN",44.984535,-93.30971600000001,5,Willard - Hay,Near North,2,1,12/12/2016,16:05,Dana
"316 15th st w,Minneapolis,MN",44.968418,-93.285899,7,Loring Park,Central,1,3,12/11/2016,22:36,Dana
"3024 James ave ,Minneapolis,MN",44.947448,-93.30366500000001,10,ECCO,Calhoun Isle,2,5,12/12/2016,09:33,Dana
"2126 Pillsbury ave s,Minneapolis,MN",44.961166,-93.281287,10,Whittier,Powderhorn,2,3,12/12/2016,14:27,Dana
"1816 Polk St ne,Minneapolis,MN",45.006948,-93.24562900000001,1,Windom Park,Northeast,2,2,12/12/2016,16:10,Dana
"1300 spruce pl,Minneapolis,MN",44.968503999999996,-93.28085300000001,7,Loring Park,Central,2,3,12/12/2016,09:34,Dana
"682 summer st ne,Minneapolis,MN",44.996916999999996,-93.253517,3,St. Anthony East,Northeast,2,2,12/12/2016,10:29,Dana
"1900 block 2nd st n,Minneapolis,MN",44.998397,-93.279708,5,Near - North,Near North,1,1,12/11/2016,22:39,Dana
"3106 Garfield Ave s,Minneapolis,MN",44.946335999999995,-93.286874,8,Lyndale,Powderhorn,2,5,12/12/2016,16:13,Dana
"158 12th ave ne,Minneapolis,MN",44.999805,-93.266708,3,Sheridan,Northeast,2,2,12/12/2016,14:27,Dana
"1708 Aldrich Ave n ,Minneapolis,MN",44.996094,-93.289541,5,Near - North,Near North,2,1,12/12/2016,09:36,Dana
"2418 Fillmore st ne,Minneapolis,MN",45.012819,-93.242508,1,Windom Park,Northeast,2,2,12/12/2016,16:15,Dana
"2800 Emerson s,Minneapolis,MN",44.951575,-93.29446999999999,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,22:39,Dana
"426 8th ave se,Minneapolis,MN",44.984454,-93.243579,3,Marcy Holmes,University,2,4,12/12/2016,14:27,Dana
"320 4th Avenue Southeast ,Minneapolis,MN",44.985675,-93.250212,3,Marcy Holmes,University,2,4,12/12/2016,09:36,Dana
"2800-2899 Dupont av s,Minneapolis,MN",44.951233,-93.293203,10,Lowry Hill East,Calhoun Isle,1,3,12/11/2016,22:41,Dana
