Location,Latitude,Longitude,Ward,Neighborhood,Community,Tow_Zone,Day,Emergency,Date,Time
BRYANT AVE S,44.956697999999996,-93.290578,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
DUPONT AVE S,44.906154,-93.293213,13,Lynnhurst,Southwest,5,3,Armatage,02/26/2019,00:00
35TH AVE N,45.018696000000006,-93.309306,4,Cleveland,Camden,1,3,Armatage,02/26/2019,00:00
32ND AVE S,44.951547,-93.22593,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.958012,-93.29056700000001,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
22ND ST W,44.960905,-93.290442,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.956859,-93.290545,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
CECIL ST SE,44.964096999999995,-93.21028000000001,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.997170000000004,-93.306999,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
32ND AVE S,44.95171,-93.22580400000001,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
BRYANT AVE S,44.956938,-93.29056899999999,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.010164,-93.29055699999999,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
32ND AVE S,44.951706,-93.225728,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.945454,-93.324852,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
DELAWARE ST SE,44.971092,-93.218502,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.010112,-93.29056,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
22ND ST W,44.960906,-93.28899399999999,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.961814000000004,-93.257687,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.013754,-93.30704399999999,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
21ST ST E,44.961832,-93.25766999999999,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.009355,-93.290578,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.994995,-93.306985,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
36TH AVE N,45.020486,-93.311238,4,Cleveland,Camden,1,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.945746,-93.32478,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
DELAWARE ST SE,44.970437,-93.217895,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.009238,-93.290578,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
22ND ST W,44.960919,-93.28907,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.961831,-93.257137,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
POLK ST NE,45.026936,-93.244784,1,Waite Park,Northeast,2,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.994533000000004,-93.306989,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.008297999999996,-93.290603,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
DELAWARE ST SE,44.970296999999995,-93.217826,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.960957,-93.288273,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
BRYANT AVE N,45.008171999999995,-93.29057399999999,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.994421,-93.307017,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
EMERSON AVE S,44.896902000000004,-93.294722,13,Kenny,Southwest,5,3,Armatage,02/26/2019,00:00
36TH AVE N,45.020406,-93.29984,4,Folwell,Camden,1,3,Armatage,02/26/2019,00:00
CALIFORNIA ST NE,45.013974,-93.268898,1,Marshall Terrace,Northeast,2,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.946071,-93.324966,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
DELAWARE ST SE,44.97006,-93.217809,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.961021,-93.28840600000001,10,Lowry Hill East,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
TYLER ST NE,45.028764,-93.246096,1,Waite Park,Northeast,2,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.993961999999996,-93.306996,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.946164,-93.32494100000001,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.992619,-93.307019,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
6TH ST S,44.969172,-93.25024599999999,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.960896999999996,-93.287054,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
21ST ST E,44.961816999999996,-93.255255,6,Ventura Village,Phillips,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.992494,-93.307009,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
CHOWEN AVE S,44.947281,-93.324591,13,West Calhoun,Calhoun Isle,3,3,Armatage,02/26/2019,00:00
22ND ST W,44.960998,-93.287026,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,44.992425,-93.306955,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.011109000000005,-93.307025,5,Jordan,Near North,1,3,Armatage,02/26/2019,00:00
MINNEAPOLIS AVE,44.959261,-93.222853,2,Seward,Longfellow,4,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.011051,-93.307004,5,Jordan,Near North,1,3,Armatage,02/26/2019,00:00
37TH AVE N,45.022139,-93.286402,4,McKinley,Camden,1,3,Armatage,02/26/2019,00:00
UPTON AVE S,44.925531,-93.314756,13,Linden Hills,Southwest,5,3,Armatage,02/26/2019,00:00
WILLIAMS AVE SE,44.968403,-93.218602,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.960963,-93.280886,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
OLIVER AVE N,45.007301,-93.306996,5,Jordan,Near North,1,3,Armatage,02/26/2019,00:00
39TH AVE S,44.898835,-93.216628,12,Morris Park,Nokomis,6,3,Armatage,02/26/2019,00:00
12TH AVE N,44.990819,-93.29008499999999,5,Near - North,Near North,1,3,Armatage,02/26/2019,00:00
ERIE ST SE,44.969947,-93.224188,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
POLK ST NE,45.014554,-93.245552,1,Audubon Park,Northeast,2,3,Armatage,02/26/2019,00:00
6TH ST S,44.96815,-93.248263,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
14TH AVE N,44.993063,-93.30729699999999,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
22ND ST E,44.960669,-93.26868,6,Phillips West,Phillips,3,3,Armatage,02/26/2019,00:00
EWING AVE S,44.932805,-93.328056,13,Linden Hills,Southwest,5,3,Armatage,02/26/2019,00:00
22ND ST W,44.960837,-93.279122,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
ERIE ST SE,44.969831,-93.224435,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
8TH AVE N,44.986208000000005,-93.293852,5,Sumner - Glenwood,Near North,1,3,Armatage,02/26/2019,00:00
22ND ST E,44.960873,-93.268511,6,Phillips West,Phillips,3,3,Armatage,02/26/2019,00:00
WILLIAMS AVE SE,44.970890000000004,-93.21728,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.960862,-93.279044,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
POLK ST NE,45.014161,-93.245558,1,Audubon Park,Northeast,2,3,Armatage,02/26/2019,00:00
COLFAX AVE N,45.006227,-93.29175,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
ERIE ST SE,44.969704,-93.224285,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
NEWTON AVE N,45.006204,-93.30572,5,Jordan,Near North,1,3,Armatage,02/26/2019,00:00
39TH AVE N,45.025808000000005,-93.292695,4,Webber - Camden,Camden,1,3,Armatage,02/26/2019,00:00
ERIE ST SE,44.969494,-93.224345,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
22ND ST E,44.960873,-93.268396,6,Phillips West,Phillips,3,3,Armatage,02/26/2019,00:00
NEWTON AVE N,45.0063,-93.305722,5,Jordan,Near North,1,3,Armatage,02/26/2019,00:00
14TH AVE N,44.993068,-93.304997,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
39TH AVE N,45.025791999999996,-93.292498,4,Webber - Camden,Camden,1,3,Armatage,02/26/2019,00:00
6TH ST S,44.967868,-93.247149,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
22ND ST W,44.960907,-93.278722,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
COLFAX AVE N,45.00878,-93.29178,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
14TH AVE N,44.993065,-93.30493299999999,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
29TH ST E,44.950138,-93.23244,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
COLFAX AVE N,45.009288,-93.29178,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
29TH ST E,44.950161,-93.232736,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
22ND ST E,44.960868,-93.26730400000001,6,Phillips West,Phillips,3,3,Armatage,02/26/2019,00:00
22ND ST W,44.960947999999995,-93.278293,10,Whittier,Powderhorn,3,3,Armatage,02/26/2019,00:00
COLFAX AVE N,45.00969,-93.291771,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
6TH ST S,44.967756,-93.24599,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
COLFAX AVE N,45.010771000000005,-93.291842,5,Hawthorne,Near North,1,3,Armatage,02/26/2019,00:00
14TH AVE N,44.993077,-93.303602,5,Willard - Hay,Near North,1,3,Armatage,02/26/2019,00:00
WILLIAMS AVE SE,44.970618,-93.21701999999999,2,Prospect Park - East River Road,University,4,3,Armatage,02/26/2019,00:00
29TH ST E,44.950171999999995,-93.23070899999999,2,Longfellow,Longfellow,4,3,Armatage,02/26/2019,00:00
6TH ST S,44.967983000000004,-93.246252,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
6TH ST S,44.967611,-93.244515,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
6TH ST S,44.967748,-93.24458800000001,6,Cedar Riverside,University,4,3,Armatage,02/26/2019,00:00
CLINTON AVE S,44.962076,-93.271497,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.965617,-93.29055699999999,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
QUEEN AVE N,45.004277,-93.307905,5,Jordan,Near North,1,2,Armatage,02/25/2019,00:00
ELLIOT AVE S,44.916915,-93.261264,11,Northrop,Nokomis,6,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.916881,-93.281778,11,Tangletown,Southwest,5,2,Armatage,02/25/2019,00:00
2ND AVE SE,44.990586,-93.249861,3,Marcy Holmes,University,2,2,Armatage,02/25/2019,00:00
3RD ST N,45.003353000000004,-93.28339799999999,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986123,-93.219382,2,Como,University,4,2,Armatage,02/25/2019,00:00
HUMBOLDT AVE S,44.947977,-93.300813,10,ECCO,Calhoun Isle,5,2,Armatage,02/25/2019,00:00
CLINTON AVE S,44.962134999999996,-93.271496,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
3RD ST N,45.004277,-93.283344,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
2ND AVE S,44.961251000000004,-93.27409300000001,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
GRAND ST NE,45.01276,-93.270151,3,Bottineau,Northeast,2,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986104,-93.220323,2,Como,University,4,2,Armatage,02/25/2019,00:00
14TH ST W,44.968742999999996,-93.280165,7,Loring Park,Central,3,2,Armatage,02/25/2019,00:00
3RD ST N,45.00442,-93.283387,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
WINTER ST NE,44.9933,-93.235422,1,Mid - City Industrial,University,2,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.966246000000005,-93.290471,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
WASHBURN AVE N,44.999034,-93.317185,5,Willard - Hay,Near North,1,2,Armatage,02/25/2019,00:00
3RD ST N,45.004508,-93.28336999999999,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
OLIVER AVE S,44.961703,-93.306951,7,Kenwood,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
HUMBOLDT AVE S,44.947995,-93.300798,10,ECCO,Calhoun Isle,5,2,Armatage,02/25/2019,00:00
HUMBOLDT AVE S,44.947758,-93.30125,10,ECCO,Calhoun Isle,5,2,Armatage,02/25/2019,00:00
61ST ST E,44.893407,-93.277123,11,Windom,Southwest,5,2,Armatage,02/25/2019,00:00
CLINTON AVE S,44.962392,-93.271469,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.918663,-93.281941,11,Tangletown,Southwest,5,2,Armatage,02/25/2019,00:00
2ND AVE SE,44.988566,-93.251684,3,Marcy Holmes,University,4,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.965117,-93.290538,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986084999999996,-93.220606,2,Como,University,4,2,Armatage,02/25/2019,00:00
10TH AVE S,44.917431,-93.26005500000001,11,Northrop,Nokomis,6,2,Armatage,02/25/2019,00:00
HUMBOLDT AVE S,44.947388000000004,-93.30085600000001,10,ECCO,Calhoun Isle,5,2,Armatage,02/25/2019,00:00
2ND AVE S,44.961253,-93.27422800000001,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
GRAND ST NE,45.012127,-93.270147,3,Bottineau,Northeast,2,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.920326,-93.281674,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
2ND AVE S,44.961357,-93.27391800000001,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
SPRUCE PLACE,44.966608,-93.280775,7,Loring Park,Central,3,2,Armatage,02/25/2019,00:00
ALDRICH AVE N,44.985632,-93.289535,5,Sumner - Glenwood,Near North,1,2,Armatage,02/25/2019,00:00
OLIVER AVE S,44.961498999999996,-93.307186,7,Kenwood,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
VAN NEST AVE S,44.93071,-93.278887,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
CLINTON AVE S,44.962502,-93.271518,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.921146,-93.28187199999999,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
2ND AVE SE,44.988858,-93.251081,3,Marcy Holmes,University,4,2,Armatage,02/25/2019,00:00
GIRARD AVE N,45.006316999999996,-93.296807,5,Jordan,Near North,1,2,Armatage,02/25/2019,00:00
3RD ST N,45.007973,-93.283383,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
41ST ST E,44.929062,-93.252252,8,Bancroft,Powderhorn,6,2,Armatage,02/25/2019,00:00
11TH AVE S,44.916677,-93.259039,11,Northrop,Nokomis,6,2,Armatage,02/25/2019,00:00
14TH AVE S,44.939034,-93.25501899999999,9,Powderhorn Park,Powderhorn,6,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.921321,-93.28193399999999,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.921276,-93.281906,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
2ND AVE S,44.962053999999995,-93.274008,10,Whittier,Powderhorn,3,2,Armatage,02/25/2019,00:00
12TH AVE SE,44.990885,-93.234629,2,Como,University,4,2,Armatage,02/25/2019,00:00
ALDRICH AVE N,44.985623,-93.289949,5,Sumner - Glenwood,Near North,1,2,Armatage,02/25/2019,00:00
OLIVER AVE S,44.961273999999996,-93.307118,7,Kenwood,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
VAN NEST AVE S,44.930934,-93.278802,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
12TH AVE SE,44.990868,-93.2346,2,Como,University,4,2,Armatage,02/25/2019,00:00
GRAND ST NE,45.00575,-93.270135,3,Sheridan,Northeast,2,2,Armatage,02/25/2019,00:00
ALDRICH AVE N,44.985617,-93.290189,5,Sumner - Glenwood,Near North,1,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.965277,-93.291803,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
VAN NEST AVE S,44.931816999999995,-93.278953,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
11TH AVE S,44.916346000000004,-93.25891899999999,11,Northrop,Nokomis,6,2,Armatage,02/25/2019,00:00
XERXES AVE N,44.996491999999996,-93.318453,5,Willard - Hay,Near North,1,2,Armatage,02/25/2019,00:00
5TH AVE S,44.958711,-93.26867299999999,6,Phillips West,Phillips,3,2,Armatage,02/25/2019,00:00
3RD ST N,45.012325,-93.283332,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.965162,-93.291733,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
OLIVER AVE S,44.961084,-93.306985,7,Kenwood,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
HUMBOLDT AVE S,44.946179,-93.30090600000001,10,ECCO,Calhoun Isle,5,2,Armatage,02/25/2019,00:00
41ST ST E,44.928699,-93.251378,8,Bancroft,Powderhorn,6,2,Armatage,02/25/2019,00:00
2ND AVE SE,44.988039,-93.252123,3,Marcy Holmes,University,4,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.965226,-93.291646,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986087,-93.22066,2,Como,University,4,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.925332,-93.28192,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.92447,-93.282005,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
32ND ST E,44.945027,-93.277315,8,Lyndale,Powderhorn,5,2,Armatage,02/25/2019,00:00
ALDRICH AVE N,44.985663,-93.290387,5,Sumner - Glenwood,Near North,1,2,Armatage,02/25/2019,00:00
XERXES AVE N,44.994911,-93.31843,5,Willard - Hay,Near North,1,2,Armatage,02/25/2019,00:00
5TH AVE S,44.959022,-93.26836899999999,6,Phillips West,Phillips,3,2,Armatage,02/25/2019,00:00
QUEEN AVE N,44.998335,-93.301528,5,Willard - Hay,Near North,1,2,Armatage,02/25/2019,00:00
2ND AVE SE,44.987994,-93.252477,3,Marcy Holmes,University,4,2,Armatage,02/25/2019,00:00
3RD ST N,45.012371,-93.283353,5,Hawthorne,Near North,1,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.963406,-93.280748,7,Steven's Square - Loring Heights,Central,3,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986096,-93.221154,2,Como,University,4,2,Armatage,02/25/2019,00:00
41ST ST E,44.928724,-93.247848,8,Bancroft,Powderhorn,6,2,Armatage,02/25/2019,00:00
QUEEN AVE N,44.998335,-93.301528,5,Willard - Hay,Near North,1,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.963551,-93.280874,7,Steven's Square - Loring Heights,Central,3,2,Armatage,02/25/2019,00:00
12TH AVE SE,44.989553,-93.234611,2,Como,University,4,2,Armatage,02/25/2019,00:00
SPRUCE PLACE,44.966882,-93.281048,7,Loring Park,Central,3,2,Armatage,02/25/2019,00:00
GRAND ST NE,45.003276,-93.270142,3,Sheridan,Northeast,2,2,Armatage,02/25/2019,00:00
25TH AVE S,44.934928,-93.23595300000001,12,Standish,Powderhorn,6,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.964348,-93.291891,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
15TH AVE S,44.917746,-93.253725,11,Northrop,Nokomis,6,2,Armatage,02/25/2019,00:00
14TH AVE S,44.935404,-93.254949,9,Powderhorn Park,Powderhorn,6,2,Armatage,02/25/2019,00:00
PILLSBURY AVE,44.925452,-93.281888,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
ALDRICH AVE N,44.985727000000004,-93.290589,5,Sumner - Glenwood,Near North,1,2,Armatage,02/25/2019,00:00
BRYANT AVE S,44.964209999999994,-93.291795,7,Lowry Hill,Calhoun Isle,3,2,Armatage,02/25/2019,00:00
FAIRMOUNT ST SE,44.986095,-93.221299,2,Como,University,4,2,Armatage,02/25/2019,00:00
WENTWORTH AVE S,44.922782,-93.28059,8,King Field,Southwest,5,2,Armatage,02/25/2019,00:00
41ST ST E,44.928697,-93.247248,12,Standish,Powderhorn,6,2,Armatage,02/25/2019,00:00
