Community,Date,Day,Emergency,Latitude,Location,Longitude,Neighborhood,Time,Tow_Zone,Ward
Central,02/24/2019,1.0,Armatage,44.968032,"214 15th Street West,Minneapolis,MN",-93.28165600000001,Loring Park,22:59,3.0,7.0
Central,02/24/2019,1.0,Armatage,44.987221999999996,"500 2nd st n,Minneapolis,MN",-93.27335699999999,North Loop,23:01,1.0,3.0
Central,02/24/2019,1.0,Armatage,44.967895,"200 W 15TH ST,Minneapolis,MN",-93.281325,Loring Park,23:04,3.0,7.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900 lyndale ave n,Minneapolis,MN",-93.287685,Webber - Camden,23:05,1.0,4.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900-3998 lyndale ave n ,Minneapolis,MN",-93.287685,Webber - Camden,23:07,1.0,4.0
Southwest,02/24/2019,1.0,Armatage,44.92174,"4449 Upton ave,Minneapolis,MN",-93.314739,Linden Hills,23:08,5.0,13.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900 lyndale ave n,Minneapolis,MN",-93.287685,Webber - Camden,23:08,1.0,4.0
Camden,02/24/2019,1.0,Armatage,45.025757,"3901 Lyndale Ave N,Minneapolis,MN",-93.288074,Webber - Camden,23:10,1.0,4.0
Camden,02/24/2019,1.0,Armatage,45.027711,"4000-4098 lyndale ave n ,Minneapolis,MN",-93.28777600000001,Webber - Camden,23:15,1.0,4.0
Central,02/24/2019,1.0,Armatage,44.967605,"117 15th st ,Minneapolis,MN",-93.280236,Loring Park,23:15,3.0,7.0
Nokomis,02/24/2019,1.0,Armatage,44.906921000000004,"5300 Chicago Ave,Minneapolis,MN",-93.263019,Page,23:21,5.0,11.0
Northeast,02/24/2019,1.0,Armatage,45.000703,"135 13th ave ne,Minneapolis,MN",-93.268751,Sheridan,23:22,2.0,3.0
University,02/24/2019,1.0,Armatage,44.987578000000006,"1900 como ave se,Minneapolis,MN",-93.22536,Como,23:22,4.0,2.0
Northeast,02/24/2019,1.0,Armatage,45.000703,"135 13th ave ne,Minneapolis,MN",-93.268751,Sheridan,23:23,2.0,3.0
Northeast,02/24/2019,1.0,Armatage,44.999517,"76 13th ave ne,Minneapolis,MN",-93.270475,Sheridan,23:25,2.0,3.0
Northeast,02/24/2019,1.0,Armatage,45.00694,"1808 UNIVERISTY AVE NE,Minneapolis,MN",-93.263409,Bottineau,23:27,2.0,3.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.95157800000001,"2800 EMERSON AVE S,Minneapolis,MN",-93.294725,Lowry Hill East,23:28,3.0,10.0
Central,02/24/2019,1.0,Armatage,44.986174,"400 2ND ST N ,Minneapolis,MN",-93.272446,North Loop,23:31,3.0,3.0
Central,02/24/2019,1.0,Armatage,44.986174,"400 2ND ST N ,Minneapolis,MN",-93.272446,North Loop,23:34,3.0,3.0
Nokomis,02/24/2019,1.0,Armatage,44.906921000000004,"5300 Chicago ave s,Minneapolis,MN",-93.263019,Page,23:34,5.0,11.0
Nokomis,02/24/2019,1.0,Armatage,44.904984999999996,"5400 block of Chicago ave,Minneapolis,MN",-93.263136,Page,23:34,5.0,11.0
Central,02/24/2019,1.0,Armatage,44.967532,"19 15th Street West ,Minneapolis,MN",-93.278758,Loring Park,23:34,3.0,7.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.951238000000004,"2800 DUPONT AVE S,Minneapolis,MN",-93.293671,Lowry Hill East,23:35,3.0,10.0
Powderhorn,02/24/2019,1.0,Armatage,44.941224,"3400 Chicago ave s,Minneapolis,MN",-93.26294,Central,23:38,5.0,9.0
Nokomis,02/24/2019,1.0,Armatage,44.920524,"4528 3RD AVE S,Minneapolis,MN",-93.27311800000001,Regina,23:38,5.0,8.0
Nokomis,02/24/2019,1.0,Armatage,44.905758,"5341 CHICAGO AVE S,Minneapolis,MN",-93.262252,Hale,23:39,6.0,11.0
Calhoun Isle,02/24/2019,1.0,Armatage,44.950444,"2840 DUPONT AVE S,Minneapolis,MN",-93.2932,Lowry Hill East,23:41,3.0,10.0
Powderhorn,02/24/2019,1.0,Armatage,44.933375,"3824 CHICAGO AVE S,Minneapolis,MN",-93.26280200000001,Bryant,23:42,5.0,8.0
Central,02/24/2019,1.0,Armatage,44.96772,"101 15TH ST W,Minneapolis,MN",-93.280101,Loring Park,23:43,3.0,7.0
Central,02/24/2019,1.0,Armatage,44.968068,"10 W 15TH ST ,Minneapolis,MN",-93.278238,Loring Park,23:44,3.0,7.0
Central,02/24/2019,1.0,Armatage,44.967978,"20 W 15TH ST ,Minneapolis,MN",-93.278769,Loring Park,23:47,3.0,7.0
Camden,02/24/2019,1.0,Armatage,45.025889,"3900 LYNDALE AVE N ,Minneapolis,MN",-93.287685,Webber - Camden,23:47,1.0,4.0
University,02/24/2019,1.0,Armatage,44.99173,"702 CENTRAL AVE NE,Minneapolis,MN",-93.250978,Nicollet Island - East Bank,23:48,2.0,3.0
Camden,02/24/2019,1.0,Armatage,45.025934,"3902 LYNDALE AVE N ,Minneapolis,MN",-93.28774399999999,Webber - Camden,23:50,1.0,4.0
University,02/24/2019,1.0,Armatage,44.991702000000004,"513 CENTRAL AVE NE,Minneapolis,MN",-93.250915,Marcy Holmes,23:50,2.0,3.0
Northeast,02/24/2019,1.0,Armatage,45.009237,"2023 UNIVERSITY AVE NE,Minneapolis,MN",-93.262822,Holland,23:58,2.0,1.0
Northeast,02/25/2019,1.0,Armatage,45.00694,"1808 UNIVERSITY AVE NE,Minneapolis,MN",-93.263409,Bottineau,00:00,2.0,3.0
Calhoun Isle,02/25/2019,1.0,Armatage,44.951192,"2820 DUPONT AVE S,Minneapolis,MN",-93.29379899999999,Lowry Hill East,00:00,3.0,10.0
University,02/25/2019,1.0,Armatage,44.988046999999995,"1299 COMO AVE SE,Minneapolis,MN",-93.232646,Como,00:03,4.0,2.0
Camden,02/25/2019,1.0,Armatage,45.049456,"5200 BRYANT AVE N ,Minneapolis,MN",-93.291165,Lind - Bohanon,00:03,1.0,4.0
Camden,02/25/2019,1.0,Armatage,45.040422,"4700 BRYANT AVE N ,Minneapolis,MN",-93.291175,Lind - Bohanon,00:03,1.0,4.0
University,02/25/2019,1.0,Armatage,44.987689,"2142 COMO AVE SE,Minneapolis,MN",-93.221694,Como,00:03,4.0,2.0
Central,02/25/2019,1.0,Armatage,44.968303999999996,"10 15TH ST E,Minneapolis,MN",-93.27717,Loring Park,00:04,3.0,7.0
Northeast,02/25/2019,1.0,Armatage,45.00694,"1808 university ave ne,Minneapolis,MN",-93.263409,Bottineau,00:08,2.0,3.0
Northeast,02/25/2019,1.0,Armatage,45.00620900000001,"1731 university ave ne,Minneapolis,MN",-93.26283199999999,Holland,00:09,2.0,1.0
Powderhorn,02/25/2019,1.0,Armatage,44.937615,"3600 Bloomington Ave,Minneapolis,MN",-93.252725,Powderhorn Park,00:09,6.0,9.0
Central,02/25/2019,1.0,Armatage,44.968303999999996,"10 15TH ST E,Minneapolis,MN",-93.27717,Loring Park,00:11,3.0,7.0
University,02/25/2019,1.0,Armatage,44.988412,"45 UNIVERSITY AVE NE,Minneapolis,MN",-93.25668,Nicollet Island - East Bank,00:11,2.0,3.0
University,02/25/2019,1.0,Armatage,44.990664,"1095 18th Ave SE,Minneapolis,MN",-93.22725200000001,Como,00:13,4.0,1.0
Central,02/25/2019,1.0,Armatage,44.968301000000004,"500 East 15th Street,Minneapolis,MN",-93.268698,Elliot Park,00:15,3.0,7.0
Near North,02/25/2019,1.0,Armatage,45.003058,"2300 2nd st n,Minneapolis,MN",-93.27931600000001,Hawthorne,00:18,1.0,5.0
Central,02/25/2019,1.0,Armatage,44.988062,"600 2nd st n,Minneapolis,MN",-93.274558,North Loop,00:19,1.0,3.0
Northeast,02/25/2019,1.0,Armatage,45.024591,"3117 CENTRAL AVE NE,Minneapolis,MN",-93.246895,Audubon Park,00:19,2.0,1.0
Central,02/25/2019,1.0,Armatage,44.968301000000004,"500 15th Street East,Minneapolis,MN",-93.268698,Elliot Park,00:21,3.0,7.0
Near North,02/25/2019,1.0,Armatage,45.00496,"2500 2ND ST N ,Minneapolis,MN",-93.27964300000001,Hawthorne,00:21,1.0,5.0
Central,02/25/2019,1.0,Armatage,44.97071,"1100 7th st no,Minneapolis,MN",-93.256822,Elliot Park,00:22,3.0,6.0
Central,02/25/2019,1.0,Armatage,44.986174,"400 2nd st n,Minneapolis,MN",-93.272446,North Loop,00:24,3.0,3.0
Powderhorn,02/25/2019,1.0,Armatage,44.94401,"3220 Bloomington Ave S,Minneapolis,MN",-93.25274499999999,Powderhorn Park,00:30,6.0,9.0
Powderhorn,02/25/2019,1.0,Armatage,44.938326,"3541 Bloomington Ave S,Minneapolis,MN",-93.252096,Powderhorn Park,00:33,6.0,9.0
Central,02/25/2019,1.0,Armatage,44.968301000000004,"500 e 15th,Minneapolis,MN",-93.268698,Elliot Park,00:34,3.0,7.0
Near North,02/25/2019,1.0,Armatage,45.00627,"2600 2nd St N,Minneapolis,MN",-93.27951,Hawthorne,00:34,1.0,5.0
Powderhorn,02/25/2019,1.0,Armatage,44.948333,"3000 4TH AVE S,Minneapolis,MN",-93.270289,Central,00:35,5.0,9.0
Central,02/25/2019,1.0,Armatage,44.968302,"516 E 15TH ST,Minneapolis,MN",-93.26843199999999,Elliot Park,00:35,3.0,7.0
Nokomis,02/25/2019,1.0,Armatage,44.925005,"4300 BLOOMINGTON AVE S,Minneapolis,MN",-93.252725,Northrop,00:35,6.0,11.0
Central,02/25/2019,1.0,Armatage,44.967755,"361 W 15TH ST ,Minneapolis,MN",-93.284042,Loring Park,00:36,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968302,"510 E 15TH ST,Minneapolis,MN",-93.268487,Elliot Park,00:38,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968057,"600 EAST 15TH STREET,Minneapolis,MN",-93.267635,Elliot Park,00:39,3.0,6.0
University,02/25/2019,1.0,Armatage,44.984315,"122 3rd Ave.SE,Minneapolis,MN",-93.25289699999999,Marcy Holmes,00:42,4.0,3.0
Central,02/25/2019,1.0,Armatage,44.968057,"600 E 15TH ST ,Minneapolis,MN",-93.267635,Elliot Park,00:45,3.0,6.0
Near North,02/25/2019,1.0,Armatage,45.00393,"2400 block 2nd st n ,Minneapolis,MN",-93.279416,Hawthorne,00:48,1.0,5.0
Central,02/25/2019,1.0,Armatage,44.969819,"93 grant st,Minneapolis,MN",-93.27770100000001,Loring Park,00:50,3.0,7.0
Near North,02/25/2019,1.0,Armatage,45.00393,"2400 block 2nd st n ,Minneapolis,MN",-93.279416,Hawthorne,00:50,1.0,5.0
Nokomis,02/25/2019,1.0,Armatage,44.925005,"4300 BLOOMINGTON AVE S,Minneapolis,MN",-93.252725,Northrop,00:50,6.0,11.0
Camden,02/25/2019,1.0,Armatage,45.047684000000004,"5100 BRYANT AVE N ,Minneapolis,MN",-93.291219,Lind - Bohanon,00:52,1.0,4.0
University,02/25/2019,1.0,Armatage,44.98447700000001,"500 UNIVERSITY AVE SE,Minneapolis,MN",-93.249027,Marcy Holmes,00:52,4.0,3.0
Nokomis,02/25/2019,1.0,Armatage,44.926606,"4200 BLOOMINGTON AVE S,Minneapolis,MN",-93.252843,Northrop,00:53,6.0,8.0
University,02/25/2019,1.0,Armatage,44.985263,"13TH & COMO AVE SE,Minneapolis,MN",-93.23304399999999,Marcy Holmes,00:54,4.0,3.0
Camden,02/25/2019,1.0,Armatage,45.014928999999995,"3300 2nd st n,Minneapolis,MN",-93.28085300000001,McKinley,01:03,1.0,4.0
Camden,02/25/2019,1.0,Armatage,45.014928999999995,"3300 2nd st n,Minneapolis,MN",-93.28085300000001,McKinley,01:05,1.0,4.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2nd st ne,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:05,2.0,3.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2nd st ne,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:07,2.0,3.0
University,02/25/2019,1.0,Armatage,44.981962,"601 se main st,Minneapolis,MN",-93.248136,Marcy Holmes,01:07,4.0,3.0
Nokomis,02/25/2019,1.0,Armatage,44.923145,"4400 Bloomington ave,Minneapolis,MN",-93.252764,Northrop,01:08,6.0,11.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2nd st ne,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:08,2.0,3.0
Powderhorn,02/25/2019,1.0,Armatage,44.948333,"3000 4th ave s,Minneapolis,MN",-93.270289,Central,01:09,5.0,9.0
Central,02/25/2019,1.0,Armatage,44.968692,"1408 LASALLE AVE S,Minneapolis,MN",-93.27933399999999,Loring Park,01:12,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968092,"1421 LaSalle Avenue s,Minneapolis,MN",-93.27902399999999,Loring Park,01:12,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968323999999996,"620 E 15TH ST,Minneapolis,MN",-93.266494,Elliot Park,01:12,3.0,7.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2nd st ne,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:12,2.0,3.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2nd st ne,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:14,2.0,3.0
Central,02/25/2019,1.0,Armatage,44.967884999999995,"623 e 15th,Minneapolis,MN",-93.266412,Elliot Park,01:15,3.0,6.0
Camden,02/25/2019,1.0,Armatage,45.014928999999995,"3300 2ND ST N ,Minneapolis,MN",-93.28085300000001,McKinley,01:22,1.0,4.0
Calhoun Isle,02/25/2019,1.0,Armatage,44.957183,"2500 blk hennp ave,Minneapolis,MN",-93.295935,East Isles,01:23,3.0,7.0
Near North,02/25/2019,1.0,Armatage,44.991753,"2600 PLYMOUTH AVE N ,Minneapolis,MN",-93.31353,Willard - Hay,01:23,1.0,5.0
Southwest,02/25/2019,1.0,Armatage,44.893754,"6000 Nicollet ave s,Minneapolis,MN",-93.27810600000001,Windom,01:23,5.0,11.0
Near North,02/25/2019,1.0,Armatage,44.991753,"2600 plymouth ave n ,Minneapolis,MN",-93.31353,Willard - Hay,01:26,1.0,5.0
Calhoun Isle,02/25/2019,1.0,Armatage,44.958967,"2400 HENNEPIN AVE ,Minneapolis,MN",-93.29468100000001,East Isles,01:27,3.0,7.0
University,02/25/2019,1.0,Armatage,44.985253,"401 UNIVERSITY AVE SE,Minneapolis,MN",-93.25032399999999,Marcy Holmes,01:29,4.0,3.0
Central,02/25/2019,1.0,Armatage,44.968692,"1408 LASALLE AVE ,Minneapolis,MN",-93.27933399999999,Loring Park,01:32,3.0,7.0
Powderhorn,02/25/2019,1.0,Armatage,44.939035,"3515 BLOOMINGTON AVE S,Minneapolis,MN",-93.252112,Powderhorn Park,01:32,6.0,9.0
University,02/25/2019,1.0,Armatage,44.98447700000001,"500 UNIVERSITY AVE SE,Minneapolis,MN",-93.249027,Marcy Holmes,01:32,4.0,3.0
Powderhorn,02/25/2019,1.0,Armatage,44.948333,"3000 4TH AVE S,Minneapolis,MN",-93.270289,Central,01:34,5.0,9.0
Camden,02/25/2019,1.0,Armatage,45.04770300000001,"5101 BRYANT AVE N ,Minneapolis,MN",-93.291815,Lind - Bohanon,01:36,1.0,4.0
University,02/25/2019,1.0,Armatage,44.984046,"601 UNIVERSITY AVE SE,Minneapolis,MN",-93.247288,Marcy Holmes,01:36,4.0,3.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2ND ST NE,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:38,2.0,3.0
Northeast,02/25/2019,1.0,Armatage,44.995467,"705 2ND ST NE,Minneapolis,MN",-93.26293000000001,St. Anthony West,01:40,2.0,3.0
Central,02/25/2019,1.0,Armatage,44.968036,"1423 LASALLE AVE ,Minneapolis,MN",-93.27902399999999,Loring Park,01:42,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968242,"1450 LASALLE AVE S,Minneapolis,MN",-93.279335,Loring Park,01:46,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.967331,"1505 LASALLE AVE,Minneapolis,MN",-93.27898499999999,Loring Park,01:49,3.0,7.0
Powderhorn,02/25/2019,1.0,Armatage,44.938216,"3545 BLOOMINGTON AVE S,Minneapolis,MN",-93.252096,Powderhorn Park,01:50,6.0,9.0
Longfellow,02/25/2019,1.0,Armatage,44.944599,"3200 MINNEHAHA AVE S,Minneapolis,MN",-93.23192900000001,Longfellow,01:51,6.0,9.0
University,02/25/2019,1.0,Armatage,44.984905,"600 4TH ST SE,Minneapolis,MN",-93.246872,Marcy Holmes,01:53,4.0,3.0
Camden,02/25/2019,1.0,Armatage,45.014928999999995,"3300 2ND ST N ,Minneapolis,MN",-93.28085300000001,McKinley,01:56,1.0,4.0
Powderhorn,02/25/2019,1.0,Armatage,44.946507000000004,"3100 4TH AVE S,Minneapolis,MN",-93.270646,Central,01:58,5.0,9.0
Longfellow,02/25/2019,1.0,Armatage,44.944599,"3200 MINNEHAHA AVE S,Minneapolis,MN",-93.23192900000001,Longfellow,02:03,6.0,9.0
Northeast,02/25/2019,1.0,Armatage,45.008921,"2009 2ND ST NE,Minneapolis,MN",-93.26592099999999,Bottineau,02:05,2.0,3.0
Longfellow,02/25/2019,1.0,Armatage,44.939407,"3500 MINNEHAHA AVE S,Minneapolis,MN",-93.228061,Howe,02:05,6.0,12.0
Central,02/25/2019,1.0,Armatage,44.967862,"621 E 15TH ST ,Minneapolis,MN",-93.266593,Elliot Park,02:05,3.0,6.0
Central,02/25/2019,1.0,Armatage,44.968563,"1420 LASALLE AVE S,Minneapolis,MN",-93.279335,Loring Park,02:06,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.966489,"1554 LASALLE AVE,Minneapolis,MN",-93.27963299999999,Loring Park,02:06,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968563,"1420 LASALLE AVE ,Minneapolis,MN",-93.279335,Loring Park,02:07,3.0,7.0
Camden,02/25/2019,1.0,Armatage,45.0167,"3400 2ND ST N ,Minneapolis,MN",-93.281018,McKinley,02:08,1.0,4.0
Northeast,02/25/2019,1.0,Armatage,44.999946,"1205 2ND ST NE,Minneapolis,MN",-93.265895,Sheridan,02:08,2.0,3.0
Camden,02/25/2019,1.0,Armatage,45.047684000000004,"5100 BRYANT AVE N ,Minneapolis,MN",-93.291219,Lind - Bohanon,02:10,1.0,4.0
University,02/25/2019,1.0,Armatage,44.98304,"700 UNIVERSITY AVE SE,Minneapolis,MN",-93.246128,Marcy Holmes,02:13,4.0,3.0
University,02/25/2019,1.0,Armatage,44.987596999999994,"20 2ND ST NE,Minneapolis,MN",-93.258916,Nicollet Island - East Bank,02:16,2.0,3.0
Longfellow,02/25/2019,1.0,Armatage,44.941144,"3400 MINNEHAHA AVE S,Minneapolis,MN",-93.229407,Howe,02:17,6.0,12.0
University,02/25/2019,1.0,Armatage,44.986224,"201 UUNIVERSITY AVE SE,Minneapolis,MN",-93.253434,Marcy Holmes,02:20,4.0,3.0
Northeast,02/25/2019,1.0,Armatage,44.989962,"203 2ND ST NE,Minneapolis,MN",-93.259147,St. Anthony West,02:21,2.0,3.0
Camden,02/25/2019,1.0,Armatage,45.022425,"3700 PENN AVE N ,Minneapolis,MN",-93.307887,Folwell,02:23,1.0,4.0
Central,02/25/2019,1.0,Armatage,44.966848999999996,"1524 LASALLE AVE ,Minneapolis,MN",-93.279706,Loring Park,02:25,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.967407,"1502 LASALLE AVE,Minneapolis,MN",-93.279635,Loring Park,02:25,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968325,"640 E 15TH ST ,Minneapolis,MN",-93.26609,Elliot Park,02:27,3.0,7.0
Longfellow,02/25/2019,1.0,Armatage,44.948122999999995,"3000 MINNEHAHA AVE S,Minneapolis,MN",-93.234874,Longfellow,02:29,6.0,9.0
Near North,02/25/2019,1.0,Armatage,44.989251,"1101 VAN WHITE MEMORIAL ,Minneapolis,MN",-93.29346899999999,Near - North,02:30,1.0,5.0
Central,02/25/2019,1.0,Armatage,44.968057,"600 E 15TH ST ,Minneapolis,MN",-93.267635,Elliot Park,02:30,3.0,6.0
Central,02/25/2019,1.0,Armatage,44.964608,"1827 LASALLE AVE ,Minneapolis,MN",-93.279055,Steven's Square - Loring Heights,02:31,3.0,7.0
University,02/25/2019,1.0,Armatage,44.984046,"601UNIVERSITY AVE SE,Minneapolis,MN",-93.247288,Marcy Holmes,02:31,4.0,3.0
Southwest,02/25/2019,1.0,Armatage,44.893754,"6000 NICOLLET AVE S,Minneapolis,MN",-93.27810600000001,Windom,02:33,5.0,11.0
University,02/25/2019,1.0,Armatage,44.984046,"601 UNIVERSITY AVE SE,Minneapolis,MN",-93.247288,Marcy Holmes,02:35,4.0,3.0
Central,02/25/2019,1.0,Armatage,44.968563,"1420 LASALLE AVE S,Minneapolis,MN",-93.279335,Loring Park,02:41,3.0,7.0
Central,02/25/2019,1.0,Armatage,44.968036,"1423 LASALLE AVE,Minneapolis,MN",-93.27902399999999,Loring Park,02:50,3.0,7.0
