Location,Latitude,Longitude,Ward,Community,Neighborhood,Tow_Zone,Day,Date,Time,Emergency
3120 6TH ST N,45.012361,-93.28638199999999,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2504 6TH ST N,45.004994,-93.286447,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2122 6TH ST N,45.000952000000005,-93.286454,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2116 4TH ST N,45.000788,-93.28491700000001,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2214 4TH ST N,45.002044,-93.284925,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2224 4TH ST N,45.002303000000005,-93.284926,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2226 4TH ST N,45.002305,-93.284926,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2414 4TH ST N,45.004234999999994,-93.284909,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2516 4TH ST N,45.005478000000004,-93.28491,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2706 4TH ST N,45.007616,-93.284898,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2900 4TH ST N,45.00975,-93.284883,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2914 4TH ST N,45.010015,-93.284875,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3428 4TH ST N,45.017721,-93.284936,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3526 4TH ST N,45.01941,-93.28494599999999,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3626 4TH ST N,45.021114000000004,-93.284953,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3510 3RD ST N,45.018857000000004,-93.28345,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3508 3RD ST N,45.018828000000006,-93.28345,4,Camden,McKinley,1,2,01/29/2019,00:00,Quincy
3128 3RD ST N,45.01283,-93.28338000000001,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3122 3RD ST N,45.012652,-93.283331,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3118 3RD ST N,45.012495,-93.283342,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3112 3RD ST N,45.012432000000004,-93.283367,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3108 3RD ST N,45.012249,-93.283348,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
3106 3RD ST N,45.012103,-93.283332,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2420 3RD ST N,45.004556,-93.283336,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
2410 3RD ST N,45.004028000000005,-93.283336,5,Near North,Hawthorne,1,2,01/29/2019,00:00,Quincy
136 6TH AVE NE,44.993546,-93.263159,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
254 6TH ST NE,44.992376,-93.254088,3,Northeast,St. Anthony East,2,2,01/29/2019,00:00,Quincy
208 4TH AVE NE,44.991913000000004,-93.260458,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
220 4TH AVE NE,44.992057,-93.26015,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
302 4TH AVE NE,44.992468,-93.25899,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
304 4TH AVE NE,44.9925,-93.258873,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
316 4TH AVE NE,44.992546999999995,-93.258687,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
306 4TH AVE NE,44.992663,-93.25832,3,Northeast,St. Anthony West,2,2,01/29/2019,00:00,Quincy
2214 CLINTON AVE S,44.960433,-93.271565,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2206 CLINTON AVE S,44.960537,-93.271632,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2204 CLINTON AVE S,44.960784000000004,-93.27168,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2020 CLINTON AVE S,44.961902,-93.271952,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2014 CLINTON AVE S,44.962206,-93.27160400000001,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2010 CLINTON AVE S,44.962298,-93.271641,10,Powderhorn,Whittier,3,2,01/29/2019,00:00,Quincy
2006 CLINTON AVE S,44.962804,-93.271659,6,Central,Steven's Square - Loring Heights,3,2,01/29/2019,00:00,Quincy
3944 13TH AVE S,44.931014000000005,-93.256183,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
4724 14TH AVE S,44.91707,-93.254988,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4336 14TH AVE S,44.923994,-93.254998,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4016 14TH AVE S,44.929953999999995,-93.25495500000001,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
3708 14TH AVE S,44.935615000000006,-93.254942,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3706 14TH AVE S,44.935784000000005,-93.254998,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3526 14TH AVE S,44.938621999999995,-93.25497800000001,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3522 14TH AVE S,44.938679,-93.255014,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
624 NEWTON AVE N,44.985228,-93.305758,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1020 KNOX AVE N,44.988103,-93.301912,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1030 KNOX AVE N,44.988483,-93.301941,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1232 LOGAN AVE N,44.990829,-93.30319300000001,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1234 LOGAN AVE N,44.990485,-93.30319300000001,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1010 LOGAN AVE N,44.988188,-93.303207,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1008 LOGAN AVE N,44.988104,-93.303211,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1720 LOGAN AVE N,44.985056,-93.303227,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
928 MORGAN AVE N,44.987858,-93.304423,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1238 MORGAN AVE N,44.990990000000004,-93.304405,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
1324 MORGAN AVE N,44.992342,-93.304427,5,Near North,Willard - Hay,1,2,01/29/2019,00:00,Quincy
1416 MORGAN AVE N,44.993574,-93.304434,5,Near North,Willard - Hay,1,2,01/29/2019,00:00,Quincy
1418 MORGAN AVE N,44.993814,-93.304449,5,Near North,Willard - Hay,1,2,01/29/2019,00:00,Quincy
1904 LOGAN AVE N,44.999039,-93.30317600000001,5,Near North,Willard - Hay,1,2,01/29/2019,00:00,Quincy
1726 JAMES AVE N,44.997137,-93.30064899999999,5,Near North,Near - North,1,2,01/29/2019,00:00,Quincy
4152 PLEASANT AVE,44.927157,-93.283112,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
4150 PLEASANT AVE,44.927396,-93.28299200000001,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
4300 PLEASANT AVE,44.924834999999995,-93.283224,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
3204 DUPONT AVE S,44.944456,-93.293144,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3244 DUPONT AVE S,44.943498999999996,-93.29332,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3242 DUPONT AVE S,44.943515000000005,-93.293308,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3232 DUPONT AVE S,44.943748,-93.293221,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3234 DUPONT AVE S,44.943502,-93.293207,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3328 DUPONT AVE S,44.941995,-93.293279,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3400 DUPONT AVE S,44.941171000000004,-93.29326999999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3424 DUPONT AVE S,44.940443,-93.293429,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3420 DUPONT AVE S,44.940584,-93.293165,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3812 GARFIELD AVE S,44.933526,-93.28700400000001,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
3852 GARFIELD AVE S,44.932454,-93.287017,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
4502 GARFIELD AVE S,44.921246999999994,-93.287061,8,Southwest,King Field,5,2,01/29/2019,00:00,Quincy
3616 GIRARD AVE S,44.940814,-93.297124,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3412 GIRARD AVE S,44.940909000000005,-93.29714399999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3410 GIRARD AVE S,44.94093,-93.297157,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3400 GIRARD AVE S,44.941233000000004,-93.29711999999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3340 GIRARD AVE S,44.941779,-93.297133,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3308 GIRARD AVE S,44.942643,-93.297092,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3304 GIRARD AVE S,44.942611,-93.297119,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3300 GIRARD AVE S,44.942834000000005,-93.297108,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3242 GIRARD AVE S,44.943497,-93.29709100000001,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3228 GIRARD AVE S,44.943870000000004,-93.297099,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3226 GIRARD AVE S,44.943985,-93.29705899999999,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3116 GIRARD AVE S,44.945956,-93.297071,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
26 32ND ST W,44.944595,-93.279439,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
24 32ND ST W,44.944644,-93.27945799999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
22 32ND ST W,44.944532,-93.279484,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
20 32ND ST W,44.9446,-93.27924200000001,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
18 32ND ST E,44.945008,-93.276749,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
12 32ND ST E,44.94494,-93.276987,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
10 32ND ST E,44.944826,-93.277102,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
4 32ND ST E,44.944926,-93.277343,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
102 32ND ST E,44.945082,-93.276455,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
104 32ND ST E,44.945084,-93.27640699999999,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
106 32ND ST E,44.945094,-93.276324,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
128 32ND ST E,44.944955,-93.276193,8,Powderhorn,Lyndale,5,2,01/29/2019,00:00,Quincy
302 32ND AVE S,44.945011,-93.272623,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
212 32ND AVE S,44.944990000000004,-93.273329,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
208 32ND AVE S,44.945021999999994,-93.27371099999999,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
206 32ND AVE S,44.945032,-93.273797,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
204 32ND AVE S,44.945015999999995,-93.273833,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3666 33RD AVE S,44.935594,-93.224021,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3348 33RD AVE S,44.941734000000004,-93.22434200000001,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
3120 32ND AVE S,44.945827,-93.225713,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
3500 32ND AVE S,44.939503,-93.22575400000001,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3500 32ND AVE S,44.93958,-93.226342,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3536 32ND AVE S,44.938494,-93.22574200000001,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3552 32ND AVE S,44.937985,-93.226036,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3224 34TH AVE S,44.944126000000004,-93.223026,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
3224 34TH AVE S,44.944259,-93.22308100000001,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
3628 34TH AVE S,44.936963,-93.222948,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3416 35TH AVE S,44.94086,-93.221636,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
4630 18TH AVE S,44.918508,-93.24858,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
3050 18TH AVE S,44.946794,-93.248676,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3204 17TH AVE S,44.944390000000006,-93.249688,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3346 17TH AVE S,44.941565000000004,-93.250146,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3554 17TH AVE S,44.93789,-93.249934,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3636 17TH AVE S,44.936732,-93.249835,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
4028 17TH AVE S,44.929519,-93.249924,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
4148 17TH AVE S,44.927532,-93.24995200000001,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
4324 17TH AVE S,44.924205,-93.24963000000001,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4402 17TH AVE S,44.923316,-93.250084,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4414 17TH AVE S,44.92283,-93.249849,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4604 16TH AVE S,44.919463,-93.251053,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4448 16TH AVE S,44.921966,-93.251122,11,Nokomis,Northrop,6,2,01/29/2019,00:00,Quincy
4142 16TH AVE S,44.927156,-93.25129100000001,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
4134 16TH AVE S,44.927056,-93.251137,8,Powderhorn,Bancroft,6,2,01/29/2019,00:00,Quincy
3006 15TH AVE S,44.948232,-93.253766,9,Powderhorn,Powderhorn Park,6,2,01/29/2019,00:00,Quincy
3514 DUPONT AVE S,44.939141,-93.293364,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3502 DUPONT AVE S,44.939283,-93.293397,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3544 DUPONT AVE S,44.938119,-93.29337,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3540 DUPONT AVE S,44.938238,-93.293432,10,Calhoun Isle,South Uptown,5,2,01/29/2019,00:00,Quincy
3108 HOLMES AVE,44.946401,-93.299545,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3116 HOLMES AVE,44.946019,-93.29956700000001,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3112 HOLMES AVE,44.946014,-93.299554,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3118 HOLMES AVE,44.945689,-93.29956,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3120 HOLMES AVE,44.945648999999996,-93.299566,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3132 HOLMES AVE,44.945367,-93.299552,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3140 HOLMES AVE,44.945215999999995,-93.299541,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3148 HOLMES AVE,44.944944,-93.299665,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3208 HOLMES AVE,44.944282,-93.299616,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3244 HOLMES AVE,44.943329999999996,-93.299587,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3432 HOLMES AVE,44.940197,-93.299677,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3506 HOLMES AVE,44.939089,-93.29961999999999,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3536 HOLMES AVE,44.938324,-93.299687,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
2554 HOLMES AVE,44.937831,-93.299624,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
3504 HUMBOLDT AVE S,44.939458,-93.300955,10,Calhoun Isle,ECCO,5,2,01/29/2019,00:00,Quincy
5438 GARFIELD AVE S,44.903874,-93.287056,11,Southwest,Windom,5,2,01/29/2019,00:00,Quincy
4906 COLUMBUS AVE S,44.914102,-93.263973,8,Nokomis,Field,5,2,01/29/2019,00:00,Quincy
4348 COLUMBUS AVE S,44.923701,-93.263824,8,Nokomis,Regina,5,2,01/29/2019,00:00,Quincy
3748 COLUMBUS AVE S,44.934445000000004,-93.26378299999999,8,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3740 COLUMBUS AVE S,44.934696,-93.2638,8,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3540 COLUMBUS AVE S,44.938373,-93.263836,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3304 COLUMBUS AVE S,44.943078,-93.263919,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3046 COLUMBUS AVE S,44.946861,-93.263951,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
3044 COLUMBUS AVE S,44.947205,-93.263966,9,Powderhorn,Central,5,2,01/29/2019,00:00,Quincy
4120 37TH AVE S,44.928209,-93.21933,12,Longfellow,Hiawatha,6,2,01/29/2019,00:00,Quincy
4030 37TH AVE S,44.929759999999995,-93.219131,12,Longfellow,Hiawatha,6,2,01/29/2019,00:00,Quincy
3734 37TH AVE S,44.934447999999996,-93.219507,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3010 37TH AVE S,44.947856,-93.218907,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
2913 37TH AVE S,44.949571,-93.219187,2,Longfellow,Longfellow,4,2,01/29/2019,00:00,Quincy
3410 38TH AVE S,44.941459,-93.217902,2,Longfellow,Longfellow,6,2,01/29/2019,00:00,Quincy
4139 38TH AVE S,44.927724,-93.21794399999999,12,Longfellow,Hiawatha,6,2,01/29/2019,00:00,Quincy
3836 39TH AVE S,44.933177,-93.21670300000001,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3800 39TH AVE S,44.934134,-93.217013,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
3132 40TH AVE S,44.945688,-93.215362,2,Longfellow,Cooper,6,2,01/29/2019,00:00,Quincy
3512 40TH AVE S,44.939366,-93.215369,12,Longfellow,Howe,6,2,01/29/2019,00:00,Quincy
4232 24TH AVE S,44.925796999999996,-93.237238,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3950 24TH AVE S,44.930640999999994,-93.237338,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3708 24TH AVE S,44.935346,-93.23722,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3554 24TH AVE S,44.937983,-93.237377,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3504 24TH AVE S,44.939643,-93.237348,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3800 21ST AVE S,44.934102,-93.242313,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3646 21ST AVE S,44.936111,-93.242263,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3438 21ST AVE S,44.940209,-93.242304,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3328 21ST AVE S,44.942095,-93.242453,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3208 20TH AVE S,44.944324,-93.243589,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3636 20TH AVE S,44.936762,-93.243643,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3748 20TH AVE S,44.934383000000004,-93.24355,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3838 20TH AVE S,44.932879,-93.24375,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3600 19TH AVE S,44.937601,-93.244822,12,Powderhorn,Standish,6,2,01/29/2019,00:00,Quincy
3522 19TH AVE S,44.938515,-93.2449,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
3522 19TH AVE S,44.938551000000004,-93.24489100000001,9,Powderhorn,Corcoran,6,2,01/29/2019,00:00,Quincy
