Location,Latitude,Longitude,Ward,Neighborhood,Community,Day,Tow_Zone,Date,Time,Emergency
"1625 6th st ave,Minneapolis,MN",45.00493,-93.25888,3,Sheridan,Northeast,3,2,01/13/2017,10:07,Jane
"1615 6th st ne,Minneapolis,MN",45.004652,-93.258593,3,Sheridan,Northeast,3,2,01/13/2017,10:17,Jane
"1411 5th st ne,Minneapolis,MN",45.002277,-93.259966,3,Sheridan,Northeast,3,2,01/13/2017,10:19,Jane
"221 12th ave ne,Minneapolis,MN",45.00005,-93.26513299999999,3,Sheridan,Northeast,3,2,01/13/2017,10:57,Jane
"345 15th ave ,Minneapolis,MN",45.003233,-93.26240899999999,3,Sheridan,Northeast,3,2,01/13/2017,11:45,Jane
"1417 6th st e,Minneapolis,MN",45.002484,-93.258499,3,Sheridan,Northeast,3,2,01/13/2017,11:45,Jane
"315 15th ave ne,Minneapolis,MN",45.003059,-93.263858,3,Sheridan,Northeast,3,2,01/13/2017,11:46,Jane
"161 15th ave ne,Minneapolis,MN",45.003288,-93.26695,3,Sheridan,Northeast,3,2,01/13/2017,11:53,Jane
"1421 5th st ne,Minneapolis,MN",45.002604999999996,-93.260009,3,Sheridan,Northeast,3,2,01/13/2017,12:41,Jane
"800 3rd ave ne,Minneapolis,MN",44.993601,-93.25159000000001,3,St. Anthony East,Northeast,2,2,01/12/2017,09:17,Jane
"804 3rd ave ne,Minneapolis,MN",44.993601,-93.25159000000001,3,St. Anthony East,Northeast,2,2,01/12/2017,09:18,Jane
"252 6th st ne,Minneapolis,MN",44.992153,-93.254099,3,St. Anthony East,Northeast,2,2,01/12/2017,09:38,Jane
"254 6th st ne,Minneapolis,MN",44.992021,-93.254535,3,St. Anthony East,Northeast,2,2,01/12/2017,10:02,Jane
"808 Summer st ne,Minneapolis,MN",44.996924,-93.25080600000001,3,St. Anthony East,Northeast,2,2,01/12/2017,10:17,Jane
"702 Summer St ne,Minneapolis,MN",44.996918,-93.25241,3,St. Anthony East,Northeast,2,2,01/12/2017,10:19,Jane
"688 Summer st ne,Minneapolis,MN",44.996751,-93.253155,3,St. Anthony East,Northeast,2,2,01/12/2017,10:22,Jane
"240 6th st ne,Minneapolis,MN",44.99196,-93.254075,3,St. Anthony East,Northeast,2,2,01/12/2017,11:15,Jane
"250 5th st ne,Minneapolis,MN",44.99181,-93.25546700000001,3,St. Anthony East,Northeast,2,2,01/12/2017,11:54,Jane
"248 5th st ne,Minneapolis,MN",44.991801,-93.255461,3,St. Anthony East,Northeast,2,2,01/12/2017,12:21,Jane
"724 Adams st ne,Minneapolis,MN",44.997690000000006,-93.256514,3,St. Anthony East,Northeast,2,2,01/12/2017,12:38,Jane
"649 Summer st ne,Minneapolis,MN",44.997062,-93.255707,3,St. Anthony East,Northeast,3,2,01/13/2017,08:50,Jane
"691 Summer st ne,Minneapolis,MN",44.996891,-93.25301400000001,3,St. Anthony East,Northeast,3,2,01/13/2017,08:58,Jane
"705 Summer st ne,Minneapolis,MN",44.996891999999995,-93.25238399999999,3,St. Anthony East,Northeast,3,2,01/13/2017,09:15,Jane
"843 Summer st ne,Minneapolis,MN",44.997079,-93.248975,3,St. Anthony East,Northeast,3,2,01/13/2017,09:24,Jane
"215 5th st ne,Minneapolis,MN",44.991583,-93.25484399999999,3,St. Anthony East,Northeast,3,2,01/13/2017,10:29,Jane
"627 Quincy st ne,Minneapolis,MN",44.995886999999996,-93.25088000000001,3,St. Anthony East,Northeast,3,2,01/13/2017,11:08,Jane
"625 Quincy st ne,Minneapolis,MN",44.995846,-93.251143,3,St. Anthony East,Northeast,3,2,01/13/2017,11:19,Jane
"841 Spring st ne,Minneapolis,MN",44.995236,-93.248885,3,St. Anthony East,Northeast,3,2,01/13/2017,11:20,Jane
"811 Spring st ne,Minneapolis,MN",44.995105,-93.250399,3,St. Anthony East,Northeast,3,2,01/13/2017,11:22,Jane
"613 Jackson st ne,Minneapolis,MN",44.995557,-93.249578,3,St. Anthony East,Northeast,3,2,01/13/2017,11:26,Jane
"635 washington st ne,Minneapolis,MN",44.996107,-93.257232,3,St. Anthony East,Northeast,3,2,01/13/2017,11:41,Jane
"813 Spring st ne,Minneapolis,MN",44.995105,-93.250312,3,St. Anthony East,Northeast,3,2,01/13/2017,11:50,Jane
"614 2nd st n,Minneapolis,MN",44.99476,-93.263601,3,St. Anthony West,Northeast,1,2,01/11/2017,22:12,Jane
"714 5th st n,Minneapolis,MN",44.997116999999996,-93.25936899999999,3,St. Anthony West,Northeast,2,2,01/12/2017,00:58,Jane
"500 MAIN ST SE,Minneapolis,MN",44.992641,-93.263547,3,St. Anthony West,Northeast,2,2,01/12/2017,01:06,Jane
"200 2nd st ne,Minneapolis,MN",44.989684999999994,-93.259628,3,St. Anthony West,Northeast,2,2,01/12/2017,01:28,Jane
"600 MAIN ST NE,Minneapolis,MN",44.993453,-93.264013,3,St. Anthony West,Northeast,2,2,01/12/2017,01:34,Jane
"102 3rd AVE ne,Minneapolis,MN",44.989897,-93.260707,3,St. Anthony West,Northeast,2,2,01/12/2017,09:11,Jane
"104 3rd Ave ne,Minneapolis,MN",44.989919,-93.260634,3,St. Anthony West,Northeast,2,2,01/12/2017,09:12,Jane
"420 4th ave ne,Minneapolis,MN",44.992979,-93.256763,3,St. Anthony West,Northeast,2,2,01/12/2017,09:27,Jane
"116 7th ave ne,Minneapolis,MN",44.994478,-93.26519,3,St. Anthony West,Northeast,2,2,01/12/2017,10:00,Jane
"314 5th ave ne,Minneapolis,MN",44.993656,-93.259381,3,St. Anthony West,Northeast,2,2,01/12/2017,10:14,Jane
"318 7th ave ne,Minneapolis,MN",44.99575,-93.260638,3,St. Anthony West,Northeast,2,2,01/12/2017,10:16,Jane
"314 7th ave ne,Minneapolis,MN",44.995765000000006,-93.260812,3,St. Anthony West,Northeast,2,2,01/12/2017,10:42,Jane
"806 5th st ne,Minneapolis,MN",44.997811,-93.259901,3,St. Anthony West,Northeast,2,2,01/12/2017,11:01,Jane
"304 9th ave ne,Minneapolis,MN",44.997662,-93.262477,3,St. Anthony West,Northeast,2,2,01/12/2017,11:23,Jane
"210 5th st ne,Minneapolis,MN",44.991295,-93.25571,3,St. Anthony West,Northeast,2,2,01/12/2017,11:53,Jane
"214 5th st ne,Minneapolis,MN",44.991295,-93.25571,3,St. Anthony West,Northeast,2,2,01/12/2017,12:03,Jane
"216 5th st ne,Minneapolis,MN",44.991295,-93.25571,3,St. Anthony West,Northeast,2,2,01/12/2017,12:14,Jane
"223 4th ave ne,Minneapolis,MN",44.992295,-93.260038,3,St. Anthony West,Northeast,3,2,01/13/2017,08:44,Jane
"307 6th ave ne,Minneapolis,MN",44.994679999999995,-93.26051600000001,3,St. Anthony West,Northeast,3,2,01/13/2017,08:59,Jane
"207 9th ave ne,Minneapolis,MN",44.99727,-93.264042,3,St. Anthony West,Northeast,3,2,01/13/2017,10:16,Jane
"307 9th ave ne,Minneapolis,MN",44.997834000000005,-93.262451,3,St. Anthony West,Northeast,3,2,01/13/2017,10:26,Jane
"145 10th ave ne,Minneapolis,MN",44.997746,-93.266199,3,St. Anthony West,Northeast,3,2,01/13/2017,10:32,Jane
"123 9th ave ne,Minneapolis,MN",44.996533,-93.266287,3,St. Anthony West,Northeast,3,2,01/13/2017,10:33,Jane
"113 9th ave ne,Minneapolis,MN",44.996389,-93.266705,3,St. Anthony West,Northeast,3,2,01/13/2017,10:59,Jane
"707 9th ave n,Minneapolis,MN",44.998551,-93.260243,3,St. Anthony West,Northeast,3,2,01/13/2017,13:42,Jane
"1905 38th st e,Minneapolis,MN",44.933871999999994,-93.244361,12,Standish,Powderhorn,2,6,01/12/2017,03:56,Jane
"1832 41st st e,Minneapolis,MN",44.928748999999996,-93.246712,12,Standish,Powderhorn,2,6,01/12/2017,09:16,Jane
"3600 Longfellow ave so,Minneapolis,MN",44.937591999999995,-93.24609699999999,12,Standish,Powderhorn,2,6,01/12/2017,10:37,Jane
"3622 20th Ave S ,Minneapolis,MN",44.937001,-93.243577,12,Standish,Powderhorn,2,6,01/12/2017,11:25,Jane
"3904 24TH AVE S,Minneapolis,MN",44.932077,-93.237574,12,Standish,Powderhorn,2,6,01/12/2017,13:07,Jane
"3816 24th Ave S,Minneapolis,MN",44.933555,-93.23752900000001,12,Standish,Powderhorn,2,6,01/12/2017,13:13,Jane
"3744 24TH AVE S,Minneapolis,MN",44.934569,-93.23722,12,Standish,Powderhorn,2,6,01/12/2017,13:55,Jane
"3920 24th Ave. S. ,Minneapolis,MN",44.931639000000004,-93.237575,12,Standish,Powderhorn,2,6,01/12/2017,14:54,Jane
"4104 23rd Ave S,Minneapolis,MN",44.928481,-93.238824,12,Standish,Powderhorn,2,6,01/12/2017,15:26,Jane
"3744 21st ave so,Minneapolis,MN",44.934488,-93.242648,12,Standish,Powderhorn,2,6,01/12/2017,15:41,Jane
"3103 41st st e,Minneapolis,MN",44.928686,-93.227028,12,Standish,Powderhorn,3,6,01/13/2017,08:43,Jane
"2083 40th st e,Minneapolis,MN",44.930507,-93.242494,12,Standish,Powderhorn,3,6,01/13/2017,09:02,Jane
"4023 25th ave so,Minneapolis,MN",44.929709,-93.23566600000001,12,Standish,Powderhorn,3,6,01/13/2017,10:17,Jane
"3637 21ST AVE S,Minneapolis,MN",44.936305,-93.24195,12,Standish,Powderhorn,3,6,01/13/2017,11:12,Jane
"3647 28th ave s,Minneapolis,MN",44.936310999999996,-93.231729,12,Standish,Powderhorn,3,6,01/13/2017,11:38,Jane
"3635 21ST AVE S,Minneapolis,MN",44.936469,-93.241978,12,Standish,Powderhorn,3,6,01/13/2017,11:47,Jane
"3733 27th Ave. S.,Minneapolis,MN",44.934658,-93.233005,12,Standish,Powderhorn,3,6,01/13/2017,12:17,Jane
"3623 21st ave s,Minneapolis,MN",44.936975,-93.241912,12,Standish,Powderhorn,3,6,01/13/2017,12:18,Jane
"2227 37TH ST E,Minneapolis,MN",44.935914000000004,-93.239992,12,Standish,Powderhorn,3,6,01/13/2017,13:11,Jane
"2337 37th st E,Minneapolis,MN",44.93591,-93.23805300000001,12,Standish,Powderhorn,3,6,01/13/2017,13:45,Jane
"3637 28th ave,Minneapolis,MN",44.936589,-93.231726,12,Standish,Powderhorn,3,6,01/13/2017,13:47,Jane
"2303 37TH ST E,Minneapolis,MN",44.93591,-93.23864,12,Standish,Powderhorn,3,6,01/13/2017,13:53,Jane
"3921 29th ave s,Minneapolis,MN",44.931635,-93.230575,12,Standish,Powderhorn,3,6,01/13/2017,14:28,Jane
"1831 36th st,Minneapolis,MN",44.937725,-93.246921,12,Standish,Powderhorn,3,6,01/13/2017,15:45,Jane
"1800 LASALLE AVE,Minneapolis,MN",44.965215,-93.279713,7,Steven's Square - Loring Heights,Central,2,3,01/12/2017,02:42,Jane
"1800 lasalle av s,Minneapolis,MN",44.965215,-93.279713,7,Steven's Square - Loring Heights,Central,2,3,01/12/2017,02:47,Jane
"1800 Lasalle Ave S ,Minneapolis,MN",44.965215,-93.279713,7,Steven's Square - Loring Heights,Central,2,3,01/12/2017,02:54,Jane
"2200 LASALLE AVE ,Minneapolis,MN",44.962714,-93.279445,7,Steven's Square - Loring Heights,Central,2,3,01/12/2017,03:08,Jane
"988 17th Ave SE - MPLS,Minneapolis,MN",44.966289,-93.27656400000001,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,11:46,Jane
"986 17th Ave SE - MPLS,Minneapolis,MN",44.966289,-93.27656400000001,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,11:50,Jane
"132 19TH ST E,Minneapolis,MN",44.963968,-93.274608,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:00,Jane
"118 19TH ST E,Minneapolis,MN",44.96405,-93.275814,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:06,Jane
"106 19TH ST E,Minneapolis,MN",44.963968,-93.276104,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:10,Jane
"138 19TH ST E,Minneapolis,MN",44.963968,-93.274561,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:22,Jane
"140 19th St e,Minneapolis,MN",44.963968,-93.27454499999999,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:23,Jane
"308 19th St e ,Minneapolis,MN",44.963969,-93.272193,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:32,Jane
"326 18TH ST E,Minneapolis,MN",44.965375,-93.271289,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:38,Jane
"320 18TH ST E,Minneapolis,MN",44.965233000000005,-93.271473,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:42,Jane
"130 18TH ST E,Minneapolis,MN",44.965408000000004,-93.27486,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:45,Jane
"326 19TH ST E,Minneapolis,MN",44.96397,-93.27125500000001,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:49,Jane
"328 19TH ST E,Minneapolis,MN",44.96397,-93.271176,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:52,Jane
"134 18th St e,Minneapolis,MN",44.965322,-93.274787,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,12:54,Jane
"128 18TH ST E,Minneapolis,MN",44.965421,-93.274971,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:06,Jane
"1806 2nd Ave s,Minneapolis,MN",44.965064,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:09,Jane
"1808 2nd Ave s,Minneapolis,MN",44.96504,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:12,Jane
"1718 Steven's Ave s ,Minneapolis,MN",44.965866999999996,-93.275313,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:21,Jane
"110 18TH ST E,Minneapolis,MN",44.965623,-93.27591,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:21,Jane
"106 18TH ST E,Minneapolis,MN",44.965231,-93.27620300000001,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:23,Jane
"1810 s stevens ave,Minneapolis,MN",44.964814000000004,-93.27531,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:27,Jane
"1702 STEVENS AVE S,Minneapolis,MN",44.966097999999995,-93.275315,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:32,Jane
"1926 stevens av s,Minneapolis,MN",44.962919,-93.275307,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:33,Jane
"1712 STEVENS AVE S,Minneapolis,MN",44.965916,-93.275314,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:36,Jane
"1924 Steven's Ave s ,Minneapolis,MN",44.963007,-93.275653,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:50,Jane
"1816 2nd Ave s. ,Minneapolis,MN",44.964945,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:51,Jane
"1712 2nd Ave s,Minneapolis,MN",44.965713,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:54,Jane
"1710 2nd Ave s,Minneapolis,MN",44.96578,-93.274046,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,13:56,Jane
"1928 Pillsbury Ave s ,Minneapolis,MN",44.963307,-93.280826,7,Steven's Square - Loring Heights,Central,2,3,01/12/2017,14:12,Jane
"1710 STEVENS AVE S,Minneapolis,MN",44.965932,-93.275314,6,Steven's Square - Loring Heights,Central,2,3,01/12/2017,14:15,Jane
"441 Ridgewood ,Minneapolis,MN",44.963277000000005,-93.28541700000001,7,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:05,Jane
"507 Ridgewood ,Minneapolis,MN",44.963264,-93.286074,7,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:07,Jane
"105 19TH ST E,Minneapolis,MN",44.963941,-93.276327,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:24,Jane
"107 19TH ST E,Minneapolis,MN",44.963941,-93.276218,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:31,Jane
"223 Ridgewood Avenue South,Minneapolis,MN",44.963564,-93.281751,7,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:37,Jane
"101 19TH ST E,Minneapolis,MN",44.963941999999996,-93.276546,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:52,Jane
"343 19th e,Minneapolis,MN",44.963822,-93.270555,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:54,Jane
"311 19TH ST E,Minneapolis,MN",44.963941999999996,-93.272067,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:55,Jane
"133 19th St e,Minneapolis,MN",44.963941999999996,-93.27450999999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:57,Jane
"305 19TH ST E,Minneapolis,MN",44.963941999999996,-93.27244499999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,10:59,Jane
"345 18th st e,Minneapolis,MN",44.965073,-93.270551,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:07,Jane
"339 19TH ST E,Minneapolis,MN",44.963805,-93.27091899999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:16,Jane
"343 18TH ST E,Minneapolis,MN",44.965073,-93.270593,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:20,Jane
"137 18th St e ,Minneapolis,MN",44.965202000000005,-93.275075,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:20,Jane
"121 18TH ST E,Minneapolis,MN",44.965201,-93.27539300000001,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:25,Jane
"131 18th st e,Minneapolis,MN",44.965201,-93.275175,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:27,Jane
"1913 2nd Ave s ,Minneapolis,MN",44.96346,-93.274013,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:44,Jane
"1909 2nd ave s,Minneapolis,MN",44.963621,-93.274012,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:48,Jane
"1707 2ND AV s,Minneapolis,MN",44.965979,-93.274008,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:49,Jane
"217 18TH ST E,Minneapolis,MN",44.965207,-93.273332,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:50,Jane
"307 - 19TH ST E,Minneapolis,MN",44.963941999999996,-93.272319,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:48,Jane
"1911 2ND AVE S,Minneapolis,MN",44.963541,-93.274012,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:52,Jane
"211 18th St e,Minneapolis,MN",44.965208000000004,-93.27346899999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,11:53,Jane
"1805 2nd ave s,Minneapolis,MN",44.964943,-93.27400899999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,12:11,Jane
"1811 stevens av s,Minneapolis,MN",44.965072,-93.275272,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,12:23,Jane
"1917 2ND AVE S,Minneapolis,MN",44.96328,-93.273798,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,12:35,Jane
"1921 STEVENS AVE S,Minneapolis,MN",44.963246999999996,-93.27527099999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,12:37,Jane
"1913 Stevens ave s,Minneapolis,MN",44.963403,-93.275002,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,12:42,Jane
"1819 stevens ave s,Minneapolis,MN",44.964969,-93.275272,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:15,Jane
"1817 Stevens,Minneapolis,MN",44.964995,-93.275272,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:24,Jane
"1907 2ND AVE S,Minneapolis,MN",44.963702000000005,-93.274011,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:30,Jane
"1915 STEVENS AVE S,Minneapolis,MN",44.963333,-93.27527099999999,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:32,Jane
"1915 CLINTON AVE S,Minneapolis,MN",44.963482,-93.271153,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:32,Jane
"1807 CLINTON AVE S,Minneapolis,MN",44.964884000000005,-93.271241,6,Steven's Square - Loring Heights,Central,3,3,01/13/2017,13:36,Jane
"1021 7th St N,Minneapolis,MN",44.988375,-93.290132,5,Sumner - Glenwood,Near North,1,1,01/11/2017,22:58,Jane
"732 Aldrich Ave n,Minneapolis,MN",44.985613,-93.289987,5,Sumner - Glenwood,Near North,2,1,01/12/2017,08:10,Jane
"734 Aldrich Ave N,Minneapolis,MN",44.985833,-93.290263,5,Sumner - Glenwood,Near North,2,1,01/12/2017,08:20,Jane
"842 Gertrude Brown Pl,Minneapolis,MN",44.985436,-93.291191,5,Sumner - Glenwood,Near North,2,1,01/12/2017,12:07,Jane
"850 10th Ave. N.,Minneapolis,MN",44.988356,-93.29151800000001,5,Sumner - Glenwood,Near North,2,1,01/12/2017,12:26,Jane
"711 Lyndale Pl,Minneapolis,MN",44.985843,-93.289213,5,Sumner - Glenwood,Near North,3,1,01/13/2017,08:21,Jane
"1005 Aldrich Ave n,Minneapolis,MN",44.988512,-93.291065,5,Sumner - Glenwood,Near North,3,1,01/13/2017,08:24,Jane
"1045 ALDRICH AV N,Minneapolis,MN",44.988611999999996,-93.291067,5,Sumner - Glenwood,Near North,3,1,01/13/2017,08:29,Jane
