X,Y,OBJECTID,Citation_N,Date,Address,X_Coordina,Y_Coordina,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,TowDist
-93.3057627732844,45.012382067630682,6011,533629352,2017-01-13T00:00:00.000Z,3107 NEWTON AVE N,-10386750,5623471,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,3,1
-93.291299897210067,44.996280842734322,6012,533635352,2017-01-13T00:00:00.000Z,915 17TH AVE N,-10385140,5620936,478.1000(C),SNOW EMERGENCY ODD,5,Near-North,Near North,3,1
-93.296923350888662,44.951453065204305,6013,533640352,2017-01-13T00:00:00.000Z,2835 GIRARD AVE S,-10385766,5613882,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.268868964565613,45.017309979721936,6014,533641352,2017-01-13T00:00:00.000Z,2727 CALIFORNIA ST NE,-10382643,5624247,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,3,2
-93.288326473619634,45.01487147828702,6015,533583352,2017-01-13T00:00:00.000Z,723 33RD AVE N,-10384809,5623863,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,3,1
-93.266362664922909,45.032706971801829,6016,533619352,2017-01-13T00:00:00.000Z,3543 2ND ST NE,-10382364,5626672,478.1000(C),SNOW EMERGENCY ODD,1,Columbia Park,Northeast,3,2
-93.256741708229995,44.963708877782828,6017,533624352,2017-01-13T00:00:00.000Z,1917 13TH AVE S,-10381293,5615810,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.249375522900209,44.96845031034853,6018,533642352,2017-01-13T00:00:00.000Z,1621 6TH ST S,-10380473,5616556,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.266362664922909,45.032776804392697,6019,533614352,2017-01-13T00:00:00.000Z,3547 2ND ST NE,-10382364,5626683,478.1000(C),SNOW EMERGENCY ODD,1,Columbia Park,Northeast,3,2
-93.256741708229995,44.963734302058796,6020,533624352,2017-01-13T00:00:00.000Z,1915 13TH AVE S,-10381293,5615814,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.3057627732844,45.012521782319389,6021,533629352,2017-01-13T00:00:00.000Z,3123 NEWTON AVE N,-10386750,5623493,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,3,1
-93.291335829821435,44.996280842734322,6022,533635352,2017-01-13T00:00:00.000Z,917 17TH AVE N,-10385144,5620936,478.1000(C),SNOW EMERGENCY ODD,5,Near-North,Near North,3,1
-93.279244506097186,44.908734334124389,6023,533639352,2017-01-13T00:00:00.000Z,115 52ND ST W,-10383798,5607165,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296923350888662,44.951395848322669,6024,533640352,2017-01-13T00:00:00.000Z,2839 GIRARD AVE S,-10385766,5613873,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.268868964565613,45.015970086838536,6025,533641352,2017-01-13T00:00:00.000Z,2655 CALIFORNIA ST NE,-10382643,5624036,478.1000(C),SNOW EMERGENCY ODD,1,Marshall Terrace,Northeast,3,2
-93.225570167871041,44.899915706301606,6026,533626352,2017-01-13T00:00:00.000Z,5733 BOSSEN TERR,-10377823,5605779,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.249357556594532,44.968443954803128,6027,533642352,2017-01-13T00:00:00.000Z,1623 6TH ST S,-10380471,5616555,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.225642033093763,44.899883890621027,6028,533626352,2017-01-13T00:00:00.000Z,5735 BOSSEN TERR,-10377831,5605774,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.292889915262961,45.001464216129811,6029,533626352,2017-01-13T00:00:00.000Z,1019 22ND AVE N,-10385317,5621752,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,3,1
-93.291452610808363,44.996280842734322,6030,533635352,2017-01-13T00:00:00.000Z,925 17TH AVE N,-10385157,5620936,478.1000(C),SNOW EMERGENCY ODD,5,Near-North,Near North,3,1
-93.296914367735809,44.951669217353505,6031,533640352,2017-01-13T00:00:00.000Z,2819 GIRARD AVE S,-10385765,5613916,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.249330607136002,44.968431243710199,6032,533642352,2017-01-13T00:00:00.000Z,1625 6TH ST S,-10380468,5616553,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.265087057219461,45.031081752892582,6033,533614352,2017-01-13T00:00:00.000Z,3443 2 1/2 ST NE,-10382222,5626416,478.1000(C),SNOW EMERGENCY ODD,1,Columbia Park,Northeast,3,2
-93.265087057219461,45.031196027605574,6034,533619352,2017-01-13T00:00:00.000Z,3451 2 1/2 ST NE,-10382222,5626434,478.1000(C),SNOW EMERGENCY ODD,1,Columbia Park,Northeast,3,2
-93.256741708229995,44.963753370258374,6035,533624352,2017-01-13T00:00:00.000Z,1913 13TH AVE S,-10381293,5615817,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.305771756437238,45.013353712726648,6036,533629352,2017-01-13T00:00:00.000Z,3205 NEWTON AVE N,-10386751,5623624,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.257523242527185,44.949571235629229,6037,533639352,2017-01-13T00:00:00.000Z,2929 12TH AVE S,-10381380,5613586,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.278894163136371,44.910452091201968,6038,533639352,2017-01-13T00:00:00.000Z,39 ELMWOOD PL W,-10383759,5607435,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.251064355634355,44.959799761310791,6039,533615352,2017-01-13T00:00:00.000Z,2327 16TH AVE S,-10380661,5615195,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.256741708229995,44.963778794514639,6040,533624352,2017-01-13T00:00:00.000Z,1911 13TH AVE S,-10381293,5615821,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.225722881469352,44.899852074922848,6041,533626352,2017-01-13T00:00:00.000Z,5737 BOSSEN TERR,-10377840,5605769,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.292862965804446,45.001464216129811,6042,533626352,2017-01-13T00:00:00.000Z,1017 22ND AVE N,-10385314,5621752,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,3,1
-93.305771756437238,45.013734745519258,6043,533629352,2017-01-13T00:00:00.000Z,3227 NEWTON AVE N,-10386751,5623684,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.296914367735809,44.951694646964597,6044,533640352,2017-01-13T00:00:00.000Z,2817 GIRARD AVE S,-10385765,5613920,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.283349806945608,44.912010752271378,6045,533622352,2017-01-13T00:00:00.000Z,5013 GLADSTONE AVE S,-10384255,5607680,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.225794746692074,44.899813896061794,6046,533626352,2017-01-13T00:00:00.000Z,5739 BOSSEN TERR,-10377848,5605763,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.219228061965154,44.973826849458121,6047,533636352,2017-01-13T00:00:00.000Z,2600 4TH ST SE,-10377117,5617402,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.296914367735809,44.951720076564435,6048,533640352,2017-01-13T00:00:00.000Z,2815 GIRARD AVE S,-10385765,5613924,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.251064355634355,44.959850613316185,6049,533615352,2017-01-13T00:00:00.000Z,2321 16TH AVE S,-10380661,5615203,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.283322857487093,44.911947134279664,6050,533622352,2017-01-13T00:00:00.000Z,5015 GLADSTONE AVE S,-10384252,5607670,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.289512249794669,44.904757847633974,6051,533631352,2017-01-13T00:00:00.000Z,5417 ALDRICH AVE S,-10384941,5606540,478.1000(C),SNOW EMERGENCY ODD,13,Kenny,Southwest,3,5
-93.219093314672548,44.97386497914119,6052,533636352,2017-01-13T00:00:00.000Z,2607 4TH ST SE,-10377102,5617408,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.296914367735809,44.95175186354836,6053,533640352,2017-01-13T00:00:00.000Z,2813 GIRARD AVE S,-10385765,5613929,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.283268958570048,44.911883516217529,6054,533622352,2017-01-13T00:00:00.000Z,5017 GLADSTONE AVE S,-10384246,5607660,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.256732725077143,44.965069060723472,6055,533624352,2017-01-13T00:00:00.000Z,1805 13TH AVE S,-10381292,5616024,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.22586661191481,44.899782080324883,6056,533626352,2017-01-13T00:00:00.000Z,5741 BOSSEN TERR,-10377856,5605758,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.305771756437238,45.01754493401085,6057,533629352,2017-01-13T00:00:00.000Z,3439 NEWTON AVE N,-10386751,5624284,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.290724975428233,44.953697193456634,6058,533635352,2017-01-13T00:00:00.000Z,907 27TH ST W,-10385076,5614235,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.31367693093749,44.900965613884054,6059,533636352,2017-01-13T00:00:00.000Z,5633 THOMAS AVE S,-10387631,5605944,478.1000(C),SNOW EMERGENCY ODD,13,Armatage,Southwest,3,5
-93.257523242527185,44.949539447437566,6060,533639352,2017-01-13T00:00:00.000Z,2931 12TH AVE S,-10381380,5613581,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.251064355634355,44.959869682806598,6061,533615352,2017-01-13T00:00:00.000Z,2319 16TH AVE S,-10380661,5615206,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.283224042805841,44.911819898084978,6062,533622352,2017-01-13T00:00:00.000Z,5019 GLADSTONE AVE S,-10384241,5607650,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.226216954875611,44.899610275041333,6063,533626352,2017-01-13T00:00:00.000Z,5751 BOSSEN TERR,-10377895,5605731,478.1000(C),SNOW EMERGENCY ODD,11,Wenonah,Nokomis,3,6
-93.257523242527185,44.949507659228296,6064,533639352,2017-01-13T00:00:00.000Z,2933 12TH AVE S,-10381380,5613576,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.251064355634355,44.959888752290667,6065,533615352,2017-01-13T00:00:00.000Z,2317 16TH AVE S,-10380661,5615209,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.283161160735943,44.911762641705465,6066,533622352,2017-01-13T00:00:00.000Z,5021 GLADSTONE AVE S,-10384234,5607641,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.31367693093749,44.901449201230449,6067,533636352,2017-01-13T00:00:00.000Z,5605 THOMAS AVE S,-10387631,5606020,478.1000(C),SNOW EMERGENCY ODD,13,Armatage,Southwest,3,5
-93.28309827866606,44.911705385268924,6068,533622352,2017-01-13T00:00:00.000Z,5023 GLADSTONE AVE S,-10384227,5607632,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.30711024621057,44.996293547654112,6069,533635352,2017-01-13T00:00:00.000Z,2111 17TH AVE N,-10386900,5620938,478.1000(C),SNOW EMERGENCY ODD,5,Willard-Hay,Near North,3,1
-93.257523242527185,44.949475871001425,6070,533639352,2017-01-13T00:00:00.000Z,2935 12TH AVE S,-10381380,5613571,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.296914367735809,44.95320768854463,6071,533640352,2017-01-13T00:00:00.000Z,2729 GIRARD AVE S,-10385765,5614158,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.232478212405937,44.942908045781813,6072,533595352,2017-01-13T00:00:00.000Z,2771 33RD ST E,-10378592,5612538,478.1000(C),SNOW EMERGENCY ODD,9,Longfellow,Longfellow,3,6
-93.283026413443338,44.911654490610765,6073,533622352,2017-01-13T00:00:00.000Z,5025 GLADSTONE AVE S,-10384219,5607624,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.278022797310783,44.905126877159624,6074,533639352,2017-01-13T00:00:00.000Z,3 54TH ST E,-10383662,5606598,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.953245831934524,6075,533640352,2017-01-13T00:00:00.000Z,2727 GIRARD AVE S,-10385765,5614164,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.251055372481517,44.960708734109936,6076,533615352,2017-01-13T00:00:00.000Z,2221 16TH AVE S,-10380660,5615338,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.305771756437238,45.017824337856247,6077,533629352,2017-01-13T00:00:00.000Z,3455 NEWTON AVE N,-10386751,5624328,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.282945565067749,44.91160359590755,6078,533630352,2017-01-13T00:00:00.000Z,5027 GLADSTONE AVE S,-10384210,5607616,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.218778904323102,44.973737880099016,6079,533636352,2017-01-13T00:00:00.000Z,2631 4TH ST SE,-10377067,5617388,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.257523242527185,44.949310571937893,6080,533639352,2017-01-13T00:00:00.000Z,2945 12TH AVE S,-10381380,5613545,478.1000(C),SNOW EMERGENCY ODD,9,Midtown Phillips,Phillips,3,3
-93.277977881546576,44.905133239716875,6081,533639352,2017-01-13T00:00:00.000Z,7 54TH ST E,-10383657,5606599,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.9532776180734,6082,533640352,2017-01-13T00:00:00.000Z,2725 GIRARD AVE S,-10385765,5614169,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.282873699845027,44.911552701159252,6083,533630352,2017-01-13T00:00:00.000Z,5029 GLADSTONE AVE S,-10384202,5607608,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.218725005406057,44.973718815218398,6084,533636352,2017-01-13T00:00:00.000Z,2635 4TH ST SE,-10377061,5617385,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.277923982629531,44.905133239716875,6085,533639352,2017-01-13T00:00:00.000Z,11 54TH ST E,-10383651,5606599,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.225588134176718,44.954612620008724,6086,533626352,2017-01-13T00:00:00.000Z,2651 32ND AVE S,-10377825,5614379,478.1000(C),SNOW EMERGENCY ODD,2,Seward,Longfellow,3,4
-93.300615426706401,45.002296307147972,6087,533626352,2017-01-13T00:00:00.000Z,1601 22ND AVE N,-10386177,5621883,478.1000(C),SNOW EMERGENCY ODD,5,Jordan,Near North,3,1
-93.218698055947527,44.973706105294461,6088,533636352,2017-01-13T00:00:00.000Z,2637 4TH ST SE,-10377058,5617383,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.277897033171016,44.905133239716875,6089,533639352,2017-01-13T00:00:00.000Z,13 54TH ST E,-10383648,5606599,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.954332907889302,6090,533610352,2017-01-13T00:00:00.000Z,2641 GIRARD AVE S,-10385765,5614335,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.253956930849213,44.965119908058526,6091,533624352,2017-01-13T00:00:00.000Z,1801 15TH AVE S,-10380983,5616032,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.242171034321572,45.017233778123902,6092,533625352,2017-01-13T00:00:00.000Z,2723 FILLMORE ST NE,-10379671,5624235,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,3,2
-93.21868008964185,44.973693395367711,6093,533636352,2017-01-13T00:00:00.000Z,2639 4TH ST SE,-10377056,5617381,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.277870083712486,44.905133239716875,6094,533639352,2017-01-13T00:00:00.000Z,15 54TH ST E,-10383645,5606599,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.953347547516969,6095,533640352,2017-01-13T00:00:00.000Z,2721 GIRARD AVE S,-10385765,5614180,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.251037406175826,44.961636761411704,6096,533615352,2017-01-13T00:00:00.000Z,2121 16TH AVE S,-10380658,5615484,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.310469945373185,45.03741095859418,6097,533618352,2017-01-13T00:00:00.000Z,4541 QUEEN AVE N,-10387274,5627413,478.1000(C),SNOW EMERGENCY ODD,4,Victory,Camden,3,1
-93.251037406175826,44.961617692508611,6098,533621352,2017-01-13T00:00:00.000Z,2123 16TH AVE S,-10380658,5615481,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.217736858593526,44.973318451261278,6099,533636352,2017-01-13T00:00:00.000Z,2701 4TH ST SE,-10376951,5617322,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.27777126903122,44.905133239716875,6100,533639352,2017-01-13T00:00:00.000Z,23 54TH ST E,-10383634,5606599,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.954371050531329,6101,533610352,2017-01-13T00:00:00.000Z,2637 GIRARD AVE S,-10385765,5614341,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.225579151023879,44.955089398887907,6102,533626352,2017-01-13T00:00:00.000Z,2625 32ND AVE S,-10377824,5614454,478.1000(C),SNOW EMERGENCY ODD,2,Seward,Longfellow,3,4
-93.217709909134996,44.973305741248616,6103,533636352,2017-01-13T00:00:00.000Z,2703 4TH ST SE,-10376948,5617320,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.296914367735809,44.953036042976379,6104,533640352,2017-01-13T00:00:00.000Z,2739 GIRARD AVE S,-10385765,5614131,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.283673200447893,45.018459341525464,6105,533583352,2017-01-13T00:00:00.000Z,311 35TH AVE N,-10384291,5624428,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,3,1
-93.251037406175826,44.96168761178896,6106,533615352,2017-01-13T00:00:00.000Z,2115 16TH AVE S,-10380658,5615492,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.242171034321572,45.01872604096657,6107,533625352,2017-01-13T00:00:00.000Z,2805 FILLMORE ST NE,-10379671,5624470,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,3,2
-93.276414812952211,44.905139602273422,6108,533639352,2017-01-13T00:00:00.000Z,127 54TH ST E,-10383483,5606600,478.1000(C),SNOW EMERGENCY ODD,11,Tangletown,Southwest,3,5
-93.296914367735809,44.95307418648035,6109,533640352,2017-01-13T00:00:00.000Z,2737 GIRARD AVE S,-10385765,5614137,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.251028423022987,44.962539348908173,6110,533621352,2017-01-13T00:00:00.000Z,2013 16TH AVE S,-10380657,5615626,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.220350956070305,44.899222120473596,6111,533626352,2017-01-13T00:00:00.000Z,5741 36TH AVE S,-10377242,5605670,478.1000(C),SNOW EMERGENCY ODD,12,Morris Park,Nokomis,3,6
-93.307065330446363,45.021234224931327,6112,533629352,2017-01-13T00:00:00.000Z,3643 OLIVER AVE N,-10386895,5624865,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.316812051279058,44.998034095037333,6113,533635352,2017-01-13T00:00:00.000Z,2929 18TH AVE N,-10387980,5621212,478.1000(C),SNOW EMERGENCY ODD,5,Willard-Hay,Near North,3,1
-93.296914367735809,44.953105972714305,6114,533640352,2017-01-13T00:00:00.000Z,2735 GIRARD AVE S,-10385765,5614142,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.251028423022987,44.962526636506816,6115,533621352,2017-01-13T00:00:00.000Z,2015 16TH AVE S,-10380657,5615624,478.1000(C),SNOW EMERGENCY ODD,6,Ventura Village,Phillips,3,3
-93.217682959676466,44.97329938624123,6116,533636352,2017-01-13T00:00:00.000Z,2705 4TH ST SE,-10376945,5617319,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.296914367735809,44.953144116171799,6117,533640352,2017-01-13T00:00:00.000Z,2733 GIRARD AVE S,-10385765,5614148,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.247156684148436,44.967693995500561,6118,533642352,2017-01-13T00:00:00.000Z,1805 6TH ST S,-10380226,5616437,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.249573152262727,44.968532932374771,6119,533642352,2017-01-13T00:00:00.000Z,1603 6TH ST S,-10380495,5616569,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.296914367735809,44.953550978141017,6120,533610352,2017-01-13T00:00:00.000Z,2709 GIRARD AVE S,-10385765,5614212,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.242180017474425,45.022612091892491,6121,533625352,2017-01-13T00:00:00.000Z,3017 FILLMORE ST NE,-10379672,5625082,478.1000(C),SNOW EMERGENCY ODD,1,Audubon Park,Northeast,3,2
-93.217664993370789,44.973286676224333,6122,533636352,2017-01-13T00:00:00.000Z,2707 4TH ST SE,-10376943,5617317,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.285344066876362,45.018459341525464,6123,533583352,2017-01-13T00:00:00.000Z,423 35TH AVE N,-10384477,5624428,478.1000(C),SNOW EMERGENCY ODD,4,McKinley,Camden,3,1
-93.307056347293525,45.020853242039344,6124,533629352,2017-01-13T00:00:00.000Z,3621 OLIVER AVE N,-10386894,5624805,478.1000(C),SNOW EMERGENCY ODD,4,Folwell,Camden,3,1
-93.21763804391226,44.973280321214837,6125,533636352,2017-01-13T00:00:00.000Z,2709 4TH ST SE,-10376940,5617316,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.24721956621832,44.967693995500561,6126,533642352,2017-01-13T00:00:00.000Z,1801 6TH ST S,-10380233,5616437,478.1000(C),SNOW EMERGENCY ODD,6,Cedar-Riverside,University,3,4
-93.296914367735809,44.953519192153543,6127,533610352,2017-01-13T00:00:00.000Z,2711 GIRARD AVE S,-10385765,5614207,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.283520486849582,45.003642871588781,6128,533626352,2017-01-13T00:00:00.000Z,307 24TH AVE N,-10384274,5622095,478.1000(C),SNOW EMERGENCY ODD,5,Hawthorne,Near North,3,1
-93.221599614315238,44.947695702198452,6129,533628352,2017-01-13T00:00:00.000Z,3043 35TH AVE S,-10377381,5613291,478.1000(C),SNOW EMERGENCY ODD,2,Longfellow,Longfellow,3,6
-93.31822240627514,44.997976924612693,6130,533635352,2017-01-13T00:00:00.000Z,2813 18TH AVE N,-10388137,5621203,478.1000(C),SNOW EMERGENCY ODD,5,Willard-Hay,Near North,3,1
-93.243536473553434,45.01222330052525,6131,533639352,2017-01-13T00:00:00.000Z,1115 24TH AVE NE,-10379823,5623446,478.1000(C),SNOW EMERGENCY ODD,1,Windom Park,Northeast,3,2
-93.217593128148053,44.973261256182099,6132,533636352,2017-01-13T00:00:00.000Z,2713 4TH ST SE,-10376935,5617313,478.1000(C),SNOW EMERGENCY ODD,2,Prospect Park,University,3,4
-93.296914367735809,44.953347547516969,6133,533640352,2017-01-13T00:00:00.000Z,2721 GIRARD AVE S,-10385765,5614180,478.1000(C),SNOW EMERGENCY ODD,10,Lowry Hill East,Calhoun-Isles,3,3
-93.28936851934921,44.965348720508544,6134,533617352,2017-01-13T00:00:00.000Z,805 SUMMIT AVE S,-10384925,5616068,478.1000(C),SNOW EMERGENCY ODD,7,Lowry Hill,Calhoun-Isles,3,3
-93.244030546959706,44.967700351129075,6135,533642352,2017-01-13T00:00:00.000Z,2001 6TH ST S,-10379878,5616438,478.1000(C),SNOW EMERGENCY ODD,2,Cedar-Riverside,University,3,4
