X,Y,FID,Call_Taken,Customer,Location,X_Coord,Y_Coord,Ward_numbe,Neighborho,Community,Day_identi,TowDist
-93.266166,45.011092,52,12/18/2016 03:40pm,Snow Emergency,"202 23rd ave ne,Minneapolis,MN",45.011092,-93.266166,3,Bottineau,Northeast,2,2
-93.242187,44.986208,53,12/18/2016 10:28am,Snow Emergency,"612 8th ave se,Minneapolis,MN",44.986208,-93.242187,3,Marcy-Holmes,University,2,4
-93.289093,45.026786,54,12/18/2016 02:34pm,Snow Emergency,"3934 aldrich ave n ,Minneapolis,MN",45.026786,-93.289093,4,Webber-Camden,Camden,2,1
-93.294479,44.951218,55,12/17/2016 09:55pm,Snow Emergency,"2834 Emerson ave s,Minneapolis,MN",44.951218,-93.294479,10,Lowry Hill East,Calhoun Isles,1,3
-93.265047,44.99961,56,12/18/2016 01:36pm,Snow Emergency,"224 12th ave ne,Minneapolis,MN",44.99961,-93.265047,3,Sheridan,Northeast,2,2
-93.295642,44.967013,57,12/18/2016 11:29am,Snow Emergency,"1710 Fremont Ave s,Minneapolis,MN",44.967013,-93.295642,7,Lowry Hill,Calhoun Isles,2,3
-93.290293,45.008463,58,12/18/2016 03:41pm,Snow Emergency,"2722 Bryant Ave n,Minneapolis,MN",45.008463,-93.290293,5,Hawthorne,Near-North,2,1
-93.258731,44.933352,59,12/18/2016 10:29am,Snow Emergency,"3822 11th ave s,Minneapolis,MN",44.933352,-93.258731,8,Bancroft,Powderhorn,2,6
-93.267656,44.962005,60,12/18/2016 02:35am,Snow Emergency,"2017 PORTLAND AVE,Minneapolis,MN",44.962005,-93.267656,6,Ventura Village,Phillips,2,3
-93.305711,44.988157,61,12/18/2016 01:37pm,Snow Emergency,"1004 Newton Ave N,Minneapolis,MN",44.988157,-93.305711,5,Near-North,Near-North,2,1
-93.294494,44.949559,62,12/17/2016 09:55pm,Snow Emergency,"2912 EMERSON AVE S,Minneapolis,MN",44.949559,-93.294494,10,Lowry Hill East,Calhoun Isles,1,3
-93.306933,44.998234,63,12/18/2016 01:37pm,Snow Emergency,"1828 Oliver Ave n,Minneapolis,MN",44.998234,-93.306933,5,Willard-Hay,Near-North,2,1
-93.289681,44.943649,64,12/18/2016 03:41pm,Snow Emergency,"3232aldrich Ave s,Minneapolis,MN",44.943649,-93.289681,10,CARAG,Calhoun Isles,2,5
-93.258975,44.933664,65,12/18/2016 10:31am,Snow Emergency,"3812 11th Ave. S.,Minneapolis,MN",44.933664,-93.258975,8,Bancroft,Powderhorn,2,6
-93.298551,44.979687,66,12/19/2016 01:07pm,Snow Emergency,"253 humbolt ave n,Minneapolis,MN",44.979687,-93.298551,5,Harrison,Near-North,3,3
-93.27405,44.963589,67,12/18/2016 02:35pm,Snow Emergency,"1910 2ND AVE S,Minneapolis,MN",44.963589,-93.27405,6,Stevens Square,Central,2,3
-93.269934,44.939715,68,12/17/2016 09:57pm,Snow Emergency,"3455 4th ave s,Minneapolis,MN",44.939715,-93.269934,9,Central,Powderhorn,1,5
-93.252734,44.93233,69,12/18/2016 11:30am,Snow Emergency,"1518 39th st e,Minneapolis,MN",44.93233,-93.252734,8,Bancroft,Powderhorn,2,6
-93.29861,44.959559,70,12/18/2016 01:38pm,Snow Emergency,"2312 HUMBOLDT AVE S,Minneapolis,MN",44.959559,-93.29861,7,East Isles,Calhoun Isles,2,3
-93.26304,45.008544,71,12/18/2016 03:43pm,Snow Emergency,"304 20th ave ne,Minneapolis,MN",45.008544,-93.26304,1,Holland,Northeast,2,2
-93.304665,44.947509,72,12/18/2016 10:31am,Snow Emergency,"3022 KNOX AVE S ,Minneapolis,MN",44.947509,-93.304665,10,ECCO,Calhoun Isles,2,5
-93.226914,44.98731,73,12/18/2016 02:35pm,Snow Emergency,"932 18th ave se,Minneapolis,MN",44.98731,-93.226914,2,Como,University,2,4
-93.225289,44.937559,74,12/19/2016 01:07pm,Snow Emergency,"3207 36th st e,Minneapolis,MN",44.937559,-93.225289,12,Howe,Longfellow,3,6
-93.25852,44.995748,75,12/18/2016 10:31am,Snow Emergency,"614 5th st ne,Minneapolis,MN",44.995748,-93.25852,3,St. Anthony West,Northeast,2,2
-93.246285,44.987508,76,12/19/2016 01:08pm,Snow Emergency,"503 6th st se,Minneapolis,MN",44.987508,-93.246285,3,Marcy-Holmes,University,3,4
-93.269901,44.936952,77,12/17/2016 09:58pm,Snow Emergency,"3625 4th Avenue South,Minneapolis,MN",44.936952,-93.269901,8,Central,Powderhorn,1,5
-93.285793,44.958423,78,12/18/2016 02:35pm,Snow Emergency,"2420 harriet av s,Minneapolis,MN",44.958423,-93.285793,10,Whittier,Powderhorn,2,3
-93.272126,44.965363,79,12/18/2016 01:38pm,Snow Emergency,"314 18th St e,Minneapolis,MN",44.965363,-93.272126,6,Stevens Square,Central,2,3
-93.289061,45.022491,80,12/18/2016 03:44pm,Snow Emergency,"3710 aldrich ave n ,Minneapolis,MN",45.022491,-93.289061,4,McKinley,Camden,2,1
-93.234318,44.988766,81,12/18/2016 11:30am,Snow Emergency,"1030 12th Ave se,Minneapolis,MN",44.988766,-93.234318,2,Como,University,2,4
-93.283402,45.006021,82,12/18/2016 09:14am,Snow Emergency,"2608 3rd st n,Minneapolis,MN",45.006021,-93.283402,5,Hawthorne,Near-North,2,1
-93.270551,44.938231,83,12/17/2016 09:58pm,Snow Emergency,"3548 4th ave s,Minneapolis,MN",44.938231,-93.270551,9,Central,Powderhorn,1,5
-93.245322,44.984545,84,12/18/2016 10:33am,Snow Emergency,"406 7th ave se,Minneapolis,MN",44.984545,-93.245322,3,Marcy-Holmes,University,2,4
-93.249636,44.940334,85,12/19/2016 01:09pm,Snow Emergency,"3429 17th Ave. so,Minneapolis,MN",44.940334,-93.249636,9,Powderhorn Park,Powderhorn,3,6
-93.309488,44.991007,86,12/18/2016 01:38pm,Snow Emergency,"1254 queen ave n,Minneapolis,MN",44.991007,-93.309488,5,Willard-Hay,Near-North,2,1
-93.25852,44.995748,87,12/18/2016 11:31am,Snow Emergency,"614 5th st ne,Minneapolis,MN",44.995748,-93.25852,3,St. Anthony West,Northeast,2,2
-93.284487,44.962425,88,12/18/2016 03:44pm,Snow Emergency,"2004 GRAND AVE S,Minneapolis,MN",44.962425,-93.284487,10,Whittier,Powderhorn,2,3
-93.245442,44.989021,89,12/18/2016 09:14am,Snow Emergency,"718 5TH AVE SE,Minneapolis,MN",44.989021,-93.245442,3,Marcy-Holmes,University,2,4
-93.294477,44.951329,90,12/17/2016 10:01pm,Snow Emergency,"2830 Emerson s,Minneapolis,MN",44.951329,-93.294477,10,Lowry Hill East,Calhoun Isles,1,3
-93.301128,44.943668,91,12/18/2016 10:33am,Snow Emergency,"3232 humbolt Ave s,Minneapolis,MN",44.943668,-93.301128,10,ECCO,Calhoun Isles,2,5
-93.224602,44.989093,92,12/19/2016 01:09pm,Snow Emergency,"1043 20th Avenue Southeast,Minneapolis,MN",44.989093,-93.224602,1,Como,University,3,4
-93.272126,44.965363,93,12/18/2016 01:40pm,Snow Emergency,"300 18th St e,Minneapolis,MN",44.965363,-93.272126,6,Stevens Square,Central,2,3
-93.281197,44.967154,94,12/18/2016 11:32am,Snow Emergency,"1512 spruce pl,Minneapolis,MN",44.967154,-93.281197,7,Loring Park,Central,2,3
-93.250212,44.985675,95,12/18/2016 09:15am,Snow Emergency,"320 4th Avenue southeast ,Minneapolis,MN",44.985675,-93.250212,3,Marcy-Holmes,University,2,4
-93.262396,45.008249,96,12/18/2016 03:45pm,Snow Emergency,"342 20th ave ne,Minneapolis,MN",45.008249,-93.262396,1,Holland,Northeast,2,2
-93.294472,44.951501,97,12/17/2016 10:03pm,Snow Emergency,"2818 Emerson s,Minneapolis,MN",44.951501,-93.294472,10,Lowry Hill East,Calhoun Isles,1,3
-93.305714,44.996001,98,12/19/2016 01:11pm,Snow Emergency,"1625 newton ave n,Minneapolis,MN",44.996001,-93.305714,5,Willard-Hay,Near-North,3,1
-93.23385,44.982082,99,12/18/2016 01:41pm,Snow Emergency,"1408 6th st se,Minneapolis,MN",44.982082,-93.23385,3,Marcy-Holmes,University,2,4
-93.25705,44.987168,100,12/18/2016 11:32am,Snow Emergency,"624 11-2the ave se,Minneapolis,MN",44.987168,-93.25705,3,Nicollet Island,University,2,4
-93.28466,45.013912,101,12/18/2016 10:33am,Snow Emergency,"3222 4th st n,Minneapolis,MN",45.013912,-93.28466,4,McKinley,Camden,2,1
-93.244307,44.928899,102,12/18/2016 09:17am,Snow Emergency,"1902 41st st e,Minneapolis,MN",44.928899,-93.244307,12,Standish,Powderhorn,2,6
-93.294474,44.951431,103,12/17/2016 10:03pm,Snow Emergency,"2824 Emerson ave s,Minneapolis,MN",44.951431,-93.294474,10,Lowry Hill East,Calhoun Isles,1,3
-93.245251,44.988853,104,12/18/2016 03:45pm,Snow Emergency,"716 5th ave se,Minneapolis,MN",44.988853,-93.245251,3,Marcy-Holmes,University,2,4
-93.221458,44.989686,105,12/18/2016 01:41pm,Snow Emergency,"2206 TALMAGE AVE SE,Minneapolis,MN",44.989686,-93.221458,1,Como,University,2,4
-93.265858,44.965017,106,12/19/2016 01:11pm,Snow Emergency,"629 18TH ST E,Minneapolis,MN",44.965017,-93.265858,6,Ventura Village,Phillips,3,3
-93.299625,44.944953,107,12/18/2016 11:32am,Snow Emergency,"3146 Holmes Ave s,Minneapolis,MN",44.944953,-93.299625,10,ECCO,Calhoun Isles,2,5
-93.309212,45.007596,108,12/18/2016 03:46pm,Snow Emergency,"2654 queen ave n,Minneapolis,MN",45.007596,-93.309212,5,Jordan,Near-North,2,1
-93.254939,44.93926,109,12/18/2016 09:18am,Snow Emergency,"3505 14th ave s,Minneapolis,MN",44.93926,-93.254939,9,Powderhorn Park,Powderhorn,2,6
-93.294495,44.949638,110,12/17/2016 10:05pm,Snow Emergency,"2910 EMERSON AVE S,Minneapolis,MN",44.949638,-93.294495,10,Lowry Hill East,Calhoun Isles,1,3
-93.261426,44.961804,111,12/19/2016 01:12pm,Snow Emergency,"855 21st st e,Minneapolis,MN",44.961804,-93.261426,6,Ventura Village,Phillips,3,3
-93.266903,44.996292,112,12/18/2016 11:34am,Snow Emergency,"118 9th ave ne,Minneapolis,MN",44.996292,-93.266903,3,St. Anthony West,Northeast,2,2
-93.289062,45.015692,113,12/18/2016 03:47pm,Snow Emergency,"3322 aldrich ave n ,Minneapolis,MN",45.015692,-93.289062,4,McKinley,Camden,2,1
-93.295631,44.991984,114,12/18/2016 09:20am,Snow Emergency,"1206 Freemont ave n,Minneapolis,MN",44.991984,-93.295631,5,Near-North,Near-North,2,1
-93.270684,45.003907,115,12/18/2016 01:41pm,Snow Emergency,"28 16th ave ne,Minneapolis,MN",45.003907,-93.270684,3,Sheridan,Northeast,2,2
-93.26528,45.008524,116,12/18/2016 02:35pm,Snow Emergency,"202 20th ave ne,Minneapolis,MN",45.008524,-93.26528,3,Bottineau,Northeast,2,2
-93.233102,44.934806,117,12/19/2016 01:12pm,Snow Emergency,"3729 27th ave s,Minneapolis,MN",44.934806,-93.233102,12,Standish,Powderhorn,3,6
-93.237381,45.026448,118,12/17/2016 10:05pm,Snow Emergency,"3218 Johnson St NE,Minneapolis,MN",45.026448,-93.237381,1,Waite Park,Northeast,1,2
-93.297268,44.961883,119,12/18/2016 12:17pm,Snow Emergency,"2100 Girard ave s,Minneapolis,MN",44.961883,-93.297268,7,Lowry Hill,Calhoun Isles,2,3
-93.256298,45.005633,120,12/18/2016 03:49pm,Snow Emergency,"1726 Adams st ne,Minneapolis,MN",45.005633,-93.256298,1,Logan Park,Northeast,2,2
-93.280238,44.966387,121,12/18/2016 09:20am,Snow Emergency,"118 oak grove st,Minneapolis,MN",44.966387,-93.280238,7,Loring Park,Central,2,3
-93.299873,44.943445,122,12/18/2016 11:34am,Snow Emergency,"3240 Holmes Ave s,Minneapolis,MN",44.943445,-93.299873,10,ECCO,Calhoun Isles,2,5
-93.263456,44.968344,123,12/18/2016 01:42am,Snow Emergency,"728 15th st e ,Minneapolis,MN",44.968344,-93.263456,7,Elliot Park,Central,2,3
-93.228585,44.990977,124,12/19/2016 01:14pm,Snow Emergency,"1107 17TH AVE SE,Minneapolis,MN",44.990977,-93.228585,1,Como,University,3,4
-93.262512,44.937163,125,12/17/2016 10:05pm,Snow Emergency,"3617 Chicago Avenue South,Minneapolis,MN",44.937163,-93.262512,9,Powderhorn Park,Powderhorn,1,6
-93.216086,44.987418,126,12/18/2016 03:49pm,Snow Emergency,"922 26th Avenue Southeast,Minneapolis,MN",44.987418,-93.216086,2,Como,University,2,4
-93.310436,45.016696,127,12/18/2016 09:21am,Snow Emergency,"3358 RUSSELL AVE N,Minneapolis,MN",45.016696,-93.310436,4,Cleveland,Camden,2,1
-93.291953,44.946222,128,12/18/2016 02:35pm,Snow Emergency,"3106 colfax ave s,Minneapolis,MN",44.946222,-93.291953,10,CARAG,Calhoun Isles,2,5
-93.277001,44.989382,129,12/18/2016 12:18am,Snow Emergency,"799 2 st n,Minneapolis,MN",44.989382,-93.277001,3,North Loop,Central,2,1
-93.26636,44.965203,130,12/19/2016 01:14pm,Snow Emergency,"623 18TH ST E,Minneapolis,MN",44.965203,-93.26636,6,Ventura Village,Phillips,3,3
-93.295629,44.966046,131,12/18/2016 11:36am,Snow Emergency,"1772 FREMONT AVE S,Minneapolis,MN",44.966046,-93.295629,7,Lowry Hill,Calhoun Isles,2,3
-93.285995,44.968422,132,12/17/2016 10:08pm,Snow Emergency,"443 15th st w,Minneapolis,MN",44.968422,-93.285995,7,Loring Park,Central,1,3
-93.274046,44.964897,133,12/18/2016 03:50pm,Snow Emergency,"1820 2nd Ave s,Minneapolis,MN",44.964897,-93.274046,6,Stevens Square,Central,2,3
-93.291023,44.988344,134,12/18/2016 09:23am,Snow Emergency,"1040 aldrich ave n,Minneapolis,MN",44.988344,-93.291023,5,Sumner-Glenwood,Near-North,2,1
-93.241084,44.983906,135,12/18/2016 01:42pm,Snow Emergency,"920 5th Street Southeast,Minneapolis,MN",44.983906,-93.241084,3,Marcy-Holmes,University,2,4
-93.255997,44.996536,136,12/19/2016 01:18pm,Snow Emergency,"651 Adams st ne,Minneapolis,MN",44.996536,-93.255997,3,St. Anthony East,Northeast,3,2
-93.264998,45.008522,137,12/18/2016 02:36pm,Snow Emergency,"228 20th ave ne,Minneapolis,MN",45.008522,-93.264998,3,Bottineau,Northeast,2,2
-93.289275,45.014435,138,12/18/2016 03:51pm,Snow Emergency,"3240 Aldrich Ave N,Minneapolis,MN",45.014435,-93.289275,4,McKinley,Camden,2,1
-93.240377,44.984888,139,12/18/2016 12:18pm,Snow Emergency,"920 6th st se,Minneapolis,MN",44.984888,-93.240377,3,Marcy-Holmes,University,2,4
-93.253104,44.992344,140,12/18/2016 09:24am,Snow Emergency,"612 3rd ave ne,Minneapolis,MN",44.992344,-93.253104,3,St. Anthony East,Northeast,2,2
-93.273561,44.987185,141,12/17/2016 10:08pm,Snow Emergency,"500-799 2nd St N,Minneapolis,MN",44.987185,-93.273561,3,North Loop,Central,1,1
-93.269973,45.002048,142,12/18/2016 11:36am,Snow Emergency,"1414 Grand st ne,Minneapolis,MN",45.002048,-93.269973,3,Sheridan,Northeast,2,2
-93.310052,44.985666,143,12/19/2016 01:18pm,Snow Emergency,"719 Queen Ave. N. ,Minneapolis,MN",44.985666,-93.310052,5,Willard-Hay,Near-North,3,1
-93.246064,44.919942,144,12/18/2016 02:36pm,Snow Emergency,"4552 Longfellow ave S,Minneapolis,MN",44.919942,-93.246064,12,Ericsson,Nokomis,2,6
-93.25124,44.975511,145,12/18/2016 01:43pm,Snow Emergency,"202 12th ave ne,Minneapolis,MN",44.975511,-93.25124,3,Downtown East,Central,2,3
-93.216418,44.990688,146,12/18/2016 03:51pm,Snow Emergency,"1086 26th ave se,Minneapolis,MN",44.990688,-93.216418,1,Como,University,2,4
-93.261508,44.934849,147,12/18/2016 12:18pm,Snow Emergency,"3736 elliot ave,Minneapolis,MN",44.934849,-93.261508,9,Powderhorn Park,Powderhorn,2,6
-93.313607,45.000149,148,12/19/2016 01:24pm,Snow Emergency,"2019 Thomas ave n,Minneapolis,MN",45.000149,-93.313607,5,Willard-Hay,Near-North,3,1
-93.310406,44.992616,149,12/18/2016 02:37pm,Snow Emergency,"1332 Russell Ave n ,Minneapolis,MN",44.992616,-93.310406,5,Willard-Hay,Near-North,2,1
-93.301691,44.992174,150,12/18/2016 11:37am,Snow Emergency,"1316 Knox Ave n ,Minneapolis,MN",44.992174,-93.301691,5,Near-North,Near-North,2,1
-93.29054,44.96589,151,12/18/2016 09:25am,Snow Emergency,"1776 Bryant Ave s,Minneapolis,MN",44.96589,-93.29054,7,Lowry Hill,Calhoun Isles,2,3
-93.262178,44.932857,152,12/17/2016 10:12pm,Snow Emergency,"3841 Chicago ave,Minneapolis,MN",44.932857,-93.262178,8,Bancroft,Powderhorn,1,6
-93.256327,44.947098,153,12/18/2016 01:43pm,Snow Emergency,"3036 13th Avenue South,Minneapolis,MN",44.947098,-93.256327,9,Powderhorn Park,Powderhorn,2,6
-93.268825,45.011091,154,12/18/2016 03:51pm,Snow Emergency,"104 23rd ave ne,Minneapolis,MN",45.011091,-93.268825,3,Bottineau,Northeast,2,2
-93.242304,44.939192,155,12/18/2016 12:18pm,Snow Emergency,"3506 21st Avenue South,Minneapolis,MN",44.939192,-93.242304,9,Corcoran,Powderhorn,2,6
-93.291988,44.993047,156,12/19/2016 01:25pm,Snow Emergency,"921 14th Ave n,Minneapolis,MN",44.993047,-93.291988,5,Near-North,Near-North,3,1
-93.26769,45.000527,157,12/18/2016 11:39am,Snow Emergency,"1218 main St ne,Minneapolis,MN",45.000527,-93.26769,3,Sheridan,Northeast,2,2
-93.268401,44.975001,158,12/18/2016 09:25am,Snow Emergency,"718 3rd ave ne,Minneapolis,MN",44.975001,-93.268401,7,Downtown West,Central,2,3
-93.260615,45.002484,159,12/18/2016 02:38pm,Snow Emergency,"1418 5th st ne,Minneapolis,MN",45.002484,-93.260615,3,Sheridan,Northeast,2,2
-93.279345,44.991053,160,12/17/2016 10:12pm,Snow Emergency,"935 2nd st n,Minneapolis,MN",44.991053,-93.279345,3,North Loop,Central,1,1
-93.28952,44.936904,161,12/18/2016 03:51pm,Snow Emergency,"3622 Aldrich Ave South,Minneapolis,MN",44.936904,-93.28952,10,East Harriet,Southwest,2,5
-93.238664,44.963993,162,12/18/2016 12:19am,Snow Emergency,"2316 9th st s,Minneapolis,MN",44.963993,-93.238664,6,Seward,Longfellow,2,4
-93.244976,44.987003,163,12/19/2016 01:26pm,Snow Emergency,"601 6th St se ,Minneapolis,MN",44.987003,-93.244976,3,Marcy-Holmes,University,3,4
-93.295998,44.96584,164,12/18/2016 11:39am,Snow Emergency,"1776 FREMONT AVE S,Minneapolis,MN",44.96584,-93.295998,7,Lowry Hill,Calhoun Isles,2,3
-93.248909,44.984634,165,12/18/2016 09:26am,Snow Emergency,"306 5th Ave se,Minneapolis,MN",44.984634,-93.248909,3,Marcy-Holmes,University,2,4
-93.225557,44.988189,166,12/18/2016 02:38pm,Snow Emergency,"1006 19 th ave se,Minneapolis,MN",44.988189,-93.225557,1,Como,University,2,4
