X,Y,FID,Citation_N,Service_Da,Address,Ordinance,Ordinanc_1,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Snow_Em_Na,Day_ID
-93.267937000392237,44.936284999952811,4011,271118388241,4/16/2018 15:21:00,410 37TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.936285,-93.267937,8,Powderhorn,Central,5,Howe,2
-93.302583000005413,44.985078999995885,4012,271118396790,4/16/2018 15:21:00,1710 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985079,-93.302583,5,Near North,Near - North,1,Howe,2
-93.23971999957827,45.016628999828512,4013,271118393880,4/16/2018 15:21:00,2652 BUCHANAN ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016629,-93.23972,1,Northeast,Audubon Park,2,Howe,2
-93.289929000123209,45.048853000165877,4014,271118392257,4/16/2018 15:21:00,5142 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.048853,-93.289929,4,Camden,Lind - Bohanon,1,Howe,2
-93.302320999614381,44.985257000110494,4015,271118396791,4/16/2018 15:22:00,1708 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985257,-93.302321,5,Near North,Near - North,1,Howe,2
-93.30699800035741,45.021833999739329,4016,271118396577,4/16/2018 15:22:00,3640 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.021834,-93.306998,4,Camden,Folwell,1,Howe,2
-93.276841000012084,44.901813000269776,4017,271118389460,4/16/2018 15:23:00,5548 1ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.901813,-93.276841,11,Southwest,Windom,5,Howe,2
-93.255989999838562,45.016786999920164,4018,271118394481,4/16/2018 15:23:00,644 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016787,-93.25599,1,Northeast,Columbia Park,2,Howe,2
-93.285763999608847,44.961208999995392,4019,271118393489,4/16/2018 15:23:00,2120 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961209,-93.285764,10,Powderhorn,Whittier,3,Howe,2
-93.289869000054296,45.050536000436118,4020,271118392258,4/16/2018 15:23:00,5236 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.050536,-93.289869,4,Camden,Lind - Bohanon,1,Howe,2
-93.302381999729448,44.985295000064234,4021,271118396792,4/16/2018 15:24:00,1706 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985295,-93.302382,5,Near North,Near - North,1,Howe,2
-93.255968999769493,45.016767999943276,4022,271118394482,4/16/2018 15:24:00,646 27TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016768,-93.255969,1,Northeast,Holland,2,Howe,2
-93.307033000172794,45.023112000218703,4023,271118396578,4/16/2018 15:24:00,3730 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.023112,-93.307033,4,Camden,Folwell,1,Howe,2
-93.214108000184012,44.934000999846319,4024,271118392976,4/16/2018 15:25:00,3804 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.934001,-93.214108,12,Longfellow,Howe,6,Howe,2
-93.272306000421565,44.935989999838675,4025,271118388242,4/16/2018 15:25:00,230 37TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.93599,-93.272306,8,Powderhorn,Central,5,Howe,2
-93.258609000105253,44.965183999841763,4026,271118392590,4/16/2018 15:25:00,1020 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965184,-93.258609,6,Phillips,Ventura Village,3,Howe,2
-93.302344999821855,44.985266999672369,4027,271118396793,4/16/2018 15:25:00,1708 THOMAS PL,478.1000(b),Snow emergency parking restrictions - even number address,44.985267,-93.302345,5,Near North,Near - North,1,Howe,2
-93.296321999960298,45.018587000189932,4028,271118336917,4/16/2018 15:25:00,1322 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018587,-93.296322,4,Camden,Folwell,1,Howe,2
-93.285810999977627,44.961444000040615,4029,271118393490,4/16/2018 15:25:00,2112 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961444,-93.285811,10,Powderhorn,Whittier,3,Howe,2
-93.289996999661767,45.050822000135263,4030,271118392259,4/16/2018 15:25:00,5246 ALDRICH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.050822,-93.289997,4,Camden,Lind - Bohanon,1,Howe,2
-93.251428999948345,44.952809000235213,4031,271118390642,4/16/2018 15:25:00,2720 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952809,-93.251429,9,Phillips,East Phillips,3,Howe,2
-93.307031000080528,45.023721999570675,4032,271118396579,4/16/2018 15:26:00,3750 OLIVER AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.023722,-93.307031,4,Camden,Folwell,1,Howe,2
-93.251244999557059,44.952657999567066,4033,271118389607,4/16/2018 15:27:00,2726 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952658,-93.251245,9,Phillips,East Phillips,3,Howe,2
-93.259206999803169,45.016291000429362,4034,271118394483,4/16/2018 15:27:00,2644 6TH ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.016291,-93.259207,1,Northeast,Holland,2,Howe,2
-93.285867999908248,44.961760000223876,4035,271118393491,4/16/2018 15:27:00,2100 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.96176,-93.285868,10,Powderhorn,Whittier,3,Howe,2
-93.214926000134767,44.968629999574873,4036,271118393837,4/16/2018 15:28:00,76 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.96863,-93.214926,2,University,Prospect Park - East River Road,4,Howe,2
-93.215057999926728,44.968640000036025,4037,271118386621,4/16/2018 15:28:00,84 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.96864,-93.215058,2,University,Prospect Park - East River Road,4,Howe,2
-93.251305999672127,44.952637000397317,4038,271118389608,4/16/2018 15:29:00,2724 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952637,-93.251306,9,Phillips,East Phillips,3,Howe,2
-93.255793999793241,44.9651720001877,4039,271118392591,4/16/2018 15:29:00,1314 18TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.965172,-93.255794,6,Phillips,Ventura Village,3,Howe,2
-93.307059999619241,44.984955999719645,4040,271118396794,4/16/2018 15:29:00,2010 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984956,-93.30706,5,Near North,Near - North,1,Howe,2
-93.285787999816321,44.962543000359226,4041,271118393492,4/16/2018 15:29:00,2004 HARRIET AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962543,-93.285788,10,Powderhorn,Whittier,3,Howe,2
-93.212659999958987,44.899945999608235,4042,271118388155,4/16/2018 15:29:00,4206 57TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.899946,-93.21266,12,Nokomis,Morris Park,6,Howe,2
-93.213996000415023,44.931237000087549,4043,271118392977,4/16/2018 15:30:00,3940 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.931237,-93.213996,12,Longfellow,Howe,6,Howe,2
-93.251253999972107,44.952670000120456,4044,271118389609,4/16/2018 15:30:00,2724 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.95267,-93.251254,9,Phillips,East Phillips,3,Howe,2
-93.24086300012732,44.964226999776251,4045,271118386560,4/16/2018 15:30:00,2200 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964227,-93.240863,6,Longfellow,Seward,4,Howe,2
-93.215182000249044,44.96853899987503,4046,271118393838,4/16/2018 15:30:00,82 MALCOLM AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.968539,-93.215182,2,University,Prospect Park - East River Road,4,Howe,2
-93.294396000175254,45.000267999868342,4047,271118392156,4/16/2018 15:30:00,1106 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000268,-93.294396,5,Near North,Jordan,1,Howe,2
-93.305963000292195,45.018681000028209,4048,271118336918,4/16/2018 15:30:00,2108 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018681,-93.305963,4,Camden,Folwell,1,Howe,2
-93.259957000215351,45.034926000034943,4049,271118392993,4/16/2018 15:30:00,3658 5TH ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.034926,-93.259957,1,Northeast,Columbia Park,2,Howe,2
-93.214090000253307,44.928461999821486,4050,271118392978,4/16/2018 15:32:00,4130 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.928462,-93.21409,12,Longfellow,Hiawatha,6,Howe,2
-93.29849600039006,44.99308799971147,4051,271118393626,4/16/2018 15:32:00,1404 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993088,-93.298496,5,Near North,Near - North,1,Howe,2
-93.250276999883624,45.014941000227047,4052,271118394484,4/16/2018 15:32:00,810 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.014941,-93.250277,1,Northeast,Holland,2,Howe,2
-93.241194000103008,44.964729000443064,4053,271118386561,4/16/2018 15:33:00,2202 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964729,-93.241194,2,University,Cedar Riverside,4,Howe,2
-93.295201999572612,45.000256000214272,4054,271118392266,4/16/2018 15:33:00,1118 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000256,-93.295202,5,Near North,Jordan,1,Howe,2
-93.291365999840977,45.035475000171175,4055,271118392260,4/16/2018 15:33:00,4416 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.035475,-93.291366,4,Camden,Lind - Bohanon,1,Howe,2
-93.23749400034778,44.89852000039776,4056,271118384350,4/16/2018 15:34:00,5740 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.89852,-93.237494,11,Nokomis,Wenonah,6,Howe,2
-93.327078000049653,44.921554999663549,4057,271118335463,4/16/2018 15:34:00,3710 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921555,-93.327078,13,Southwest,Linden Hills,5,Howe,2
-93.219942000323044,44.970302000237147,4058,271118360626,4/16/2018 15:34:00,2700 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970302,-93.219942,2,University,Prospect Park - East River Road,4,Howe,2
-93.30932099956442,44.984726999951128,4059,271118396795,4/16/2018 15:34:00,2106 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984727,-93.309321,5,Near North,Willard - Hay,1,Howe,2
-93.249813000069878,45.014960000203864,4060,271118394485,4/16/2018 15:34:00,820 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.01496,-93.249813,1,Northeast,Holland,2,Howe,2
-93.291140000210817,45.036335000260117,4061,271118392262,4/16/2018 15:34:00,4422 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.036335,-93.29114,4,Camden,Lind - Bohanon,1,Howe,2
-93.291126999611322,45.036225999730156,4062,271118392261,4/16/2018 15:34:00,4420 BRYANT AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.036226,-93.291127,4,Camden,Lind - Bohanon,1,Howe,2
-93.251467999948204,44.951205000010816,4063,271118390643,4/16/2018 15:34:00,2820 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.951205,-93.251468,9,Phillips,East Phillips,3,Howe,2
-93.214117999745838,44.923362000256127,4064,271118392979,4/16/2018 15:35:00,4400 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.923362,-93.214118,12,Longfellow,Hiawatha,6,Howe,2
-93.219893999908152,44.970327999637504,4065,271118360627,4/16/2018 15:35:00,2702 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970328,-93.219894,2,University,Prospect Park - East River Road,4,Howe,2
-93.309352000094677,44.984769000089329,4066,271118396796,4/16/2018 15:35:00,2110 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984769,-93.309352,5,Near North,Willard - Hay,1,Howe,2
-93.287050999603935,44.962369000429078,4067,271118393493,4/16/2018 15:35:00,2004 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962369,-93.287051,10,Powderhorn,Whittier,3,Howe,2
-93.237491000209445,44.89846200042102,4068,271118384351,4/16/2018 15:36:00,5738 24TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.898462,-93.237491,11,Nokomis,Wenonah,6,Howe,2
-93.270207999899242,44.932420999829318,4069,271118388243,4/16/2018 15:36:00,410 39TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.932421,-93.270208,8,Powderhorn,Bryant,5,Howe,2
-93.309432000186632,44.984634000159026,4070,271118396797,4/16/2018 15:36:00,2116 NORTH FRONTAGE ROAD,478.1000(b),Snow emergency parking restrictions - even number address,44.984634,-93.309432,5,Near North,Willard - Hay,1,Howe,2
-93.295322999756593,45.000216000168329,4071,271118392267,4/16/2018 15:36:00,1120 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000216,-93.295323,5,Near North,Jordan,1,Howe,2
-93.307928000077084,45.018679999982055,4072,271118336919,4/16/2018 15:36:00,2122 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.01868,-93.307928,4,Camden,Folwell,1,Howe,2
-93.213860999585464,44.919958999808046,4073,271118392980,4/16/2018 15:37:00,4554 41ST AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.919959,-93.213861,12,Longfellow,Hiawatha,6,Howe,2
-93.219782000139162,44.970326000444622,4074,271118360628,4/16/2018 15:37:00,2704 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970326,-93.219782,2,University,Prospect Park - East River Road,4,Howe,2
-93.295265999825972,45.000259000352628,4075,271118392268,4/16/2018 15:37:00,1122 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000259,-93.295266,5,Near North,Jordan,1,Howe,2
-93.249629999724675,45.014953999927222,4076,271118394486,4/16/2018 15:37:00,824 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.014954,-93.24963,1,Northeast,Holland,2,Howe,2
-93.292452999606212,45.038121999930404,4077,271118392263,4/16/2018 15:37:00,4552 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038122,-93.292453,4,Camden,Lind - Bohanon,1,Howe,2
-93.270323999852678,44.932442999944556,4078,271118388244,4/16/2018 15:38:00,428 39TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.932443,-93.270324,8,Powderhorn,Bryant,5,Howe,2
-93.249564000278326,45.014949999742726,4079,271118394487,4/16/2018 15:38:00,826 26TH AVE NE,478.1000(b),Snow emergency parking restrictions - even number address,45.01495,-93.249564,1,Northeast,Holland,2,Howe,2
-93.305401999602566,44.993124999619113,4080,271118393627,4/16/2018 15:39:00,1924 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993125,-93.305402,5,Near North,Willard - Hay,1,Howe,2
-93.287062000111177,44.962192000360574,4081,271118393494,4/16/2018 15:39:00,2012 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.962192,-93.287062,10,Powderhorn,Whittier,3,Howe,2
-93.292407000182891,45.038640000435734,4082,271118392264,4/16/2018 15:39:00,4602 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03864,-93.292407,4,Camden,Lind - Bohanon,1,Howe,2
-93.222545999897932,44.90468999984369,4083,271118388156,4/16/2018 15:39:00,3406 BOARDMAN ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.90469,-93.222546,12,Nokomis,Morris Park,6,Howe,2
-93.219458999633105,44.970241000122087,4084,271118360629,4/16/2018 15:41:00,2716 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970241,-93.219459,2,University,Prospect Park - East River Road,4,Howe,2
-93.305505999901925,44.993163999618957,4085,271118393628,4/16/2018 15:41:00,1922 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993164,-93.305506,5,Near North,Willard - Hay,1,Howe,2
-93.290262000191092,45.0002360001913,4086,271118392269,4/16/2018 15:41:00,816 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000236,-93.290262,5,Near North,Hawthorne,1,Howe,2
-93.242218999707006,45.032026000299709,4087,271118393881,4/16/2018 15:41:00,3524 PIERCE ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.032026,-93.242219,1,Northeast,Waite Park,2,Howe,2
-93.287051999650018,44.962119999738263,4088,271118393495,4/16/2018 15:41:00,2014 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.96212,-93.287052,10,Powderhorn,Whittier,3,Howe,2
-93.292479999951965,45.038704999835943,4089,271118392265,4/16/2018 15:41:00,4606 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038705,-93.29248,4,Camden,Lind - Bohanon,1,Howe,2
-93.251467999948204,44.949420000432717,4090,271118390644,4/16/2018 15:41:00,2920 16TH AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.94942,-93.251468,9,Phillips,East Phillips,3,Howe,2
-93.3176549998783,44.923181000003183,4091,271118360342,4/16/2018 15:42:00,4400 WASHBURN AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.923181,-93.317655,13,Southwest,Linden Hills,5,Howe,2
-93.292452999606212,45.038815999558778,4092,271118393647,4/16/2018 15:42:00,4610 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038816,-93.292453,4,Camden,Lind - Bohanon,1,Howe,2
-93.28702700029578,44.961901000430878,4093,271118393496,4/16/2018 15:42:00,2020 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961901,-93.287027,10,Powderhorn,Whittier,3,Howe,2
-93.312261000244931,44.986128999853513,4094,271118396798,4/16/2018 15:43:00,2502 8TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.986129,-93.312261,5,Near North,Willard - Hay,1,Howe,2
-93.308655000327974,45.018667000281866,4095,271118336920,4/16/2018 15:43:00,2206 35TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.018667,-93.308655,4,Camden,Cleveland,1,Howe,2
-93.263868999854424,45.035278000079693,4096,271118392994,4/16/2018 15:43:00,3654 3RD ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.035278,-93.263869,1,Northeast,Columbia Park,2,Howe,2
-93.325768999939385,44.921538999825032,4097,271118335464,4/16/2018 15:44:00,3602 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921539,-93.325769,13,Southwest,Linden Hills,5,Howe,2
-93.240756999735709,44.964188999822511,4098,271118386562,4/16/2018 15:44:00,2204 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964189,-93.240757,6,Longfellow,Seward,4,Howe,2
-93.21534499967197,44.970141000007168,4099,271118393839,4/16/2018 15:44:00,18 ARTHUR AVE SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970141,-93.215345,2,University,Prospect Park - East River Road,4,Howe,2
-93.219316000233164,44.970230999660942,4100,271118360630,4/16/2018 15:44:00,2718 ESSEX ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.970231,-93.219316,2,University,Prospect Park - East River Road,4,Howe,2
-93.312340000290774,44.986160000383776,4101,271118396799,4/16/2018 15:44:00,2502 8TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.98616,-93.31234,5,Near North,Willard - Hay,1,Howe,2
-93.290295999960392,45.000223999637903,4102,271118392270,4/16/2018 15:44:00,810 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000224,-93.290296,5,Near North,Hawthorne,1,Howe,2
-93.292417999790828,45.038990000388239,4103,271118393649,4/16/2018 15:44:00,4616 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03899,-93.292418,4,Camden,Lind - Bohanon,1,Howe,2
-93.292466000205707,45.038925000088739,4104,271118393648,4/16/2018 15:44:00,4614 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.038925,-93.292466,4,Camden,Lind - Bohanon,1,Howe,2
-93.270127999807301,44.93065400018201,4105,271118388245,4/16/2018 15:45:00,410 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930654,-93.270128,8,Powderhorn,Bryant,5,Howe,2
-93.287071999673003,44.961608000408944,4106,271118393497,4/16/2018 15:45:00,2106 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961608,-93.287072,10,Powderhorn,Whittier,3,Howe,2
-93.240239000129691,44.964021000169055,4107,271118386563,4/16/2018 15:46:00,2208 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.964021,-93.240239,6,Longfellow,Seward,4,Howe,2
-93.307601000285899,44.993252000079785,4108,271118393629,4/16/2018 15:46:00,2106 14TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.993252,-93.307601,5,Near North,Willard - Hay,1,Howe,2
-93.290044000030548,45.000252000029825,4109,271118392271,4/16/2018 15:46:00,808 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000252,-93.290044,5,Near North,Hawthorne,1,Howe,2
-93.270156000199236,44.930906000111854,4110,271118388246,4/16/2018 15:47:00,340 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930906,-93.270156,8,Powderhorn,Bryant,5,Howe,2
-93.287053999742284,44.961536999832724,4111,271118393498,4/16/2018 15:47:00,2108 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.961537,-93.287054,10,Powderhorn,Whittier,3,Howe,2
-93.290001999892354,45.000209999891638,4112,271118392272,4/16/2018 15:48:00,806 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.00021,-93.290002,5,Near North,Hawthorne,1,Howe,2
-93.292450000367182,45.040083999576957,4113,271118393650,4/16/2018 15:48:00,4658 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.040084,-93.29245,4,Camden,Lind - Bohanon,1,Howe,2
-93.317679000085775,44.92169799996276,4114,271118360343,4/16/2018 15:49:00,4448 WASHBURN AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.921698,-93.317679,13,Southwest,Linden Hills,5,Howe,2
-93.212761000119983,44.966149000276175,4115,271118393840,4/16/2018 15:49:00,112 SEYMOUR AVE,478.1000(b),Snow emergency parking restrictions - even number address,44.966149,-93.212761,2,University,Prospect Park - East River Road,4,Howe,2
-93.271576000032326,44.930531999951867,4116,271118388247,4/16/2018 15:50:00,328 40TH ST E,478.1000(b),Snow emergency parking restrictions - even number address,44.930532,-93.271576,8,Powderhorn,Bryant,5,Howe,2
-93.28992299984651,45.000200000329805,4117,271118392273,4/16/2018 15:50:00,806 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.0002,-93.289923,5,Near North,Hawthorne,1,Howe,2
-93.266388000006145,45.034689999943623,4118,271118392995,4/16/2018 15:50:00,3632 2ND ST NE,478.1000(b),Snow emergency parking restrictions - even number address,45.03469,-93.266388,1,Northeast,Columbia Park,2,Howe,2
-93.315386999610325,44.921533000447646,4119,271118335465,4/16/2018 15:51:00,2806 45TH ST W,478.1000(b),Snow emergency parking restrictions - even number address,44.921533,-93.315387,13,Southwest,Linden Hills,5,Howe,2
-93.240714999597515,44.963891999616131,4120,271118386564,4/16/2018 15:51:00,2210 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.963892,-93.240715,6,Longfellow,Seward,4,Howe,2
-93.292433999629338,45.04102499980393,4121,271118393651,4/16/2018 15:51:00,4724 COLFAX AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.041025,-93.292434,4,Camden,Lind - Bohanon,1,Howe,2
-93.287069000433974,44.954523000136419,4122,271118393499,4/16/2018 15:51:00,2628 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.954523,-93.287069,10,Powderhorn,Whittier,3,Howe,2
-93.312956999965536,45.020486999675363,4123,271118336921,4/16/2018 15:52:00,2520 36TH AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.020487,-93.312957,4,Camden,Cleveland,1,Howe,2
-93.240513000174744,44.963987000399804,4124,271118386565,4/16/2018 15:53:00,2214 BUTLER PL,478.1000(b),Snow emergency parking restrictions - even number address,44.963987,-93.240513,6,Longfellow,Seward,4,Howe,2
-93.309000000049934,44.987917999616052,4125,271118396800,4/16/2018 15:53:00,2210 OAK PARK AVE N,478.1000(b),Snow emergency parking restrictions - even number address,44.987918,-93.309,5,Near North,Willard - Hay,1,Howe,2
-93.288441999898339,45.000208999845547,4126,271118392274,4/16/2018 15:53:00,702 21ST AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.000209,-93.288442,5,Near North,Hawthorne,1,Howe,2
-93.299580000016931,45.035010000311331,4127,271118396580,4/16/2018 15:53:00,4352 IRVING AVE N,478.1000(b),Snow emergency parking restrictions - even number address,45.03501,-93.29958,4,Camden,Webber - Camden,1,Howe,2
-93.28710999962675,44.952736999612902,4128,271118393500,4/16/2018 15:53:00,2732 GARFIELD AVE S,478.1000(b),Snow emergency parking restrictions - even number address,44.952737,-93.28711,10,Powderhorn,Whittier,3,Howe,2
-93.224324000052547,44.969891000169575,4129,271118360631,4/16/2018 15:54:00,608 ERIE ST SE,478.1000(b),Snow emergency parking restrictions - even number address,44.969891,-93.224324,2,University,Prospect Park - East River Road,4,Howe,2
