X,Y,OBJECTID,Call_Taken,Tow_Reason,Location,Latitude,Longitude,Ward,Community,Neighborho,Tow_Zone,Day,Snow_Emerg
-93.270485000082658,44.921363999848779,12,03/10/2019 10:06pm,Snow Emergency,"4500 block of 4th ave s,Minneapolis,MN",44.921364,-93.270485,8,Nokomis,Regina,5,1,Diamond Lake
-93.28023700013739,45.005802999708749,13,03/10/2019 10:06pm,Snow Emergency,"2552 2 St N,Minneapolis,MN",45.005803,-93.280237,5,Near North,Hawthorne,1,1,Diamond Lake
-93.279867000161914,44.993076000057385,14,03/10/2019 10:11pm,Snow Emergency,"1348 2nd st n,Minneapolis,MN",44.993076,-93.279867,5,Near North,Near - North,1,1,Diamond Lake
-93.283101000011129,44.967553000270811,15,03/10/2019 10:11pm,Snow Emergency,"315 15th st w,Minneapolis,MN",44.967553,-93.283101,7,Central,Loring Park,3,1,Diamond Lake
-93.237116000003368,45.031267000371827,16,03/10/2019 10:13pm,Snow Emergency,"3498 Johnson St. Ne,Minneapolis,MN",45.031267,-93.237116,1,Northeast,Waite Park,2,1,Diamond Lake
-93.277819000146678,44.98964600016285,17,03/10/2019 10:20pm,Snow Emergency,"815 2ND ST N,Minneapolis,MN",44.989646,-93.277819,3,Central,North Loop,1,1,Diamond Lake
-93.253780999593403,45.001149000026373,18,03/10/2019 10:20pm,Snow Emergency,"679 13th ave ne,Minneapolis,MN",45.001149,-93.253781,1,Northeast,Logan Park,2,1,Diamond Lake
-93.262882000204115,44.94462100035895,19,03/10/2019 10:21pm,Snow Emergency,"3200 CHICAGO AVE S,Minneapolis,MN",44.944621,-93.262882,9,Powderhorn,Central,5,1,Diamond Lake
-93.280516000413058,45.004838000173606,20,03/10/2019 10:22pm,Snow Emergency,"2501 2nd st n ,Minneapolis,MN",45.004838,-93.280516,5,Near North,Hawthorne,1,1,Diamond Lake
-93.262979000180678,44.945631000170579,21,03/10/2019 10:22pm,Snow Emergency,"3132 Chicago Ave S,Minneapolis,MN",44.945631,-93.262979,9,Powderhorn,Central,5,1,Diamond Lake
-93.278566999567317,44.96771999987817,22,03/10/2019 10:24pm,Snow Emergency,"OAK GROVE ST / 15TH AVE W,Minneapolis,MN",44.96772,-93.278567,7,Central,Loring Park,3,1,Diamond Lake
-93.276100000014935,44.988389999798699,23,03/10/2019 10:25pm,Snow Emergency,"701 2 st N,Minneapolis,MN",44.98839,-93.2761,3,Central,North Loop,1,1,Diamond Lake
-93.247130999595925,44.984731000135582,24,03/10/2019 10:25pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.283857999846759,44.967767000246909,25,03/10/2019 10:26pm,Snow Emergency,"329 15TH ST W,Minneapolis,MN",44.967767,-93.283858,7,Central,Loring Park,3,1,Diamond Lake
-93.255882000254076,45.001114000210976,26,03/10/2019 10:28pm,Snow Emergency,"641 13th ave Ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.288036000061311,45.01670799987437,27,03/10/2019 10:29pm,Snow Emergency,"3400 lyndale av no,Minneapolis,MN",45.016708,-93.288036,4,Camden,McKinley,1,1,Diamond Lake
-93.262940000180834,44.941224000187503,28,03/10/2019 10:29pm,Snow Emergency,"3400 CHICAGO AVE S,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Diamond Lake
-93.247130999595925,44.984731000135582,29,03/10/2019 10:30pm,Snow Emergency,"592 4TH ST SE,Minneapolis,MN",44.984731,-93.247131,3,University,Marcy Holmes,4,1,Diamond Lake
-93.255882000254076,45.001114000210976,30,03/10/2019 10:32pm,Snow Emergency,"641 13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.274511999629055,44.98761299994004,31,03/10/2019 10:33pm,Snow Emergency,"561 2ND ST N,Minneapolis,MN",44.987613,-93.274512,3,Central,North Loop,1,1,Diamond Lake
-93.275506999648258,44.988763999958678,32,03/10/2019 10:34pm,Snow Emergency,"680 2nd st n,Minneapolis,MN",44.988764,-93.275507,3,Central,North Loop,1,1,Diamond Lake
-93.281324999948765,44.967894999854423,33,03/10/2019 10:35pm,Snow Emergency,"200 15TH ST E,Minneapolis,MN",44.967895,-93.281325,7,Central,Loring Park,3,1,Diamond Lake
-93.273264999679952,44.986357999622044,34,03/10/2019 10:40pm,Snow Emergency,"401 2ND ST N,Minneapolis,MN",44.986358,-93.273265,3,Central,North Loop,3,1,Diamond Lake
-93.281655999924396,44.968031999876928,35,03/10/2019 10:45pm,Snow Emergency,"214 15th st w ,Minneapolis,MN",44.968032,-93.281656,7,Central,Loring Park,3,1,Diamond Lake
-93.271381000033102,44.985819999993055,36,03/10/2019 10:47pm,Snow Emergency,"310 2ND ST N,Minneapolis,MN",44.98582,-93.271381,3,Central,North Loop,3,1,Diamond Lake
-93.248214000076018,44.98449600009036,37,03/10/2019 10:47pm,Snow Emergency,"513 UNIVERSITY AVE SE,Minneapolis,MN",44.984496,-93.248214,3,University,Marcy Holmes,4,1,Diamond Lake
-93.288021000268884,45.013111000372419,38,03/10/2019 10:49pm,Snow Emergency,"3200 lyndale ave n,Minneapolis,MN",45.013111,-93.288021,4,Camden,McKinley,1,1,Diamond Lake
-93.251080000041952,44.985284999603095,39,03/10/2019 10:50pm,Snow Emergency,"323 University Ave se,Minneapolis,MN",44.985285,-93.25108,3,University,Marcy Holmes,4,1,Diamond Lake
-93.255882000254076,45.001114000210976,40,03/10/2019 10:51pm,Snow Emergency,"641-665 13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.262940000180834,44.941224000187503,41,03/10/2019 10:52pm,Snow Emergency,"3400 Chicago Ave,Minneapolis,MN",44.941224,-93.26294,9,Powderhorn,Central,5,1,Diamond Lake
-93.287759999924049,45.018627000235938,42,03/10/2019 10:53pm,Snow Emergency,"3500 lyndale ave n,Minneapolis,MN",45.018627,-93.28776,4,Camden,McKinley,1,1,Diamond Lake
-93.281324999948765,44.967894999854423,43,03/10/2019 10:55pm,Snow Emergency,"200 15 st w,Minneapolis,MN",44.967895,-93.281325,7,Central,Loring Park,3,1,Diamond Lake
-93.255882000254076,45.001114000210976,44,03/10/2019 10:55pm,Snow Emergency,"641-665-13th ave ne,Minneapolis,MN",45.001114,-93.255882,1,Northeast,Logan Park,2,1,Diamond Lake
-93.287788000315913,45.02231100015257,45,03/10/2019 10:57pm,Snow Emergency,"3700 lyndale av n ,Minneapolis,MN",45.022311,-93.287788,4,Camden,McKinley,1,1,Diamond Lake
-93.28056199983638,44.967610000201375,46,03/10/2019 10:57pm,Snow Emergency,"127 w 15th st,Minneapolis,MN",44.96761,-93.280562,7,Central,Loring Park,3,1,Diamond Lake
-93.280654999628496,44.967600999786384,47,03/10/2019 10:59pm,Snow Emergency,"129 15TH ST E,Minneapolis,MN",44.967601,-93.280655,7,Central,Loring Park,3,1,Diamond Lake
-93.294725000058691,44.951578000124641,48,03/10/2019 10:59pm,Snow Emergency,"2800 emerson av s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.268559000297614,45.000776999958646,49,03/10/2019 11:00pm,Snow Emergency,"139 13th ave NE,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.287771999578069,45.02044999976772,50,03/10/2019 11:01pm,Snow Emergency,"3600 Lyndale Ave N,Minneapolis,MN",45.02045,-93.287772,4,Camden,McKinley,1,1,Diamond Lake
-93.268559000297614,45.000776999958646,51,03/10/2019 11:02pm,Snow Emergency,"139 13TH AVE NE,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.270206999853144,44.939551000378401,52,03/10/2019 11:02pm,Snow Emergency,"3500 block of 4th Ave S,Minneapolis,MN",44.939551,-93.270207,9,Powderhorn,Central,5,1,Diamond Lake
-93.270642000128191,44.914141999553692,53,03/10/2019 11:04pm,Snow Emergency,"4900 block of 4th ave s,Minneapolis,MN",44.914142,-93.270642,8,Nokomis,Field,5,1,Diamond Lake
-93.274511999629055,44.98761299994004,54,03/10/2019 11:04pm,Snow Emergency,"561 2ND ST N,Minneapolis,MN",44.987613,-93.274512,3,Central,North Loop,1,1,Diamond Lake
-93.281511000432261,44.967453000155899,55,03/10/2019 11:06pm,Snow Emergency,"209 15th st w ,Minneapolis,MN",44.967453,-93.281511,7,Central,Loring Park,3,1,Diamond Lake
-93.270206999853144,44.939551000378401,56,03/10/2019 11:07pm,Snow Emergency,"3500 block of 4th ave s,Minneapolis,MN",44.939551,-93.270207,9,Powderhorn,Central,5,1,Diamond Lake
-93.273697999862748,44.98787799957006,57,03/10/2019 11:08pm,Snow Emergency,"562 2nd st n,Minneapolis,MN",44.987878,-93.273698,3,Central,North Loop,1,1,Diamond Lake
-93.262173999930098,44.931570000155432,58,03/10/2019 11:08pm,Snow Emergency,"3923 Chicago Avenue S,Minneapolis,MN",44.93157,-93.262174,8,Powderhorn,Bancroft,6,1,Diamond Lake
-93.263410000271278,44.932026999646382,59,03/10/2019 11:08pm,Snow Emergency,"3900 Chicago,Minneapolis,MN",44.932027,-93.26341,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.270024999554039,45.000092999892104,60,03/10/2019 11:09pm,Snow Emergency,"99 13th ave ne,Minneapolis,MN",45.000093,-93.270025,3,Northeast,Sheridan,2,1,Diamond Lake
-93.294725000058691,44.951578000124641,61,03/10/2019 11:10pm,Snow Emergency,"2800 Emerson ave s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.270141000406795,44.926817000404299,62,03/10/2019 11:10pm,Snow Emergency,"4200 4TH AVE S,Minneapolis,MN",44.926817,-93.270141,8,Nokomis,Regina,5,1,Diamond Lake
-93.24615999978414,44.983705999632207,63,03/10/2019 11:11pm,Snow Emergency,"665 university ave se,Minneapolis,MN",44.983706,-93.24616,3,University,Marcy Holmes,4,1,Diamond Lake
-93.321446000232697,44.923340000140968,64,03/10/2019 11:13pm,Snow Emergency,"4398 - 4300 Zenith Ave S,Minneapolis,MN",44.92334,-93.321446,13,Southwest,Linden Hills,5,1,Diamond Lake
-93.270485000082658,44.921363999848779,65,03/10/2019 11:14pm,Snow Emergency,"4500 BLOCK 4th Ave. S. ,Minneapolis,MN",44.921364,-93.270485,8,Nokomis,Regina,5,1,Diamond Lake
-93.253780999593403,45.001149000026373,66,03/10/2019 11:14pm,Snow Emergency,"679 13th ave ne,Minneapolis,MN",45.001149,-93.253781,1,Northeast,Logan Park,2,1,Diamond Lake
-93.262873999835165,44.933959999754222,67,03/10/2019 11:15pm,Snow Emergency,"3800 Chicago ave,Minneapolis,MN",44.93396,-93.262874,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.245862999577753,44.983485000232633,68,03/10/2019 11:16pm,Snow Emergency,"701 university ave se,Minneapolis,MN",44.983485,-93.245863,3,University,Marcy Holmes,4,1,Diamond Lake
-93.262873999835165,44.933959999754222,69,03/10/2019 11:16pm,Snow Emergency,"3800 Chicago ave s,Minneapolis,MN",44.93396,-93.262874,8,Powderhorn,Bryant,5,1,Diamond Lake
-93.262882000204115,44.94462100035895,70,03/10/2019 11:18pm,Snow Emergency,"3200 Chicago ,Minneapolis,MN",44.944621,-93.262882,9,Powderhorn,Central,5,1,Diamond Lake
-93.262689000297087,44.948356999975601,71,03/10/2019 11:20pm,Snow Emergency,"3000 Chicago ave s,Minneapolis,MN",44.948357,-93.262689,6,Phillips,Phillips West,3,1,Diamond Lake
-93.271303000033413,45.000018000030707,72,03/10/2019 11:22pm,Snow Emergency,"71-99 13th ave ne,Minneapolis,MN",45.000018,-93.271303,3,Northeast,Sheridan,2,1,Diamond Lake
-93.237319000371542,44.980117999646041,73,03/10/2019 11:23pm,Snow Emergency,"1301 University Ave Se,Minneapolis,MN",44.980118,-93.237319,3,University,Marcy Holmes,4,1,Diamond Lake
-93.268698000412371,44.968300999691451,74,03/10/2019 11:24pm,Snow Emergency,"500 e 15th,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.247287999641458,44.984046000022943,75,03/10/2019 11:26pm,Snow Emergency,"601 university ave se,Minneapolis,MN",44.984046,-93.247288,3,University,Marcy Holmes,4,1,Diamond Lake
-93.268698000412371,44.968300999691451,76,03/10/2019 11:26pm,Snow Emergency,"500 15th st e ,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.245495999740569,44.98340300004844,77,03/10/2019 11:27pm,Snow Emergency,"711 University Ave se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.232567999813284,44.909987000399781,78,03/10/2019 11:27pm,Snow Emergency,"5126 28th ave,Minneapolis,MN",44.909987,-93.232568,11,Nokomis,Keewaydin,6,1,Diamond Lake
-93.312244000360295,44.991736000316223,79,03/10/2019 11:30pm,Snow Emergency,"2500 PLYMOUTH AVE N,Minneapolis,MN",44.991736,-93.312244,5,Near North,Willard - Hay,1,1,Diamond Lake
-93.294725000058691,44.951578000124641,80,03/10/2019 11:30pm,Snow Emergency,"2800 BLOCK OF EMERSON AVE S,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.287788000315913,45.02231100015257,81,03/10/2019 11:31pm,Snow Emergency,"3700 LYNDALE AVE N ,Minneapolis,MN",45.022311,-93.287788,4,Camden,McKinley,1,1,Diamond Lake
-93.287775999762516,45.027711000062652,82,03/10/2019 11:31pm,Snow Emergency,"4000 Lyndale Ave N,Minneapolis,MN",45.027711,-93.287776,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.262192999906972,44.92623000031432,83,03/10/2019 11:33pm,Snow Emergency,"4221 Chicago,Minneapolis,MN",44.92623,-93.262193,8,Nokomis,Northrop,6,1,Diamond Lake
-93.262901000180989,44.923621999655609,84,03/10/2019 11:34pm,Snow Emergency,"4350 Chicago Avenue South,Minneapolis,MN",44.923622,-93.262901,8,Nokomis,Regina,5,1,Diamond Lake
-93.271381000033102,44.985819999993055,85,03/10/2019 11:34pm,Snow Emergency,"310 2ND ST N,Minneapolis,MN",44.98582,-93.271381,3,Central,North Loop,3,1,Diamond Lake
-93.245495999740569,44.98340300004844,86,03/10/2019 11:36pm,Snow Emergency,"711 university se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.287795999785544,45.024097999822914,87,03/10/2019 11:38pm,Snow Emergency,"3800-3899 lyndale ave n ,Minneapolis,MN",45.024098,-93.287796,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.268698000412371,44.968300999691451,88,03/10/2019 11:38pm,Snow Emergency,"500 15TH ST E,Minneapolis,MN",44.968301,-93.268698,7,Central,Elliot Park,3,1,Diamond Lake
-93.245495999740569,44.98340300004844,89,03/10/2019 11:39pm,Snow Emergency,"711 university se,Minneapolis,MN",44.983403,-93.245496,3,University,Marcy Holmes,4,1,Diamond Lake
-93.268559000297614,45.000776999958646,90,03/10/2019 11:39pm,Snow Emergency,"139 13th ave ne,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.294481999644518,44.950062000361072,91,03/10/2019 11:41pm,Snow Emergency,"2900 emerson av s,Minneapolis,MN",44.950062,-93.294482,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.279335999956402,44.967716999739821,92,03/10/2019 11:42pm,Snow Emergency,"15th st and lasalle ,Minneapolis,MN",44.967717,-93.279336,7,Central,Loring Park,3,1,Diamond Lake
-93.231641000231946,44.97785499960861,93,03/10/2019 11:42pm,Snow Emergency,"1711 university ave,Minneapolis,MN",44.977855,-93.231641,2,University,University of Minnesota,4,1,Diamond Lake
-93.287775999762516,45.027711000062652,94,03/10/2019 11:44pm,Snow Emergency,"4000-4098 lyndale ave n ,Minneapolis,MN",45.027711,-93.287776,4,Camden,Webber - Camden,1,1,Diamond Lake
-93.268958999857944,45.00063199956719,95,03/10/2019 11:44pm,Snow Emergency,"125 13th ave ne ,Minneapolis,MN",45.000632,-93.268959,3,Northeast,Sheridan,2,1,Diamond Lake
-93.286358000021664,45.041045999873063,96,03/10/2019 11:45pm,Snow Emergency,"4698 Lyndale Ave n,Minneapolis,MN",45.041046,-93.286358,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.286358000021664,45.041045999873063,97,03/10/2019 11:47pm,Snow Emergency,"4698 Lyndale Ave n,Minneapolis,MN",45.041046,-93.286358,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.26850599965212,44.968261999691606,98,03/10/2019 11:49pm,Snow Emergency,"508 15st e,Minneapolis,MN",44.968262,-93.268506,7,Central,Elliot Park,3,1,Diamond Lake
-93.268559000297614,45.000776999958646,99,03/10/2019 11:49pm,Snow Emergency,"139 13th ave ne,Minneapolis,MN",45.000777,-93.268559,3,Northeast,Sheridan,2,1,Diamond Lake
-93.281511000432261,44.967453000155899,100,03/10/2019 11:51pm,Snow Emergency,"209 w 15th st ,Minneapolis,MN",44.967453,-93.281511,7,Central,Loring Park,3,1,Diamond Lake
-93.262852999766096,45.005698000262555,101,03/10/2019 11:51pm,Snow Emergency,"1711 university ne,Minneapolis,MN",45.005698,-93.262853,1,Northeast,Holland,2,1,Diamond Lake
-93.226933999904134,44.987830000054487,102,03/10/2019 11:53pm,Snow Emergency,"1001 18th ave se,Minneapolis,MN",44.98783,-93.226934,1,University,Como,4,1,Diamond Lake
-93.263499999925045,45.005829000008418,103,03/10/2019 11:55pm,Snow Emergency,"1712 university ave Ne,Minneapolis,MN",45.005829,-93.2635,3,Northeast,Bottineau,2,1,Diamond Lake
-93.286223000091354,45.038465999606274,104,03/10/2019 11:57pm,Snow Emergency,"4600 lyndale av no ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.286836999627781,45.038737000412311,105,03/10/2019 11:59pm,Snow Emergency,"4608 Lyndale Ave N,Minneapolis,MN",45.038737,-93.286837,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.27028900003728,44.948332999768184,106,03/11/2019 12:02am,Snow Emergency,"3000 block of 4th ave s,Minneapolis,MN",44.948333,-93.270289,9,Powderhorn,Central,5,1,Diamond Lake
-93.265021999965313,44.967986999600384,107,03/11/2019 12:03am,Snow Emergency,"15th st e park ave s,Minneapolis,MN",44.967987,-93.265022,6,Central,Elliot Park,3,1,Diamond Lake
-93.262597999697903,44.919684999762978,108,03/11/2019 12:03am,Snow Emergency,"4601 Chicago Avenue,Minneapolis,MN",44.919685,-93.262598,11,Nokomis,Field,5,1,Diamond Lake
-93.26641200021362,44.967885000292597,109,03/11/2019 12:03am,Snow Emergency,"623 E 15TH ST,Minneapolis,MN",44.967885,-93.266412,6,Central,Elliot Park,3,1,Diamond Lake
-93.267661000254918,44.9680570001305,110,03/11/2019 12:06am,Snow Emergency,"Portland ave / 15st e ,Minneapolis,MN",44.968057,-93.267661,6,Central,Elliot Park,3,1,Diamond Lake
-93.230987999796298,44.977352999841116,111,03/11/2019 12:06am,Snow Emergency,"311 18th ave se,Minneapolis,MN",44.977353,-93.230988,2,University,University of Minnesota,4,1,Diamond Lake
-93.270524000082503,44.9447970003813,112,03/11/2019 12:07am,Snow Emergency,"3200 block of 4th ave s,Minneapolis,MN",44.944797,-93.270524,9,Powderhorn,Central,5,1,Diamond Lake
-93.262901000180989,44.916002999938542,113,03/11/2019 12:08am,Snow Emergency,"4800 Chicago,Minneapolis,MN",44.916003,-93.262901,8,Nokomis,Field,5,1,Diamond Lake
-93.294725000058691,44.951578000124641,114,03/11/2019 12:08am,Snow Emergency,"2800 emerson av s,Minneapolis,MN",44.951578,-93.294725,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.230793999843172,44.977600999586514,115,03/11/2019 12:09am,Snow Emergency,"365 18TH AVE SE,Minneapolis,MN",44.977601,-93.230794,2,University,University of Minnesota,4,1,Diamond Lake
-93.313530000309242,44.991753000200845,116,03/11/2019 12:09am,Snow Emergency,"2600 plymouth ave n,Minneapolis,MN",44.991753,-93.31353,5,Near North,Willard - Hay,1,1,Diamond Lake
-93.26286100013499,44.9238779997699,117,03/11/2019 12:11am,Snow Emergency,"4340 Chicago Ave S,Minneapolis,MN",44.923878,-93.262861,8,Nokomis,Regina,5,1,Diamond Lake
-93.252433000382609,44.939571000401372,118,03/11/2019 12:13am,Snow Emergency,"3498 bloomington ave,Minneapolis,MN",44.939571,-93.252433,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.252646000312609,44.941225000233601,119,03/11/2019 12:13am,Snow Emergency,"3400 BLOOMINGTON AVE S,Minneapolis,MN",44.941225,-93.252646,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.286223000091354,45.038465999606274,120,03/11/2019 12:14am,Snow Emergency,"4600-4698 lyndale ave n ,Minneapolis,MN",45.038466,-93.286223,4,Camden,Camden Industrial,1,1,Diamond Lake
-93.265021999965313,44.967986999600384,121,03/11/2019 12:15am,Snow Emergency,"15th St E & Park Ave S,Minneapolis,MN",44.967987,-93.265022,6,Central,Elliot Park,3,1,Diamond Lake
-93.252646000312609,44.941225000233601,122,03/11/2019 12:16am,Snow Emergency,"3400 Bloomington ,Minneapolis,MN",44.941225,-93.252646,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.252089999853581,44.942533000297772,123,03/11/2019 12:18am,Snow Emergency,"3311 BLOOMINGTON AVE S,Minneapolis,MN",44.942533,-93.25209,9,Powderhorn,Powderhorn Park,6,1,Diamond Lake
-93.291205999657109,45.038633000112895,124,03/11/2019 12:18am,Snow Emergency,"4600 BLOCK BRYANT AVE N,Minneapolis,MN",45.038633,-93.291206,4,Camden,Lind - Bohanon,1,1,Diamond Lake
-93.276575000335981,44.978631000320433,125,03/11/2019 12:24am,Snow Emergency,"706 1st ave n,Minneapolis,MN",44.978631,-93.276575,7,Central,Downtown West,3,1,Diamond Lake
-93.278642000328034,44.967897999992772,126,03/11/2019 12:26am,Snow Emergency,"W 15th st west of lasalle ave,Minneapolis,MN",44.967898,-93.278642,7,Central,Loring Park,3,1,Diamond Lake
-93.274919000411501,44.989145999588288,127,03/11/2019 12:27am,Snow Emergency,"675 1st st n,Minneapolis,MN",44.989146,-93.274919,3,Central,North Loop,1,1,Diamond Lake
-93.293671000016616,44.951237999733962,128,03/11/2019 12:27am,Snow Emergency,"2800 BLOCK OF DUPONT AV S,Minneapolis,MN",44.951238,-93.293671,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.220264999929782,44.966392999837126,129,03/11/2019 12:28am,Snow Emergency,"46-98 27th Ave se,Minneapolis,MN",44.966393,-93.220265,2,University,Prospect Park - East River Road,4,1,Diamond Lake
-93.293798999624073,44.951192000310641,130,03/11/2019 12:29am,Snow Emergency,"2820 Dupont Avenue s,Minneapolis,MN",44.951192,-93.293799,10,Calhoun Isle,Lowry Hill East,3,1,Diamond Lake
-93.252075000061154,44.91944000015593,131,03/11/2019 12:34am,Snow Emergency,"4601 Bloomington ave s,Minneapolis,MN",44.91944,-93.252075,11,Nokomis,Northrop,6,1,Diamond Lake
-93.291119000141691,45.036846999589386,132,03/11/2019 12:37am,Snow Emergency,"4500 Bryant Ave N,Minneapolis,MN",45.036847,-93.291119,4,Camden,Lind - Bohanon,1,1,Diamond Lake
-93.262802000112174,44.924991999880945,133,03/11/2019 12:37am,Snow Emergency,"4300 Chicago ave s,Minneapolis,MN",44.924992,-93.262802,8,Nokomis,Regina,5,1,Diamond Lake
-93.26789100006954,44.984581000412902,134,03/11/2019 12:37am,Snow Emergency,"100 block/1st Ave SE,Minneapolis,MN",44.984581,-93.267891,3,Central,North Loop,3,1,Diamond Lake
-93.280445999882943,44.988805000050775,135,03/11/2019 12:38am,Snow Emergency,"800 3RD ST N,Minneapolis,MN",44.988805,-93.280446,3,Central,North Loop,1,1,Diamond Lake
-93.262545999997883,44.967994999969335,136,03/11/2019 12:42am,Snow Emergency,"15th and Chicago ,Minneapolis,MN",44.967995,-93.262546,6,Central,Elliot Park,3,1,Diamond Lake
-93.266854999958241,44.968309000060344,137,03/11/2019 12:43am,Snow Emergency,"610 15TH ST E,Minneapolis,MN",44.968309,-93.266855,7,Central,Elliot Park,3,1,Diamond Lake
-93.266854999958241,44.968309000060344,138,03/11/2019 12:45am,Snow Emergency,"610 15 st e,Minneapolis,MN",44.968309,-93.266855,7,Central,Elliot Park,3,1,Diamond Lake
-93.220776000112267,44.971906999608393,139,03/11/2019 12:46am,Snow Emergency,"2600 Delaware St SE,Minneapolis,MN",44.971907,-93.220776,2,University,Prospect Park - East River Road,4,1,Diamond Lake
-93.279043999980559,44.987934000353903,140,03/11/2019 12:46am,Snow Emergency,"748 3 ST N,Minneapolis,MN",44.987934,-93.279044,3,Central,North Loop,1,1,Diamond Lake
-93.252843000404084,44.926605999667231,141,03/11/2019 12:48am,Snow Emergency,"4200 Bloomington,Minneapolis,MN",44.926606,-93.252843,8,Nokomis,Northrop,6,1,Diamond Lake
-93.2795439996558,44.987318999872002,142,03/11/2019 12:49am,Snow Emergency,"745 3 ST N,Minneapolis,MN",44.987319,-93.279544,3,Central,North Loop,1,1,Diamond Lake
